,STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
203920,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-01,0.0,,18.33,22.78,16.11
203921,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-02,0.25,,19.44,,16.11
203922,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-03,1.02,,19.44,23.89,16.67
203923,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-04,25.91,,18.89,21.67,17.22
203924,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-05,3.81,,20.0,22.78,18.33
203925,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-06,4.57,,20.0,21.11,18.89
203926,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-07,4.32,,20.0,,17.22
203927,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-08,6.35,,21.67,26.11,17.22
203928,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-09,14.48,,20.56,25.56,17.78
203929,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-10,6.1,,17.78,,16.11
203930,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-11,2.79,,18.33,21.67,16.11
203931,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-12,1.52,,18.89,22.22,16.67
203932,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-13,0.51,,19.44,23.33,16.67
203933,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-14,0.51,,18.89,23.33,16.67
203934,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-15,0.0,,20.0,25.0,16.67
203935,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-16,0.0,,18.89,25.0,15.0
203936,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-17,9.91,,18.89,24.44,14.44
203937,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-18,0.0,,20.56,25.0,14.44
203938,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-19,0.0,,21.11,25.0,16.67
203939,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-20,0.0,,21.11,23.89,17.78
203940,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-21,0.0,,20.56,24.44,16.67
203941,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-22,0.0,,20.0,25.0,16.67
203942,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-23,3.3,,19.44,23.33,16.11
203943,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-24,0.0,,20.0,25.0,15.56
203944,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-25,0.0,,20.0,25.0,15.56
203945,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-26,39.12,,20.56,25.0,15.56
203946,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-27,238.51,,20.0,,17.22
203947,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-28,4.32,,22.22,24.44,17.22
203948,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-29,19.81,,21.11,24.44,19.44
203949,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-30,2.54,,20.56,21.67,18.89
203950,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-01-31,31.5,,20.56,22.78,18.89
203951,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-02-01,0.0,,22.22,26.11,18.89
203952,NZM00093110,"AUCKLAND AERO AWS, NZ",2023-02-02,6.1,,22.22,27.22,20.0
