Date,Temperature of Daytime,Temperature of Nightime,Humidity of Daytime,Humidity of Nightime,Rain or Not,Succulent_water,Cactus_water,Fern_water,Fruit_water,Foliage_water,Cycas & Conifer_water,Palm_water,Nurturing_water,Other_water,Total_water,Succulent ,Cactus,Fern,Fruit,Foliage,Cycas & Conifer,Palm,Nurturing,Other,Total,Succulent _percentage,Cactus_precentage,Fern_percentage,Fruit_percentage,Foliage_percentage,Cycas & Conifer_percentage,Palm_percentage,Nurturing_percentage,Other_percentage,Total_percentage
6/11/2022,19.8,20.1,85,87 ,Yes,0,0,0,0,0,0,0,0,0,0,41,11,13,5,19,3,3,13,4,112,0,0,0,0,0,0,0,0,0,0
7/11/2022,20.1,20.5,90,92 ,Yes,0,0,0,0,0,0,0,0,0,0,41,11,13,5,19,3,3,13,4,112,0,0,0,0,0,0,0,0,0,0
8/11/2022,20.8,20.8,93,95 ,Yes,0,0,0,0,0,0,0,0,0,0,41,11,13,5,19,3,3,13,4,112,0,0,0,0,0,0,0,0,0,0
9/11/2022,23.9,23.7,80,84 ,No,0,0,0,0,0,0,0,0,0,0,38,11,13,5,19,3,3,16,4,112,0,0,0,0,0,0,0,0,0,0
10/11/2022,25.3,24.8,77,81 ,No,3,0,4,3,2,1,0,10,1,24,38,11,13,5,19,3,3,16,4,112,7.89,0,30.77,60,10.53,33.33,0,62.5,25,21.43
11/11/2022,26.5,25.9,66,73 ,No,7,2,0,0,3,0,0,6,2,20,38,11,13,5,18,3,3,16,4,111,18.42,18.18,0,0,16.67,0,0,37.5,50,18.02
12/11/2022,26,,63,,No,0,0,4,0,3,0,0,10,1,18,38,11,13,5,18,3,3,16,4,111,0,0,30.77,0,16.67,0,0,62.5,25,16.22
13/11/2022,27.5,,66,,No,3,6,0,0,0,1,1,20,1,32,38,11,13,5,18,3,3,26,4,121,7.89,54.55,0,0,0,33.33,33.33,76.92,25,26.45
14/11/2022,26.9,26.2,60,63 ,No,6,0,2,0,0,0,0,16,3,27,30,11,13,5,18,3,3,31,4,118,20,0,15.38,0,0,0,0,51.61,75,22.88
15/11/2022,26.5,26.4,66,73 ,No,0,0,0,0,3,0,0,4,1,8,30,11,13,5,18,3,3,31,4,118,0,0,0,0,16.67,0,0,12.9,25,6.78
16/11/2022,25.9,25.8,70,69 ,No,7,0,0,1,1,0,0,19,0,28,30,11,13,5,18,3,3,31,4,118,23.33,0,0,20,5.56,0,0,61.29,0,23.73
17/11/2022,26.2,26.2,67,70 ,No,0,0,5,2,2,1,0,1,2,13,30,11,13,5,18,3,3,32,4,119,0,0,38.46,40,11.11,33.33,0,3.13,50,10.92
18/11/2022,26.8,26.4,65,66 ,No,12,3,0,0,6,2,0,16,2,41,30,11,13,5,18,3,3,32,4,119,40,27.27,0,0,33.33,66.67,0,50,50,34.45
19/11/2022,27.7,26.9,60,61 ,No,0,0,0,0,1,0,0,12,2,15,21,11,13,5,18,3,3,36,4,114,0,0,0,0,5.56,0,0,33.33,50,13.16
20/11/2022,26.3,26.3,54,65 ,No,0,0,0,0,0,0,0,12,0,12,21,11,13,5,18,3,3,36,4,114,0,0,0,0,0,0,0,33.33,0,10.53
21/11/2022,26.9,26,58,69 ,Yes,8,0,5,0,4,0,0,22,0,39,21,11,13,5,21,3,3,36,4,117,38.1,0,38.46,0,19.05,0,0,61.11,0,33.33
22/11/2022,24.6,24.6,82,84 ,Yes,0,0,1,0,4,0,1,6,3,15,21,11,13,5,21,3,3,36,4,117,0,0,7.69,0,19.05,0,33.33,16.67,75,12.82
23/11/2022,23.9,23.2,86,84 ,Yes,0,0,0,0,1,0,0,0,0,1,21,11,13,5,21,3,3,37,4,118,0,0,0,0,4.76,0,0,0,0,0.85
24/11/2022,22.5,22,91,86 ,Yes,0,0,0,0,2,0,0,1,0,3,21,11,13,5,21,3,3,37,4,118,0,0,0,0,9.52,0,0,2.7,0,2.54
25/11/2022,22.7,21.9,87,91 ,Yes,2,0,0,0,3,0,0,31,0,36,21,11,13,5,21,3,3,37,4,118,9.52,0,0,0,14.29,0,0,83.78,0,30.51
26/11/2022,22.1,22.5,91,86 ,Yes,8,0,1,2,0,2,0,6,1,20,21,11,13,5,21,3,3,37,4,118,38.1,0,7.69,40,0,66.67,0,16.22,25,16.95
27/11/2022,23.1,23.2,86,93 ,Yes,0,0,1,0,0,0,0,0,1,2,21,11,13,5,21,3,3,36,4,117,0,0,7.69,0,0,0,0,0,25,1.71
28/11/2022,26.1,25.4,85,87 ,No,0,0,0,0,1,0,0,0,2,3,21,11,13,5,21,3,3,36,4,117,0,0,0,0,4.76,0,0,0,50,2.56
29/11/2022,27.1,26.2,76,77 ,No,0,0,1,0,1,0,0,3,1,6,34,11,13,5,21,3,3,26,4,120,0,0,7.69,0,4.76,0,0,11.54,25,5
30/11/2022,22.1,18.8,58,52 ,No,5,11,2,0,3,1,0,0,0,22,34,11,13,5,21,3,3,26,4,120,14.71,100,15.38,0,14.29,33.33,0,0,0,18.33
1/12/2022,15.9,14.1,50,57 ,No,0,0,1,0,1,0,0,34,0,36,34,11,13,5,21,3,3,26,4,120,0,0,7.69,0,4.76,0,0,130.77,0,30
2/12/2022,14.4,15.2,49,57 ,No,3,0,1,0,5,0,0,0,1,10,34,11,13,5,21,3,3,26,4,120,8.82,0,7.69,0,23.81,0,0,0,25,8.33
3/12/2022,16.7,17.7,64,77 ,No,1,0,0,2,2,1,0,0,2,8,34,11,13,5,21,3,3,26,4,120,2.94,0,0,40,9.52,33.33,0,0,50,6.67
4/12/2022,17.7,17.2,84,71 ,No,0,0,0,0,0,0,0,6,0,6,34,11,13,5,21,3,3,26,4,120,0,0,0,0,0,0,0,23.08,0,5
5/12/2022,16,14.9,52,52 ,No,0,0,0,1,0,0,0,14,0,15,34,11,13,5,21,3,3,25,4,119,0,0,0,20,0,0,0,56,0,12.61
6/12/2022,14.6,15.1,55,63 ,No,0,0,9,0,4,1,0,12,1,27,34,11,13,5,21,3,3,25,4,119,0,0,69.23,0,19.05,33.33,0,48,25,22.69
7/12/2022,,16.7,,64 ,No,0,0,2,0,0,0,0,6,2,10,34,11,13,5,21,3,3,25,4,119,0,0,15.38,0,0,0,0,24,50,8.4
8/12/2022,17.4,18.1,64,60 ,No,0,0,0,0,0,0,0,0,0,0,34,11,13,5,21,3,3,25,4,119,0,0,0,0,0,0,0,0,0,0
9/12/2022,17.9,18,57,55 ,No,0,0,0,0,1,0,1,19,1,22,34,11,13,5,21,3,3,23,4,117,0,0,0,0,4.76,0,33.33,82.61,25,18.8
