Timestamp,UTC Offset,Soil Moisture Content (%V/V),Quality
2022-08-18 00:00:00,12,52.2,No quality or non-verified
2022-08-19 00:00:00,12,52.4,No quality or non-verified
2022-08-20 00:00:00,12,52.3,No quality or non-verified
2022-08-21 00:00:00,12,52.1,No quality or non-verified
2022-08-22 00:00:00,12,51.8,No quality or non-verified
2022-08-23 00:00:00,12,51.6,No quality or non-verified
2022-08-24 00:00:00,12,51.4,No quality or non-verified
2022-08-25 00:00:00,12,51.4,No quality or non-verified
2022-08-26 00:00:00,12,51.5,No quality or non-verified
2022-08-27 00:00:00,12,51.5,No quality or non-verified
2022-08-28 00:00:00,12,51.3,No quality or non-verified
2022-08-29 00:00:00,12,49.5,No quality or non-verified
2022-08-30 00:00:00,12,47.5,No quality or non-verified
2022-08-31 00:00:00,12,46.939,No quality or non-verified
2022-09-01 00:00:00,12,46.523,No quality or non-verified
2022-09-02 00:00:00,12,46.309,No quality or non-verified
2022-09-03 00:00:00,12,46.268,No quality or non-verified
2022-09-04 00:00:00,12,46.185,No quality or non-verified
2022-09-05 00:00:00,12,52.595,No quality or non-verified
2022-09-06 00:00:00,12,52.805,No quality or non-verified
2022-09-07 00:00:00,12,52.383,No quality or non-verified
2022-09-08 00:00:00,12,48.51,No quality or non-verified
2022-09-09 00:00:00,12,47.118,No quality or non-verified
2022-09-10 00:00:00,12,46.47,No quality or non-verified
2022-09-11 00:00:00,12,46.268,No quality or non-verified
2022-09-12 00:00:00,12,51.479,No quality or non-verified
2022-09-13 00:00:00,12,51.484,No quality or non-verified
2022-09-14 00:00:00,12,49.884,No quality or non-verified
2022-09-15 00:00:00,12,47.744,No quality or non-verified
2022-09-16 00:00:00,12,46.854,No quality or non-verified
2022-09-17 00:00:00,12,46.383,No quality or non-verified
2022-09-18 00:00:00,12,46.259,No quality or non-verified
2022-09-19 00:00:00,12,46.026,No quality or non-verified
2022-09-20 00:00:00,12,45.897,No quality or non-verified
2022-09-21 00:00:00,12,46.747,No quality or non-verified
2022-09-22 00:00:00,12,48.177,No quality or non-verified
2022-09-23 00:00:00,12,52.298,No quality or non-verified
2022-09-24 00:00:00,12,52.429,No quality or non-verified
2022-09-25 00:00:00,12,51.057,No quality or non-verified
2022-09-26 01:00:00,13,47.501,No quality or non-verified
2022-09-27 01:00:00,13,46.659,No quality or non-verified
2022-09-28 01:00:00,13,46.328,No quality or non-verified
2022-09-29 01:00:00,13,46.064,No quality or non-verified
2022-09-30 01:00:00,13,48.503,No quality or non-verified
2022-10-01 01:00:00,13,51.769,No quality or non-verified
2022-10-02 01:00:00,13,51.77,No quality or non-verified
2022-10-03 01:00:00,13,51.572,No quality or non-verified
2022-10-04 01:00:00,13,51.626,No quality or non-verified
2022-10-05 01:00:00,13,50.97,No quality or non-verified
2022-10-06 01:00:00,13,48.52,No quality or non-verified
2022-10-07 01:00:00,13,47.344,No quality or non-verified
2022-10-08 01:00:00,13,46.909,No quality or non-verified
2022-10-09 01:00:00,13,46.573,No quality or non-verified
2022-10-10 01:00:00,13,46.323,No quality or non-verified
2022-10-11 01:00:00,13,46.146,No quality or non-verified
2022-10-12 01:00:00,13,45.97,No quality or non-verified
2022-10-13 01:00:00,13,45.885,No quality or non-verified
