"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-02",,"56",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-03",,"55",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-04","0.00","52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-05","0.02","54",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-06","0.00","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-07",,"51",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-08","0.04","56",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-09",,"51",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-10",,"45",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-11","0.04","47",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-12","0.04","49",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-13","0.00","51",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-14","0.00","56",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-15","0.20","52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-16","0.04","47",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-17","0.00","49",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-18","0.08","49",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-19","0.39","51",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-20","0.12","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-21","0.02","49",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-22","0.02","50",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-23","0.00","55",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-24","0.79","56",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-25",,"55",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-26",,"52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-27","0.00","52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-28","0.00","52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-29","0.00","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-30","0.02","54",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-08-31","0.04","54",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-01","0.02","52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-02","0.04","54",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-03","1.02","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-04","0.00","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-05","0.91","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-06","0.00","53",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-07",,"52",,
"NZM00093110","AUCKLAND AERO AWS, NZ","1994-09-08",,"48",,
