Date(NZST),Pmsl(hPa),Pstn(hPa)
20090101,1007,983.6
20090102,1012.3,988.5
20090103,1009,985.5
20090104,1022.2,998.1
20090105,1022.5,998.6
20090106,1017.8,994.2
20090107,1017.7,994.1
20090108,1018.9,995.4
20090109,1011.8,988.5
20090110,1012.8,989.3
20090111,1019.1,995.5
20090112,1017.1,993.5
20090113,1013.9,990.4
20090114,1018.3,994.6
20090115,1015.3,991.8
20090116,1012.3,988.8
20090117,1004.3,981.2
20090118,1000.7,977.3
20090119,1007.7,984.1
20090120,1017.3,993.4
20090121,1026.5,1002.4
20090122,1027.9,1003.9
20090123,1025.7,1002
20090124,1026,1002.1
20090125,1023.5,999.8
20090126,1018.5,995
20090127,1010.1,986.9
20090128,1020.3,996.3
20090129,1020.9,997.1
20090130,1021.9,998.1
20090131,1018.9,995.4
20090201,1012.7,989.5
20090202,1017.1,993.3
20090203,1019.5,995.5
20090204,1015.6,991.8
20090205,1018.3,994.4
20090206,1017.8,994
20090207,1016.9,993.4
20090208,1019.5,995.9
20090209,1013.8,990.6
20090210,1007.7,984.6
20090211,1015.3,991.6
20090212,1005.2,981.6
20090213,1010.3,986.7
20090214,1025,1000.9
20090215,1023,999.2
20090216,1015.8,992.1
20090217,1021.9,998
20090218,1023.6,999.5
20090219,1022.5,998.4
20090220,1001.4,978.2
20090221,998.7,975.7
20090222,1005,981.6
20090223,1011,987.3
20090224,1017.5,993.6
20090225,1021.7,997.8
20090226,1019.5,995.7
20090227,1020.6,996.8
20090228,1015.2,991.6
20090301,1004.3,981.1
20090302,1012.5,988.9
20090303,1024.5,1000.5
20090304,1031.9,1007.6
20090305,1022.7,998.8
20090306,1009.7,986.6
20090307,1010.1,986.5
20090308,1008,984.5
20090309,1011.4,987.5
20090310,1013,989
20090311,1008.9,984.9
20090312,1012.8,988.5
20090313,1012.9,989
20090314,1024.8,1000.8
20090315,1028.8,1004.6
20090316,1028.5,1004.3
20090317,1023.7,999.7
20090318,1017.5,993.5
20090319,1011,987.4
20090320,1016.5,992.6
20090321,1018.7,994.5
20090322,1020.7,996.4
20090323,1021,996.6
20090324,1024.4,999.9
20090325,1028.4,1004.1
20090326,1028.1,1003.5
20090327,1021,997
20090328,1022.9,998.6
20090329,1028.3,1004.1
20090330,1027.3,1003.4
20090331,1026.8,1002.7
20090401,1036.3,1011.5
20090402,1038.7,1013.6
20090403,1037.3,1012.6
20090404,1033.4,1008.8
20090405,1027.7,1003.6
20090406,1023.9,1000.1
20090407,1010.2,986.7
20090408,1004.9,980.9
20090409,1013.3,989
20090410,1026.5,1001.7
20090411,1032.4,1007.8
20090412,1032.4,1008
20090413,1030.2,1005.8
20090414,1032.3,1008
20090415,1031.2,1006.6
20090416,1020.3,996.7
20090417,1023,999.3
20090418,1022.2,998.4
20090419,1017.8,994
20090420,1013.7,990
20090421,1023.7,999.1
20090422,1025.6,1001.1
20090423,1029.7,1005.1
20090424,1028.4,1003.8
20090425,1021.8,997.4
20090426,1015.5,992.1
20090427,1017.5,993.9
20090428,1013.3,989.7
20090429,1006.2,982.7
20090430,1012.8,988.8
20090501,1022.9,998.5
20090502,1025,999.9
20090503,1023.9,999
20090504,1022.5,997.7
20090505,1011.2,987
20090506,1005.6,981.5
20090507,1010.8,986.2
20090508,997,973.3
20090509,999.6,975.1
20090510,992.4,968.4
20090511,1000.7,976.4
20090512,1003,978.3
20090513,1001.6,977.4
20090514,1006.7,982.7
20090515,1000.7,977
20090516,1006.2,982.8
20090517,1001.7,978
20090518,1001.8,978.1
20090519,1003.7,979.7
20090520,1016.6,991.9
20090521,1023.8,998.8
20090522,1024.3,999.2
20090523,1025.7,1000.5
20090524,1023.9,999.4
20090525,1027.2,1002.7
20090526,1027.7,1002.6
20090527,1024.7,999.7
20090528,1022.3,997.4
20090529,1018.5,994
20090530,1016.1,991.8
20090531,1014.2,989.7
20090601,1029.1,1003.7
20090602,1035.7,1010
20090603,1037.4,1011.8
20090604,1035.3,1010
20090605,1023.2,998.5
20090606,1016.2,991.9
20090607,1025,999.9
20090608,1024.4,999.4
20090609,1017.3,993
20090610,1016.7,992.5
20090611,1017.4,993.3
20090612,1017.6,993.5
20090613,1005.6,981.6
20090614,1006.4,982.5
20090615,1007.2,983
20090616,1007.1,982.7
20090617,1023,997.6
20090618,1026.6,1001.2
20090619,1031.3,1005.6
20090620,1035.3,1009.5
20090621,1038.1,1012.2
20090622,1035.4,1009.7
20090623,1033.6,1008.1
20090624,1032,1006.7
20090625,1028,1002.8
20090626,1013.6,989.1
20090627,1016.8,992.4
20090628,1010.7,986.2
20090629,1003.9,980
20090630,1014.8,990.1
20090701,1017.9,992.8
20090702,1012.4,987.5
20090703,998.4,974.2
20090704,998,973.9
20090705,994.7,970.8
20090706,1001.7,977.5
20090707,1011.7,987.4
20090708,1020.9,996.1
20090709,1031.6,1006.2
20090710,1031,1005.6
20090711,1025.5,1000.1
20090712,1014.6,989.9
20090713,1016.3,991
20090714,1008.3,983.7
20090715,1006.7,982.6
20090716,1012.5,988.3
20090717,1012.2,987.9
20090718,1002.1,978.1
20090719,1006.3,982.1
20090720,1018.7,994.1
20090721,1016.4,992
20090722,1010.7,986.4
20090723,999.5,975.8
20090724,1005.4,981.3
20090725,1025.2,999.9
20090726,1024.6,999.5
20090727,1022.7,997.7
20090728,1016,991.4
20090729,1013.8,989.4
20090730,1011.7,987.5
20090731,1011.3,987.1
20090801,1010.6,986.4
20090802,1012.9,988.6
20090803,1020.1,995.6
20090804,1011.6,987.7
20090805,1023.9,999.2
20090806,1032.4,1007.4
20090807,1033.9,1008.9
20090808,1031.7,1006.6
20090809,1034.6,1009.3
20090810,1035.1,1009.9
20090811,1034.2,1009.4
20090812,1030.6,1006.1
20090813,1028,1003.8
20090814,1024.8,1000.6
20090815,1009.8,985.7
20090816,1006,982.3
20090817,1010.3,986.1
20090818,1008.8,984.9
20090819,1020.1,995.5
20090820,1023.2,998.2
20090821,1023.5,998.6
20090822,1022.8,998.1
20090823,1016.5,992.4
20090824,1020,995.8
20090825,1011.2,987.5
20090826,1002.2,978.6
20090827,1004.3,980.4
20090828,1015.8,991.7
20090829,1016.5,992.4
20090830,1008.1,984.2
20090831,995.3,971.8
20090901,1008.5,984.7
20090902,1017.2,992.8
20090903,1029.5,1004.7
20090904,1040.5,1015.1
20090905,1034.6,1009.2
20090906,1032.2,1007
20090907,1030.5,1005.4
20090908,1033.4,1008.4
20090909,1035.8,1010.9
20090910,1032.2,1007.5
20090911,1021.5,997.4
20090912,1021.8,997.6
20090913,1027.3,1002.9
20090914,1026.5,1001.9
20090915,1022.5,998.5
20090916,1023.4,999
20090917,1024.1,999.7
20090918,1019.2,994.7
20090919,1020.3,996.2
20090920,1021.9,997.6
20090921,1014.8,990.8
20090922,1006.9,983.2
20090923,1009.1,984.9
20090924,1008.4,984.2
20090925,1001.7,977.8
20090926,1004.3,980.7
20090927,1007.1,983.2
20090928,999.9,976.3
20090929,1003.1,979.2
20090930,999.9,976.2
20091001,1007.6,983.4
20091002,1005.1,981.3
20091003,1005.6,981.7
20091004,1013.8,989.2
20091005,1021.7,997.1
20091006,1017.9,993.3
20091007,1020.5,995.9
20091008,1014.8,990.6
20091009,1003.6,979.6
20091010,1009.2,985
20091011,1016,991.5
20091012,1016.1,991.9
20091013,1012.2,988.1
20091014,1007.3,983.4
20091015,1008.6,984.7
20091016,1002.8,979.2
20091017,1006.3,982.4
20091018,1004,980.4
20091019,1012.7,988.5
20091020,1013.9,989.8
20091021,1022.3,998
20091022,1013.8,989.9
20091023,1021.7,997.4
20091024,1022.5,998.2
20091025,1018.4,994.2
20091026,1014.3,990.1
20091027,1010.6,986.7
20091028,1013.3,989.3
20091029,1014.4,990.2
20091030,1021.2,996.8
20091031,1027,1002.7
20091101,1023,999.1
20091102,1013.5,989.7
20091103,1013,989.3
20091104,1011.4,987.6
20091105,1012.5,988.7
20091106,1024.1,1000
20091107,1029.8,1005.6
20091108,1026.7,1002.6
20091109,1015.3,991.4
20091110,1014.9,991.2
20091111,1007.3,983.7
20091112,1014.2,990.2
20091113,1010.7,986.7
20091114,1014.3,990.3
20091115,1001.4,978
20091116,1002.1,978.3
20091117,1007.7,983.9
20091118,1001.2,977.7
20091119,1012.9,989.2
20091120,1016.1,992.2
20091121,1012.4,988.9
20091122,1014.5,990.8
20091123,1020.8,996.9
20091124,1018,994.5
20091125,1020.4,996.7
20091126,1011.5,988
20091127,1016.5,992.4
20091128,998.6,975.5
20091129,1008.8,985.2
20091130,1008.7,985
20091201,1012,988.3
20091202,1009.8,986.2
20091203,1016.7,993
20091204,1019.7,995.7
20091205,1018.1,994.4
20091206,1011.5,987.9
20091207,1015.7,992
20091208,1018.2,994.5
20091209,1014.6,991.2
20091210,1013.8,990.5
20091211,1010.4,987.2
20091212,1000.4,977.1
20091213,1006.6,983
20091214,1008.6,984.9
20091215,1014.9,991
20091216,1020.4,996.2
20091217,1025.3,1001.3
20091218,1021.2,997.4
20091219,1011.6,988.2
20091220,1006.2,982.7
20091221,1017.1,993.2
20091222,1023.1,999.2
20091223,1025.1,1001.2
20091224,1026.8,1002.9
20091225,1027.1,1003.3
20091226,1025.8,1001.9
20091227,1018.3,994.9
20091228,1020.5,997
20091229,1014,990.4
20091230,1010.8,987.4
20091231,1018.8,994.7
20100101,1022.3,998.4
20100102,1009.4,986.1
20100103,1008.2,985.2
20100104,1007,983.4
20100105,1020.8,996.9
20100106,1022,998.1
20100107,1014.7,991.2
20100108,1016.2,992.2
20100109,1023,998.8
20100110,1012.7,989
20100111,1003.1,979.5
20100112,1009.7,985.8
20100113,1013.5,989.8
20100114,1012.8,989.4
20100115,1015.4,992
20100116,1014.8,991.4
20100117,1010.9,987.8
20100118,1012.8,989.4
20100119,1014.5,991
20100120,1010.3,987
20100121,998.7,975.6
20100122,1002.5,979.4
20100123,1007.4,984
20100124,1007.1,983.8
20100125,1015.5,992.1
20100126,1020.3,996.6
20100127,1020.8,997.2
20100128,1020.3,996.8
20100129,1021,997.5
20100130,1019.6,996
20100131,1022.2,998.7
20100201,1024.3,1000.5
20100202,1026.5,1002.8
20100203,1030.1,1006.4
20100204,1032.1,1008.3
20100205,1028.8,1005.1
20100206,1028.6,1005.1
20100207,1027.9,1004.4
20100208,1027.6,1004
20100209,1022.3,998.8
20100210,1017.2,993.6
20100211,1013.6,990.3
20100212,1012.9,989.6
20100213,1003.2,980.2
20100214,1017.6,993.7
20100215,1017.4,993.6
20100216,1019.9,996
20100217,1016.1,992.4
20100218,1005.1,982
20100219,1011.1,987.6
20100220,1022.6,998.8
20100221,1028.6,1004.5
20100222,1030.5,1006.4
20100223,1027.3,1003.4
20100224,1019.2,995.6
20100225,1012.9,989.4
20100226,1024.4,1000.4
20100227,1030.2,1005.8
20100228,1026,1002.1
20100301,1017.6,993.9
20100302,1011.3,987.6
20100303,1006.8,983.2
20100304,1013.8,990
20100305,1017.3,993.3
20100306,1023,998.9
20100307,1024.2,1000.2
20100308,1020.4,996.5
20100309,1020.7,997
20100310,1018.6,995
20100311,1012.8,989.4
20100312,1015.9,992.1
20100313,1021.7,997.3
20100314,1021.4,997.3
20100315,1021.3,997.4
20100316,1017.2,993.2
20100317,1016,992.2
20100318,1025.5,1000.8
20100319,1022.5,998.4
20100320,1024.4,1000.2
20100321,1021.5,997.7
20100322,1010.9,987.6
20100323,1015.2,991.4
20100324,1003.5,980
20100325,1010.4,986.4
20100326,1020.4,996.5
20100327,1022.2,998.3
20100328,1026.3,1002.5
20100329,1036.7,1012.1
20100330,1035.2,1011
20100331,1034.1,1010
20100401,1032.5,1008.3
20100402,1027.9,1003.8
20100403,1021.7,997.7
20100404,1010.3,986.9
20100405,1013.4,989.6
20100406,1010.9,987.2
20100407,1025.1,1000.9
20100408,1031.4,1006.7
20100409,1027.7,1003.2
20100410,1028.8,1004.1
20100411,1028,1003.4
20100412,1024.9,1000.7
20100413,1012.6,988.9
20100414,1004.4,981
20100415,1009.9,986.3
20100416,1020.5,996.3
20100417,1028.1,1003.8
20100418,1027.4,1003.3
20100419,1018.9,994.9
20100420,1018.2,994.2
20100421,1020.8,996.8
20100422,1023.6,999.3
20100423,1020.3,996.2
20100424,1018.8,994.9
20100425,1021.6,997.9
20100426,1021.6,998
20100427,1016.3,992.7
20100428,1021,997
20100429,1020,996
20100430,1010.8,987.3
20100501,1016.7,992.6
20100502,1028.7,1003.9
20100503,1027.1,1002.8
20100504,1029.1,1004.5
20100505,1037.4,1012.3
20100506,1033.5,1008.8
20100507,1022.5,998.4
20100508,1014.5,990.9
20100509,1018.2,994.2
20100510,1024.7,1000.2
20100511,1026,1001.4
20100512,1017.9,993.6
20100513,1003.8,980.5
20100514,1005.2,981.6
20100515,1003.1,979.3
20100516,1000.4,976.8
20100517,1009.2,985.3
20100518,1013.6,989.3
20100519,1019.2,994.8
20100520,1022.1,997.8
20100521,1021.8,997
20100522,1024.1,999.1
20100523,1022.2,997.7
20100524,1008.8,984.9
20100525,996.4,972.7
20100526,994.5,970.8
20100527,1011.2,987.2
20100528,1016.7,992.2
20100529,1017.3,992.9
20100530,1025.6,1000.5
20100531,1028.5,1003.3
20100601,1020.5,995.7
20100602,1017,992.6
20100603,1024.1,999.5
20100604,1031.9,1006.8
20100605,1027.7,1002.8
20100606,1003.5,979.5
20100607,985,961.9
20100608,1006.8,982.3
20100609,1018.1,993
20100610,1012.8,988.2
20100611,995.8,972.1
20100612,999.7,976
20100613,1002,977.8
20100614,1011.2,986.8
20100615,1022.1,997.1
20100616,1032.1,1006.8
20100617,1032.6,1007.7
20100618,1030.1,1005.3
20100619,1020.6,996.8
20100620,1008.8,985
20100621,1015.5,991.4
20100622,1026.9,1002.3
20100623,1021.3,996.8
20100624,1033.1,1008.1
20100625,1031.4,1006.3
20100626,1021.4,997
20100627,1012.8,988.5
20100628,1012.6,988.1
20100629,1008.5,984.3
20100630,1012.6,988.4
20100701,1019.7,994.9
20100702,1023.6,998.9
20100703,1023.4,998.9
20100704,1019.8,995.1
20100705,1020.3,995.3
20100706,1021.5,996.4
20100707,1018.2,993.2
20100708,1014.3,989.2
20100709,1023,998
20100710,1034.4,1008.7
20100711,1036.4,1010.6
20100712,1034.6,1009
20100713,1028.6,1003.5
20100714,1028.2,1003.1
20100715,1021.7,996.5
20100716,1012.2,987.3
20100717,1009.9,985.4
20100718,1018.2,993.3
20100719,1022.3,997.8
20100720,1020.6,996.1
20100721,1023,998.7
20100722,1015,990.8
20100723,1014.8,990.6
20100724,1020.8,995.8
20100725,1021.3,996.6
20100726,1020.9,996.5
20100727,1012.1,987.9
20100728,1022.1,997.6
20100729,1026.6,1002
20100730,1034.9,1009.8
20100731,1033.2,1008.4
20100801,1017.8,993.8
20100802,1016.8,992.7
20100803,1020.6,996
20100804,1012.4,988.2
20100805,1012.9,988.4
20100806,1020.3,995.7
20100807,1008.1,984.2
20100808,1003.7,979.6
20100809,1013.1,988.6
20100810,1030.6,1005.2
20100811,1033.3,1008
20100812,1026.8,1001.8
20100813,1008.8,985.2
20100814,1014,990.1
20100815,1018,993.7
20100816,1012.7,988.7
20100817,1001,977.2
20100818,999.1,975.2
20100819,1011.2,987
20100820,1011.7,987.4
20100821,1009.5,985.1
20100822,1011.1,986.9
20100823,1012.8,988.5
20100824,1018.7,994
20100825,1016.1,991.4
20100826,1004.5,980.7
20100827,1011.4,987.2
20100828,1006.4,982.5
20100829,1004.9,980.8
20100830,1008.5,984.1
20100831,1015.4,991.2
20100901,1022.1,997.4
20100902,1004.3,980.4
20100903,1002.9,978.9
20100904,1023.2,998.4
20100905,1025.9,1001.3
20100906,1008.6,985
20100907,1014.6,990.7
20100908,1026.5,1002.1
20100909,1025.8,1001.2
20100910,1015,991.1
20100911,1017.3,993.2
20100912,1004.3,980.6
20100913,1008.8,985.1
20100914,1006.2,982.4
20100915,1012.6,988.4
20100916,1004.9,980.8
20100917,989.3,965.8
20100918,988.1,964.4
20100919,1001.2,977.2
20100920,998.1,974.4
20100921,999.8,975.7
20100922,1004.9,980.8
20100923,1006.3,982
20100924,1011,986.7
20100925,1014.7,990.5
20100926,1012.7,989
20100927,1025.9,1001.3
20100928,1020.8,996.4
20100929,1015.4,991.7
20100930,1010.1,986.5
20101001,1020,995.6
20101002,1031.6,1006.9
20101003,1035.2,1010.5
20101004,1038,1013.3
20101005,1036.8,1012
20101006,1031.6,1007.2
20101007,1026.7,1002.4
20101008,1017.7,993.6
20101009,1008.2,984.2
20101010,1022.9,998.4
20101011,1033.1,1008.3
20101012,1037.5,1012.4
20101013,1027.3,1002.6
20101014,1018.7,994.4
20101015,1014.7,990.7
20101016,1011.9,988
20101017,994.7,971.4
20101018,1001.2,977.1
20101019,1012.8,988.5
20101020,1012.2,988
20101021,1006,982.1
20101022,1020.1,995.6
20101023,1026.6,1002.2
20101024,1028.5,1004.1
20101025,1029.8,1005.6
