Date(NZST),Radiation(MJ/m2)
20090719,3.85
20090720,4.64
20090721,1.87
20090722,3.23
20090723,0.77
20090724,9.77
20090725,8.8
20090726,8.84
20090727,7.21
20090728,3.27
20090729,4.95
20090730,6.62
20090731,2.92
20090801,6.76
20090802,2.82
20090803,5.67
20090804,3.74
20090805,4.01
20090806,10.06
20090924,3
20090925,8.13
20090926,19.96
20090927,11.7
20090928,11.87
20090929,8.28
20090930,17.22
20091001,14.85
20091002,4.2
20091003,8.19
20091004,19.03
20091005,21.85
20091006,22.6
20091007,22.05
20091008,6.15
20091009,2.1
20091010,23.9
20091011,23.28
20091012,20.36
20091013,16.85
20091014,5.9
20091015,21.35
20091016,7.61
20091017,7.5
20091018,18.88
20091019,12.04
20091020,24.13
20091021,10.02
20091022,21.18
20091023,24.86
20091024,20.36
20091025,17.6
20091026,15.31
20091027,25.69
20091028,19.87
20091029,18.86
20091030,24.05
20091031,26.53
20091101,13.1
20091102,11.36
20091103,24.24
20091104,8.32
20091105,15.71
20091106,26.16
20091107,15.2
20091108,23.13
20091109,22.2
20091110,12.92
20091111,16.37
20091112,22.58
20091113,15.27
20091114,19.41
20091115,7.85
20091116,14.76
20091117,23.04
20091118,29.79
20091119,18.44
20091120,8.44
20091121,9.61
20091122,23.3
20091123,15.65
20091124,26.8
20091125,19.17
20091126,21.8
20091127,19.74
20091128,18.02
20091129,30.14
20091130,7.89
20091201,10.46
20091202,9.73
20091203,31.25
20091204,28.32
20091205,14.45
20091206,8.19
20091207,27.18
20091208,28.41
20091209,15.04
20091210,7.15
20091211,6.69
20091212,13.37
20091213,5.08
20091214,21.6
20091215,27.11
20091216,16.51
20091217,22.99
20091218,22.68
20091219,14.07
20091220,21.42
20091221,33.53
20091222,32.16
20091223,18.7
20091224,30.01
20091225,25.06
20091226,14.02
20091227,11.3
20091228,26.65
20091229,17.56
20091230,18.64
20091231,18.88
20100101,26.26
20100102,4.21
20100103,8.7
20100104,15.5
20100105,26.1
20100106,15.89
20100107,5.48
20100108,26.82
20100109,16.12
20100110,4.82
20100111,22.37
20100112,25.33
20100113,13.4
20100114,27.28
20100115,29.36
20100116,21.94
20100117,22.35
20100118,19.23
20100119,22.61
20100120,13.91
20100121,21.2
20100122,15.41
20100123,20.08
20100124,11.3
20100125,23.59
20100126,28.63
20100127,19.08
20100128,29.73
20100129,23
20100130,27.3
20100131,28.77
20100201,28.47
20100202,27.33
20100203,28.82
20100204,28.12
20100205,24.23
20100206,24.41
20100207,18.86
20100208,17.21
20100209,21.76
20100210,7.66
20100211,19.9
20100212,16.12
20100213,17.36
20100214,14.3
20100215,22.61
20100216,18.94
20100217,6.9
20100218,11.11
20100219,21.67
20100220,21.86
20100221,25.28
20100222,22.42
20100223,22.99
20100224,8.4
20100225,12.51
20100226,23.47
20100227,23.01
20100228,11.92
