Date(NZST),Rainfall(mm),Deficit(mm)
20090101,25,15.5
20090102,0.2,19.6
20090103,38.4,0
20090104,0.6,3.7
20090105,0,8.1
20090106,0,12.4
20090107,0,16.7
20090108,0,21
20090109,0,25.4
20090110,7.2,22.5
20090111,0,26.8
20090112,0,31.1
20090113,0,35.5
20090114,0,39.8
20090115,0,44.1
20090116,0,48.4
20090117,0,52.8
20090118,10,47.1
20090119,15.6,35.8
20090120,0.6,39.5
20090121,0,43.9
20090122,0,48.2
20090123,0,52.5
20090124,0,56.8
20090125,0,61.2
20090126,0,65.5
20090127,1.4,68.4
20090128,0,72.7
20090129,0,77.1
20090130,0,81.3
20090131,0,85.2
20090201,0,89
20090202,0,91.7
20090203,0,94.3
20090204,1.8,94.9
20090205,1,96.4
20090206,0,98.7
20090207,0,101
20090208,0,103.2
20090209,0,105.3
20090210,0.4,106.8
20090211,0,108.7
20090212,6,104.6
20090213,16.6,90
20090214,1,91.6
20090215,0,94.2
20090216,0,96.7
20090217,0,99.1
20090218,0,101.3
20090219,0,103.5
20090220,23.8,81.7
20090221,22,62.8
20090222,2,64.1
20090223,11,56.4
20090224,0.2,59.5
20090225,1,61.8
20090226,0,65.2
20090227,0,68.5
20090228,0,71.8
20090301,6,69.1
20090302,2.2,69.3
20090303,1,70.7
20090304,0,73.1
20090305,0,75.5
20090306,17.8,60
20090307,6.6,55.8
20090308,1.2,57
20090309,3.8,55.6
20090310,3.6,54.4
20090311,27.8,29
20090312,1.4,30
20090313,0,32.4
20090314,0,34.7
20090315,0,37.1
20090316,0,39.5
20090317,0,41.9
20090318,0,44.3
20090319,6.8,39.9
20090320,0.8,41.5
20090321,0,43.9
20090322,0,46.2
20090323,0,48.6
20090324,0,51
20090325,0,53.4
20090326,0,55.8
20090327,0,58.2
20090328,7.2,53.4
20090329,0.2,55.6
20090330,0,57.9
20090331,0,60.3
20090401,0,62.7
20090402,0,64
20090403,0,65.3
20090404,0,66.7
20090405,0,68
20090406,0,69.3
20090407,21.2,49.4
20090408,22.4,28.3
20090409,15.6,14
20090410,0,15.3
20090411,0,16.6
20090412,0,18
20090413,0.2,19.1
20090414,0.4,20
20090415,0,21.3
20090416,0,22.6
20090417,3.6,20.3
20090418,0.2,21.4
20090419,0.2,22.6
20090420,0.6,23.3
20090421,0,24.6
20090422,0,25.9
20090423,0,27.2
20090424,0,28.5
20090425,0,29.8
20090426,32.6,0
20090427,0,1.3
20090428,86.8,0
20090429,30.4,0
20090430,13,0
20090501,4,0
20090502,0,0.6
20090503,0,1.2
20090504,0,1.7
20090505,0,2.3
20090506,13.8,0
20090507,0,0.6
20090508,6.6,0
20090509,0,0.6
20090510,8.2,0
20090511,0,0.6
20090512,0,1.2
20090513,2.8,0
20090514,5,0
20090515,30.8,0
20090516,4.4,0
20090517,40.2,0
20090518,20.8,0
20090519,22.4,0
20090520,12.6,0
20090521,0,0.6
20090522,0,1.2
20090523,0,1.7
20090524,0,2.3
20090525,0,2.9
20090526,0,3.5
20090527,0,4.1
20090528,0,4.6
20090529,0,5.2
20090530,0.2,5.6
20090531,0,6.2
20090601,0,6.8
20090602,0,7
20090603,0,7.2
20090604,0,7.4
20090605,1.8,5.8
20090606,5,1
20090607,0.2,1
20090608,0,1.2
20090609,5.8,0
20090610,15,0
20090611,19,0
20090612,13.8,0
20090613,10.6,0
20090614,0.4,0
20090615,3,0
20090616,11.8,0
20090617,1,0
20090618,0,0.2
20090619,0,0.4
20090620,0,0.6
20090621,0,0.8
20090622,0.2,0.8
