Station,Date(NZST),Percent(%),Depth(cm)
3925,20190101:0000,40.9,20
3925,20190101:0100,40.9,20
3925,20190101:0200,40.9,20
3925,20190101:0300,41,20
3925,20190101:0400,41.1,20
3925,20190101:0500,41,20
3925,20190101:0600,40.9,20
3925,20190101:0700,40.9,20
3925,20190101:0800,41,20
3925,20190101:0900,41.2,20
3925,20190101:1000,40.9,20
3925,20190101:1100,41,20
3925,20190101:1200,40.9,20
3925,20190101:1300,40.8,20
3925,20190101:1400,40.7,20
3925,20190101:1500,40.7,20
3925,20190101:1600,40.7,20
3925,20190101:1700,40.6,20
3925,20190101:1800,40.7,20
3925,20190101:1900,40.7,20
3925,20190101:2000,40.4,20
3925,20190101:2100,40.7,20
3925,20190101:2200,40.6,20
3925,20190101:2300,40.5,20
3925,20190102:0000,40.4,20
3925,20190102:0100,40.5,20
3925,20190102:0200,40.6,20
3925,20190102:0300,40.4,20
3925,20190102:0400,40.5,20
3925,20190102:0500,40.7,20
3925,20190102:0600,40.7,20
3925,20190102:0700,40.6,20
3925,20190102:0800,40.6,20
3925,20190102:0900,40.7,20
3925,20190102:1000,40.7,20
3925,20190102:1100,40.4,20
3925,20190102:1200,40.5,20
3925,20190102:1300,40.6,20
3925,20190102:1400,40.4,20
3925,20190102:1500,40.7,20
3925,20190102:1600,40.6,20
3925,20190102:1700,40.5,20
3925,20190102:1800,40.5,20
3925,20190102:1900,40.6,20
3925,20190102:2000,40.6,20
3925,20190102:2100,40.6,20
3925,20190102:2200,40.3,20
3925,20190102:2300,40.3,20
3925,20190103:0000,40.5,20
3925,20190103:0100,40.5,20
3925,20190103:0200,40.5,20
3925,20190103:0300,40.5,20
3925,20190103:0400,40.5,20
3925,20190103:0500,40.4,20
3925,20190103:0600,40.4,20
3925,20190103:0700,40.5,20
3925,20190103:0800,40.5,20
3925,20190103:0900,40.5,20
3925,20190103:1000,40.7,20
3925,20190103:1100,40.6,20
3925,20190103:1200,40.4,20
3925,20190103:1300,40.5,20
3925,20190103:1400,40.4,20
3925,20190103:1500,40,20
3925,20190103:1600,40.1,20
3925,20190103:1700,39.9,20
3925,20190103:1800,39.9,20
3925,20190103:1900,39.7,20
3925,20190103:2000,39.6,20
3925,20190103:2100,39.6,20
3925,20190103:2200,39.6,20
3925,20190103:2300,39.6,20
3925,20190104:0000,39.7,20
3925,20190104:0100,39.7,20
3925,20190104:0200,39.5,20
3925,20190104:0300,39.6,20
3925,20190104:0400,39.7,20
3925,20190104:0500,39.7,20
3925,20190104:0600,39.7,20
3925,20190104:0700,40,20
3925,20190104:0800,39.9,20
3925,20190104:0900,39.8,20
3925,20190104:1000,39.9,20
3925,20190104:1100,39.7,20
3925,20190104:1200,39.7,20
3925,20190104:1300,39.4,20
3925,20190104:1400,39.1,20
3925,20190104:1500,39.1,20
3925,20190104:1600,38.8,20
3925,20190104:1700,38.6,20
3925,20190104:1800,38.5,20
3925,20190104:1900,38.4,20
3925,20190104:2000,38.4,20
3925,20190104:2100,38.5,20
3925,20190104:2200,38.4,20
3925,20190104:2300,38.2,20
3925,20190105:0000,38.3,20
3925,20190105:0100,38.3,20
3925,20190105:0200,38.3,20
3925,20190105:0300,38.4,20
3925,20190105:0400,38.6,20
3925,20190105:0500,38.4,20
3925,20190105:0600,38.4,20
3925,20190105:0700,38.4,20
3925,20190105:0800,38.6,20
3925,20190105:0900,38.5,20
3925,20190105:1000,38.5,20
3925,20190105:1100,38.3,20
3925,20190105:1200,38.3,20
3925,20190105:1300,38.3,20
3925,20190105:1400,38,20
3925,20190105:1500,37.8,20
3925,20190105:1600,37.7,20
3925,20190105:1700,37.4,20
3925,20190105:1800,37.3,20
3925,20190105:1900,37.2,20
3925,20190105:2000,37.3,20
3925,20190105:2100,37.2,20
3925,20190105:2200,37.3,20
3925,20190105:2300,37.2,20
3925,20190106:0000,37.2,20
3925,20190106:0100,37.1,20
3925,20190106:0200,37.3,20
3925,20190106:0300,37.2,20
3925,20190106:0400,37.1,20
3925,20190106:0500,37.2,20
3925,20190106:0600,37.2,20
3925,20190106:0700,37.2,20
3925,20190106:0800,37.5,20
3925,20190106:0900,37.2,20
3925,20190106:1000,37.2,20
3925,20190106:1100,37.3,20
3925,20190106:1200,37.1,20
3925,20190106:1300,36.9,20
3925,20190106:1400,36.9,20
3925,20190106:1500,36.8,20
3925,20190106:1600,36.7,20
3925,20190106:1700,36.6,20
3925,20190106:1800,36.5,20
3925,20190106:1900,36.6,20
3925,20190106:2000,36.5,20
3925,20190106:2100,36.3,20
3925,20190106:2200,36.4,20
3925,20190106:2300,36.5,20
3925,20190107:0000,36.6,20
3925,20190107:0100,36.5,20
3925,20190107:0200,36.6,20
3925,20190107:0300,36.6,20
3925,20190107:0400,36.6,20
3925,20190107:0500,36.5,20
3925,20190107:0600,36.7,20
3925,20190107:0700,36.7,20
3925,20190107:0800,36.7,20
3925,20190107:0900,36.7,20
3925,20190107:1000,36.6,20
3925,20190107:1100,36.7,20
3925,20190107:1200,36.7,20
3925,20190107:1300,36.7,20
3925,20190107:1400,36.8,20
3925,20190107:1500,36.8,20
3925,20190107:1600,36.6,20
3925,20190107:1700,36.6,20
3925,20190107:1800,36.6,20
3925,20190107:1900,36.7,20
3925,20190107:2000,36.4,20
3925,20190107:2100,36.5,20
3925,20190107:2200,36.5,20
3925,20190107:2300,36.5,20
3925,20190108:0000,36.5,20
3925,20190108:0100,36.5,20
3925,20190108:0200,36.6,20
3925,20190108:0300,36.6,20
3925,20190108:0400,36.4,20
3925,20190108:0500,36.6,20
3925,20190108:0600,36.6,20
3925,20190108:0700,36.7,20
3925,20190108:0800,36.7,20
3925,20190108:0900,36.6,20
3925,20190108:1000,36.7,20
3925,20190108:1100,36.6,20
3925,20190108:1200,36.4,20
3925,20190108:1300,36.5,20
3925,20190108:1400,36.4,20
3925,20190108:1500,36.3,20
3925,20190108:1600,36.3,20
3925,20190108:1700,36.2,20
3925,20190108:1800,36.3,20
3925,20190108:1900,36.2,20
3925,20190108:2000,36.1,20
3925,20190108:2100,36.1,20
3925,20190108:2200,36.1,20
3925,20190108:2300,36.1,20
3925,20190109:0000,36.1,20
3925,20190109:0100,36.1,20
3925,20190109:0200,36.1,20
3925,20190109:0300,36.3,20
3925,20190109:0400,36.1,20
3925,20190109:0500,36.1,20
3925,20190109:0600,36.1,20
3925,20190109:0700,36.1,20
3925,20190109:0800,36.1,20
3925,20190109:0900,36.1,20
3925,20190109:1000,36.1,20
3925,20190109:1100,36.2,20
3925,20190109:1200,36,20
3925,20190109:1300,36,20
3925,20190109:1400,35.8,20
3925,20190109:1500,35.9,20
3925,20190109:1600,35.9,20
3925,20190109:1700,35.7,20
3925,20190109:1800,35.7,20
3925,20190109:1900,35.8,20
3925,20190109:2000,35.6,20
3925,20190109:2100,35.6,20
3925,20190109:2200,35.7,20
3925,20190109:2300,35.7,20
3925,20190110:0000,35.8,20
3925,20190110:0100,35.8,20
3925,20190110:0200,35.9,20
3925,20190110:0300,35.8,20
3925,20190110:0400,35.6,20
3925,20190110:0500,35.7,20
3925,20190110:0600,35.8,20
3925,20190110:0700,35.8,20
3925,20190110:0800,35.7,20
3925,20190110:0900,35.8,20
3925,20190110:1000,35.8,20
3925,20190110:1100,36,20
3925,20190110:1200,36.2,20
3925,20190110:1300,36.2,20
3925,20190110:1400,36.3,20
3925,20190110:1500,36.1,20
3925,20190110:1600,36.3,20
3925,20190110:1700,36.2,20
3925,20190110:1800,36.1,20
3925,20190110:1900,36.1,20
3925,20190110:2000,36.1,20
3925,20190110:2100,36.1,20
3925,20190110:2200,36.3,20
3925,20190110:2300,36.1,20
3925,20190111:0000,36.1,20
3925,20190111:0100,36.1,20
3925,20190111:0200,36.1,20
3925,20190111:0300,36.1,20
3925,20190111:0400,36.1,20
3925,20190111:0500,36.1,20
3925,20190111:0600,36.1,20
3925,20190111:0700,36.1,20
3925,20190111:0800,36.1,20
3925,20190111:0900,36.1,20
3925,20190111:1000,36.1,20
3925,20190111:1100,36.2,20
3925,20190111:1200,36,20
3925,20190111:1300,36,20
3925,20190111:1400,35.9,20
