Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
3925,20090101:2259,9.4,24,D
3925,20090102:2259,4.4,24,D
3925,20090103:2259,6.3,24,D
3925,20090104:2259,7.5,24,D
3925,20090105:2259,9.9,24,D
3925,20090106:2259,5,24,D
3925,20090107:2259,3.8,24,D
3925,20090108:2259,13.2,24,D
3925,20090109:2259,3.5,24,D
3925,20090110:2259,12.9,24,D
3925,20090111:2259,11.7,24,D
3925,20090112:2259,13.2,24,D
3925,20090113:2259,10.5,24,D
3925,20090114:2259,8.9,24,D
3925,20090115:2259,10.7,24,D
3925,20090116:2259,8.2,24,D
3925,20090117:2259,0.1,24,D
3925,20090118:2259,3.1,24,D
3925,20090119:2259,4.9,24,D
3925,20090120:2259,5.9,24,D
3925,20090121:2259,8.3,24,D
3925,20090122:2259,6.9,24,D
3925,20090123:2259,12.7,24,D
3925,20090124:2259,13,24,D
3925,20090125:2259,10.9,24,D
3925,20090126:2259,11.7,24,D
3925,20090127:2259,9.1,24,D
3925,20090128:2259,11.3,24,D
3925,20090129:2259,5.4,24,D
3925,20090130:2259,0.5,24,D
3925,20090131:2259,4.6,24,D
3925,20090201:2259,2.1,24,D
3925,20090202:2259,10.9,24,D
3925,20090203:2259,5.4,24,D
3925,20090204:2259,0.9,24,D
3925,20090205:2259,9.2,24,D
3925,20090206:2259,8.8,24,D
3925,20090207:2259,7.4,24,D
3925,20090208:2259,12.4,24,D
3925,20090209:2259,5.1,24,D
3925,20090210:2259,10.1,24,D
3925,20090211:2259,6.3,24,D
3925,20090212:2259,0,24,D
3925,20090213:2259,4.7,24,D
3925,20090214:2259,12.5,24,D
3925,20090215:2259,7.2,24,D
3925,20090216:2259,7.2,24,D
3925,20090217:2259,10.6,24,D
3925,20090218:2259,12,24,D
3925,20090219:2259,8.2,24,D
3925,20090220:2259,0.4,24,D
3925,20090221:2259,7.5,24,D
3925,20090222:2259,1.3,24,D
3925,20090223:2259,3.8,24,D
3925,20090224:2259,3.6,24,D
3925,20090225:2259,5.9,24,D
3925,20090226:2259,0.5,24,D
3925,20090227:2259,4,24,D
3925,20090228:2259,2,24,D
3925,20090301:2259,1.1,24,D
3925,20090302:2259,5.1,24,D
3925,20090303:2259,10.4,24,D
3925,20090304:2259,9.5,24,D
3925,20090305:2259,1.7,24,D
3925,20090306:2259,3.3,24,D
3925,20090307:2259,5.9,24,D
3925,20090308:2259,1.9,24,D
3925,20090309:2259,5.2,24,D
3925,20090310:2259,0.7,24,D
3925,20090311:2259,5.3,24,D
3925,20090312:2259,5,24,D
3925,20090313:2259,8.8,24,D
3925,20090314:2259,8.4,24,D
3925,20090315:2259,7.6,24,D
3925,20090316:2259,8,24,D
3925,20090317:2259,8.9,24,D
3925,20090318:2259,0.1,24,D
3925,20090319:2259,2.9,24,D
3925,20090320:2259,2.9,24,D
3925,20090321:2259,4.9,24,D
3925,20090322:2259,10.8,24,D
3925,20090323:2259,10.8,24,D
3925,20090324:2259,9,24,D
3925,20090325:2259,4.4,24,D
3925,20090326:2259,9.6,24,D
3925,20090327:2259,4.4,24,D
3925,20090328:2259,6.5,24,D
3925,20090329:2259,5.9,24,D
