Date(NZST),WindDir(DegT),Speed(m/s),WindDir StdDev,WindSpd StdDev
20090101,242,1,74,0.8
20090102,28,0.7,79,0.6
20090103,214,0.6,22,0.5
20090104,304,0.8,34,0.4
20090105,101,1.7,23,0.5
20090106,15,0.8,50,0.4
20090107,91,1,53,0.6
20090108,111,1.9,43,0.7
20090109,324,0.8,62,0.5
20090110,155,1.2,45,0.5
20090111,182,1.4,22,0.4
20090112,115,1.3,54,0.5
20090113,136,1.4,69,0.8
20090114,278,0.8,58,0.4
20090115,215,1.1,34,0.5
20090116,115,1,14,0.6
20090117,8,3.1,30,1.2
20090118,339,1.4,46,0.7
20090119,321,0.6,51,0.4
20090120,195,0.6,26,0.4
20090121,300,0.8,30,0.4
20090122,317,0.4,15,0.4
20090123,111,2.1,15,0.6
20090124,131,1.2,42,0.5
20090125,139,1.2,40,0.8
20090126,98,1.8,25,0.6
20090127,211,1.1,35,0.5
20090128,64,0.7,79,0.4
20090129,291,0.4,55,0.5
20090130,118,1.5,16,0.5
20090131,265,0.4,15,0.3
20090201,181,0.5,69,0.6
20090202,342,0.9,29,0.5
20090203,298,0.4,35,0.4
20090204,165,0.3,30,0.3
20090205,108,1.4,41,0.6
20090206,302,0.6,33,0.4
20090207,99,1.3,17,0.9
20090208,129,1.1,27,0.7
20090209,86,0.8,76,0.7
20090210,357,0.3,50,0.4
20090211,152,0.6,51,0.5
20090212,222,1,66,0.6
20090213,321,0.4,30,0.4
20090214,123,1.8,28,0.8
20090215,125,0.7,55,0.7
20090216,223,0.4,23,0.4
20090217,122,1.3,20,0.5
20090218,76,1.4,54,0.7
20090219,76,0.3,52,0.3
20090220,286,0.1,11,0.3
20090221,28,3.4,25,1.2
20090222,358,0.5,31,0.6
20090223,330,0.3,64,0.4
20090224,332,0.3,59,0.4
20090225,5,0.6,47,0.5
20090226,294,0.3,22,0.4
20090227,140,1.4,33,0.8
20090228,152,0.4,25,0.5
20090301,29,4.1,24,1.4
20090302,285,0.1,12,0.2
20090303,119,2.3,14,0.6
20090304,325,0.5,28,0.5
20090305,291,0.3,14,0.4
20090306,38,3.8,24,1.3
20090307,356,0.3,39,0.4
20090308,105,0.3,20,0.4
20090309,111,0.3,34,0.3
20090310,316,0.6,24,0.4
20090311,327,0.4,46,0.4
20090312,322,0.5,23,0.4
20090313,329,0.6,37,0.4
20090314,112,1.8,15,0.5
20090315,120,2.3,16,0.6
20090316,293,0.2,7,0.4
20090317,284,0.1,7,0.2
20090318,332,0.4,20,0.4
20090319,59,0.9,64,0.5
20090320,252,0.4,18,0.4
20090321,108,1.2,19,0.5
20090322,102,1.5,56,0.9
20090323,109,2.5,28,1.2
20090324,116,2.1,12,0.6
20090325,118,2.2,13,0.5
20090326,122,0.3,43,0.3
20090327,86,1.2,50,0.7
20090328,330,0.6,20,0.4
20090329,301,0.3,9,0.3
20090330,138,2,16,0.6
20090331,116,2.1,15,0.7
20090401,135,1.7,19,0.6
20090402,0,0,0,0
20090403,45,0.5,42,0.4
20090404,317,0.7,32,0.5
20090405,320,0.8,54,0.6
20090406,149,0.3,52,0.3
20090407,21,3.4,37,1.3
20090408,148,1.5,35,0.9
20090409,145,1.4,27,0.6
20090410,316,0.4,20,0.3
20090411,306,0.7,19,0.5
20090412,294,1,26,0.4
20090413,100,0.1,9,0.2
20090414,77,0.7,70,0.6
20090415,197,0.5,60,0.4
20090416,13,4,30,1.6
20090417,299,0.3,10,0.4
20090418,254,0.3,22,0.4
20090419,334,0.8,33,0.5
20090420,123,2.1,16,0.5
20090421,317,0.1,14,0.2
20090422,106,1.8,14,0.9
20090423,121,2.3,15,0.8
20090424,63,0.4,41,0.5
20090425,316,0.4,46,0.3
20090426,52,3.8,24,1.2
20090427,354,2.4,35,1.1
20090428,330,1.3,38,0.7
20090429,53,4.2,20,1.3
20090430,82,1.2,59,0.8
20090501,32,0.5,47,0.4
20090502,294,0.2,21,0.3
20090503,309,0.6,38,0.4
20090504,116,1.9,11,0.4
20090505,334,0.9,35,0.4
20090506,0,0,1,0.1
20090507,350,0.6,62,0.3
20090508,173,1.4,26,0.7
20090509,338,0.9,24,0.4
20090510,56,0.6,88,0.4
20090511,134,1.9,20,0.5
20090512,31,0.3,56,0.2
20090513,306,0.4,31,0.4
20090514,316,0.6,18,0.5
20090515,172,1.3,69,0.8
20090516,6,2.1,34,1
20090517,34,2.5,28,1.3
20090518,35,3.7,22,1.2
20090519,292,0.8,83,0.6
20090520,89,0.7,8,1.1
20090521,114,2.9,17,0.8
20090522,284,0.9,78,0.5
20090523,148,0.5,37,0.5
20090524,125,2.2,16,0.6
20090525,134,1.6,22,0.7
20090526,286,0.2,8,0.3
20090527,270,0.2,2,0.2
20090528,353,0.3,29,0.3
20090529,321,0.5,30,0.4
20090530,260,0.5,71,0.4
20090531,138,2.3,26,0.6
20090601,286,0.7,33,0.5
20090602,284,0.3,11,0.2
20090603,302,0.5,21,0.2
20090604,266,0.4,48,0.3
20090605,300,0.4,23,0.3
20090606,152,1.4,39,0.8
20090607,257,0.4,61,0.3
20090608,332,0.5,44,0.3
20090609,36,3.1,20,0.9
20090610,138,1,49,0.5
20090611,109,1.4,20,0.5
20090612,166,0.9,82,0.5
20090613,132,0.6,61,0.4
20090614,213,0.4,21,0.3
20090615,233,0.7,40,0.5
20090616,80,0.8,47,0.4
20090617,300,0.6,18,0.3
20090618,56,0.7,56,0.3
20090619,0,0,0,0
20090620,79,0.3,0,0.2
20090621,274,0.2,0,0.3
20090622,259,0.4,0,0.2
20090623,0,0,0,0
20090624,0,0,0,0
20090625,0,0,0,0
20090626,358,0.8,42,0.4
20090627,171,0.4,77,0.3
20090628,128,1.7,16,0.5
20090629,178,1.7,36,0.8
20090630,194,0.6,97,0.4
20090701,282,0.4,16,0.4
20090702,346,0.7,76,0.3
20090703,356,0.6,79,0.5
20090704,122,0.5,14,0.4
20090705,11,0.3,46,0.2
20090706,276,0.5,28,0.3
20090707,336,0.4,55,0.3
20090708,127,2,24,0.6
20090709,356,0.4,45,0.3
20090710,320,1,25,0.4
20090711,303,0.2,13,0.3
20090712,130,2.4,15,0.6
20090713,152,0.7,76,0.4
20090714,70,0.7,87,0.5
20090715,104,2,23,0.9
20090716,132,0.9,61,0.4
20090717,115,1.3,13,0.7
20090718,165,1.7,30,1.1
20090719,172,0.8,62,0.7
20090720,0,0,0,0
20090721,117,0.5,16,0.5
20090722,46,0.4,74,0.5
20090723,21,4.4,27,1.7
20090724,131,1.1,19,0.5
20090725,0,0,0,0
20090726,284,0.3,6,0.5
20090727,101,0.9,14,0.4
20090728,319,0.4,22,0.5
20090729,306,0.2,9,0.4
20090730,183,0.5,65,0.5
20090731,117,0.4,12,0.5
20090801,100,0.5,14,0.6
20090802,111,1.2,13,0.6
20090803,270,0.1,3,0.2
20090804,24,4,40,1.5
20090805,357,0.6,47,0.5
20090806,114,2,19,0.8
20090807,323,0.7,24,0.4
20090808,117,2.1,11,0.5
20090809,99,0.8,14,0.4
20090810,0,0,24,0.1
20090811,121,2,31,1.3
20090812,124,0.2,16,0.3
20090813,179,0.4,31,0.4
20090814,103,1.5,18,0.6
20090815,318,0.4,47,0.4
20090816,128,0.8,17,0.4
20090817,128,0.2,32,0.3
20090818,39,0.7,30,0.5
20090819,132,1.7,27,0.7
20090820,279,0.1,4,0.2
20090821,311,0.6,22,0.4
20090822,357,0.2,44,0.3
20090823,126,0.9,33,0.7
20090824,66,0.1,16,0.2
20090825,32,5.4,21,1.7
20090826,250,1.5,61,1
20090827,279,0.3,63,0.4
20090828,132,1.8,33,0.7
20090829,360,0.4,62,0.5
20090830,346,1,26,0.5
20090831,194,1.4,43,0.9
20090901,52,3.8,22,1.5
20090902,247,1.3,80,0.9
20090903,323,0.7,19,0.6
20090904,302,0.1,9,0.3
20090905,323,0.2,28,0.3
20090906,313,0.4,18,0.4
20090907,330,0.2,25,0.3
20090908,355,0.3,41,0.3
20090909,317,0.2,29,0.3
20090910,343,0.8,69,0.8
20090911,249,0.2,16,0.3
20090912,12,0.3,21,0.4
20090913,298,0.2,18,0.3
20090914,321,0.2,46,0.3
20090915,140,1.8,37,1.1
