Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
3925,20190101:0800,25.6,24,14.3,24,12.5,24,20,-,24,D
3925,20190102:0800,26.9,24,16.6,24,15.8,24,21.8,-,24,D
3925,20190103:0800,24.8,24,16,24,13.2,24,20.4,-,24,D
3925,20190104:0800,23.1,24,13.3,24,10.2,24,18.2,-,24,D
3925,20190105:0800,22.1,24,8.4,24,5.4,24,15.3,-,24,D
3925,20190106:0800,25.8,24,14.4,24,14.5,24,20.1,-,24,D
3925,20190107:0800,27.2,24,13.7,24,13.3,24,20.5,-,24,D
3925,20190108:0800,23.1,24,9.6,24,6,24,16.4,-,24,D
3925,20190109:0800,24.5,24,9.2,24,6.4,24,16.9,-,24,D
3925,20190110:0800,26.5,24,15.8,24,13.3,24,21.2,-,24,D
3925,20190111:0800,27.3,24,15.5,24,13.8,24,21.4,-,24,D
3925,20190112:0800,23.8,24,8.7,24,6.1,24,16.3,-,24,D
3925,20190113:0800,26,24,10,24,6.8,24,18,-,24,D
3925,20190114:0800,22.2,24,10.5,24,9.9,24,16.4,-,24,D
3925,20190115:0800,22.2,24,7.7,24,5.5,24,15,-,24,D
3925,20190116:0800,29.3,24,6.2,24,2,24,17.8,-,24,D
3925,20190117:0800,28.6,24,10.2,24,7.2,24,19.4,-,24,D
3925,20190118:0800,27.7,24,14.9,24,12.7,24,21.3,-,24,D
3925,20190119:0800,28.7,24,15,24,12.8,24,21.9,-,24,D
3925,20190120:0800,23.9,24,12.2,24,10,24,18.1,-,24,D
3925,20190121:0800,20.7,24,12.9,24,12.8,24,16.8,-,24,D
3925,20190122:0800,17.5,24,11.6,24,10.3,24,14.6,-,24,D
3925,20190123:0800,20.6,24,13,24,14.6,24,16.8,-,24,D
3925,20190124:0800,24.1,24,10,24,7.9,24,17.1,-,24,D
3925,20190125:0800,21,24,8.1,24,5.3,24,14.6,-,24,D
3925,20190126:0800,21,24,10.2,24,7.2,24,15.6,-,24,D
3925,20190127:0800,23.3,24,13.8,24,12.2,24,18.6,-,24,D
3925,20190128:0800,28.2,24,16.4,24,17,24,22.3,-,24,D
3925,20190129:0800,27.5,24,13.3,24,10.4,24,20.4,-,24,D
3925,20190130:0800,31.1,24,13.2,24,9.9,24,22.2,-,24,D
3925,20190131:0800,30.8,24,14.4,24,12.6,24,22.6,-,24,D
3925,20190201:0800,32.1,24,16.2,24,16.2,24,24.2,-,24,D
3925,20190202:0800,23.3,24,6.6,24,2.9,24,15,-,24,D
3925,20190203:0800,25.6,24,7.1,24,3.9,24,16.4,-,24,D
3925,20190204:0800,26.9,24,10.9,24,9.1,24,18.9,-,24,D
3925,20190205:0800,27.1,24,13,24,10.7,24,20.1,-,24,D
3925,20190206:0800,23.2,24,15.2,24,15.8,24,19.2,-,24,D
3925,20190207:0800,26.6,24,13.3,24,12.5,24,20,-,24,D
3925,20190208:0800,26.2,24,12.5,24,9.2,24,19.4,-,24,D
3925,20190209:0800,24.9,24,15.1,24,14.9,24,20,-,24,D
3925,20190210:0800,22.3,24,12.8,24,9.5,24,17.6,-,24,D
3925,20190211:0800,26.6,24,9.4,24,7,24,18,-,24,D
3925,20190212:0800,27.9,24,13.1,24,13.1,24,20.5,-,24,D
3925,20190213:0800,25.2,24,14,24,12.3,24,19.6,-,24,D
3925,20190214:0800,28.8,24,11.6,24,8.2,24,20.2,-,24,D
3925,20190215:0800,28.5,24,12.9,24,10.5,24,20.7,-,24,D
3925,20190216:0800,22.7,24,11.9,24,8.2,24,17.3,-,24,D
3925,20190217:0800,23.9,24,9.2,24,5.5,24,16.6,-,24,D
3925,20190218:0800,22.7,24,12.3,24,10.6,24,17.5,-,24,D
3925,20190219:0800,24.2,24,14.7,24,13.4,24,19.5,-,24,D
3925,20190220:0800,27.4,24,15.4,24,13.9,24,21.4,-,24,D
3925,20190221:0800,23.4,24,15,24,11.1,24,19.2,-,24,D
3925,20190222:0800,26.1,24,16.2,24,14.1,24,21.2,-,24,D
3925,20190223:0800,25.6,24,8.8,24,4.4,24,17.2,-,24,D
3925,20190224:0800,20.5,24,9.5,24,6.7,24,15,-,24,D
3925,20190225:0800,18.3,24,5.2,24,2,24,11.8,-,24,D
3925,20190226:0800,22.4,24,4.5,24,1.2,24,13.5,-,24,D
3925,20190227:0800,22.2,24,8.3,24,7.5,24,15.3,-,24,D
3925,20190228:0800,19.2,24,5.9,24,2.7,24,12.6,-,24,D
3925,20190301:0800,21.1,24,2.8,24,-0.5,24,12,-,24,D
3925,20190302:0800,22.4,24,4.2,24,1.3,24,13.3,-,24,D
3925,20190303:0800,26.3,24,6.4,24,2.9,24,16.4,-,24,D
3925,20190304:0800,27.6,24,9.2,24,7.7,24,18.4,-,24,D
3925,20190305:0800,23.4,24,10,24,6.1,24,16.7,-,24,D
3925,20190306:0800,22,24,14.2,24,13.6,24,18.1,-,24,D
3925,20190307:0800,23.6,24,13.3,24,11,24,18.5,-,24,D
3925,20190308:0800,22,24,13,24,12,24,17.5,-,24,D
3925,20190309:0800,21.4,24,9.2,24,7,24,15.3,-,24,D
3925,20190310:0800,24.7,24,12.2,24,13.7,24,18.5,-,24,D
3925,20190311:0800,26.2,24,14.5,24,13.4,24,20.4,-,24,D
3925,20190312:0800,22.4,24,14.9,24,13.7,24,18.7,-,24,D
3925,20190313:0800,21.8,24,15.4,24,15.8,24,18.6,-,24,D
