Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
20090101,14.6,13.2,85,12.1,,,,,,
20090102,11.5,10.3,85,9.1,,,,,,
20090103,13.4,12.6,91,12,,,,,,
20090104,10.6,9.6,87,8.5,,,,,,
20090105,12.4,10.3,75,8.1,,,,,,
20090106,14.5,12.8,81,11.3,,,,,,
20090107,15.3,14.1,87,13.2,,,,,,
20090108,17.1,15,79,13.4,,,,,,
20090109,16.5,15.4,88,14.5,,,,,,
20090110,14.9,13.4,84,12.2,,,,,,
20090111,16,12.4,63,9,,,,,,
20090112,15.3,13.2,78,11.5,,,,,,
20090113,15.7,13.6,78,11.9,,,,,,
20090114,14.4,12.8,82,11.4,,,,,,
20090115,15.4,14,85,12.9,,,,,,
20090116,14.5,12.5,78,10.7,,,,,,
20090117,17.6,14.8,72,12.5,,,,,,
20090118,13.2,12.3,89,11.4,,,,,,
20090119,12,11.3,91,10.6,,,,,,
20090120,11.6,10.2,83,8.8,,,,,,
20090121,11.5,10.3,85,9.1,,,,,,
20090122,13.1,12,87,11,,,,,,
20090123,15.8,13.6,77,11.8,,,,,,
20090124,14.1,12.7,84,11.5,,,,,,
20090125,16,14.1,80,12.6,,,,,,
20090126,16.2,13.7,74,11.6,,,,,,
20090127,17.4,16,86,15,,,,,,
20090128,10.5,8,69,5.1,,,,,,
20090129,14,12.3,81,10.8,,,,,,
20090130,13.2,10.7,72,8.3,,,,,,
20090131,16.3,15.6,93,15.2,,,,,,
20090201,18.1,16.7,86,15.7,,,,,,
20090202,12.2,10.6,81,9.1,,,,,,
20090203,10.4,9.6,90,8.8,,,,,,
20090204,12.4,11.7,91,11,,,,,,
20090205,12.1,11.3,90,10.5,,,,,,
20090206,13.1,12.3,90,11.5,,,,,,
20090207,16,15,89,14.2,,,,,,
20090208,16.1,14,78,12.3,,,,,,
20090209,19.4,17.5,82,16.3,,,,,,
20090210,18.1,16.7,86,15.7,,,,,,
20090211,13.5,11.4,76,9.4,,,,,,
20090212,12,11.4,93,10.9,,,,,,
20090213,13.1,12.3,90,11.5,,,,,,
20090214,11.5,8.2,61,4.3,,,,,,
20090215,14,12.8,86,11.7,,,,,,
20090216,13.4,12.5,90,11.8,,,,,,
20090217,12.4,10.9,82,9.4,,,,,,
20090218,11,9.7,84,8.4,,,,,,
20090219,10.4,10.1,96,9.8,,,,,,
20090220,15.3,14.9,95,14.5,,,,,,
20090221,16.7,14.8,80,13.2,,,,,,
20090222,14.2,13.1,88,12.3,,,,,,
20090223,11.9,11.3,93,10.8,,,,,,
20090224,11.6,11,92,10.4,,,,,,
20090225,12.1,11.6,94,11.2,,,,,,
20090226,12.7,11.6,87,10.6,,,,,,
20090227,13.3,12.4,90,11.7,,,,,,
20090228,13.8,13.3,94,12.9,,,,,,
20090301,16.4,14.7,82,13.3,,,,,,
20090302,13.9,13.4,94,13,,,,,,
20090303,11.5,10.5,88,9.6,,,,,,
20090304,10.5,10.2,96,9.9,,,,,,
20090305,12.4,12.1,96,11.8,,,,,,
20090306,18.8,18,92,17.5,,,,,,
20090307,13.4,13.1,96,12.8,,,,,,
20090308,13.3,12.7,93,12.2,,,,,,
20090309,9.6,8.8,89,7.9,,,,,,
20090310,8.6,8.3,96,8,,,,,,
20090311,7.7,7.4,95,7,,,,,,
20090312,5.3,5.1,97,4.9,,,,,,
20090313,9.7,9.3,94,8.8,,,,,,
20090314,12.6,10.8,79,9.1,,,,,,
20090315,10.5,9.7,90,8.9,,,,,,
20090316,10.9,10.4,94,10,,,,,,
20090317,11.8,11.2,92,10.5,,,,,,
20090318,9.6,9.2,95,8.8,,,,,,
20090319,13.2,12.9,96,12.6,,,,,,
20090320,11.2,10.6,92,10,,,,,,
20090321,7.6,7.4,97,7.2,,,,,,
20090322,7.4,6.3,84,4.9,,,,,,
20090323,6.2,4.7,77,2.5,,,,,,
20090324,5.8,5.2,91,4.5,,,,,,
20090325,10.1,9.3,90,8.6,,,,,,
20090326,5.8,5.6,96,5.2,,,,,,
20090327,10.9,10.2,91,9.5,,,,,,
20090328,8.6,8.4,97,8.2,,,,,,
20090329,10.3,10,96,9.7,,,,,,
20090330,14.1,12.7,84,11.5,,,,,,
20090331,11.6,10.7,89,9.9,,,,,,
20090401,6,4.8,82,3.2,,,,,,
20090402,3.2,3,96,2.6,,,,,,
20090403,7.8,7.4,94,6.9,,,,,,
20090404,7.5,7.2,96,6.9,,,,,,
20090405,11.8,10.7,87,9.7,,,,,,
20090406,13.8,13.2,93,12.7,,,,,,
20090407,13.9,13.3,93,12.8,,,,,,
20090408,6.8,6.1,89,5.1,,,,,,
20090409,5.6,4.8,87,3.6,,,,,,
20090410,3.3,3,95,2.6,,,,,,
20090411,6.7,6.2,93,5.7,,,,,,
20090412,10,9.4,92,8.8,,,,,,
20090413,9.2,8.9,96,8.6,,,,,,
20090414,10.7,10.2,93,9.6,,,,,,
20090415,7.2,7,97,6.8,,,,,,
20090416,16.2,14.4,81,13,,,,,,
20090417,15.5,15,94,14.5,,,,,,
20090418,14.2,13.8,95,13.4,,,,,,
20090419,12.6,12.4,97,12.1,,,,,,
20090420,12.7,11.8,89,10.9,,,,,,
20090421,5,3.9,82,2.2,,,,,,
20090422,6.6,5.7,87,4.6,,,,,,
20090423,6.3,5.4,87,4.3,,,,,,
20090424,6.5,6,93,5.5,,,,,,
20090425,7.1,6.8,96,6.5,,,,,,
20090426,17,15.4,84,14.3,,,,,,
20090427,15.1,13.3,80,11.7,,,,,,
20090428,14.3,13.8,94,13.4,,,,,,
