Station,Date(NZST),Dir(DegT),Speed(m/s),Period(Hrs),Freq
3925,20090101:2259,275,9.3,24,D
3925,20090102:2259,44,11.8,24,D
3925,20090103:2259,13,11.8,24,D
3925,20090104:2259,190,7.7,24,D
3925,20090105:2259,185,7.2,24,D
3925,20090106:2259,216,6.7,24,D
3925,20090107:2259,344,6.7,24,D
3925,20090108:2259,116,5.7,24,D
3925,20090109:2259,348,9.3,24,D
3925,20090110:2259,236,6.2,24,D
3925,20090111:2259,201,8.8,24,D
3925,20090112:2259,276,9.3,24,D
3925,20090113:2259,198,7.7,24,D
3925,20090114:2259,180,7.7,24,D
3925,20090115:2259,191,8.2,24,D
3925,20090116:2259,264,7.2,24,D
3925,20090117:2259,59,11.3,24,D
3925,20090118:2259,338,9.8,24,D
3925,20090119:2259,280,7.2,24,D
3925,20090120:2259,203,8.8,24,D
3925,20090121:2259,205,6.7,24,D
3925,20090122:2259,206,7.7,24,D
3925,20090123:2259,179,8.8,24,D
3925,20090124:2259,266,6.7,24,D
3925,20090125:2259,250,9.3,24,D
3925,20090126:2259,258,7.2,24,D
3925,20090127:2259,205,9.8,24,D
3925,20090128:2259,266,6.2,24,D
3925,20090129:2259,202,7.2,24,D
3925,20090130:2259,192,5.1,24,D
3925,20090131:2259,270,7.2,24,D
3925,20090201:2259,196,7.7,24,D
3925,20090202:2259,331,7.7,24,D
3925,20090203:2259,243,5.1,24,D
3925,20090204:2259,269,4.1,24,D
3925,20090205:2259,28,5.7,24,D
3925,20090206:2259,338,8.2,24,D
3925,20090207:2259,186,9.3,24,D
3925,20090208:2259,154,7.7,24,D
3925,20090209:2259,166,7.7,24,D
3925,20090210:2259,183,9.3,24,D
3925,20090211:2259,198,6.7,24,D
3925,20090212:2259,186,6.2,24,D
3925,20090213:2259,144,5.7,24,D
3925,20090214:2259,222,7.2,24,D
3925,20090215:2259,185,7.2,24,D
3925,20090216:2259,243,6.7,24,D
3925,20090217:2259,210,7.2,24,D
3925,20090218:2259,1,9.3,24,D
3925,20090219:2259,352,7.2,24,D
3925,20090220:2259,48,10.3,24,D
3925,20090221:2259,10,9.8,24,D
3925,20090222:2259,323,6.7,24,D
3925,20090223:2259,342,8.2,24,D
3925,20090224:2259,37,5.1,24,D
3925,20090225:2259,292,4.6,24,D
3925,20090226:2259,341,4.1,24,D
3925,20090227:2259,128,4.6,24,D
3925,20090228:2259,23,6.7,24,D
3925,20090301:2259,44,18.5,24,D
3925,20090302:2259,160,6.7,24,D
3925,20090303:2259,14,6.2,24,D
3925,20090304:2259,310,7.2,24,D
3925,20090305:2259,73,4.1,24,D
3925,20090306:2259,32,11.3,24,D
3925,20090307:2259,6,7.2,24,D
3925,20090308:2259,200,5.1,24,D
3925,20090309:2259,178,6.7,24,D
3925,20090310:2259,178,6.7,24,D
3925,20090311:2259,190,7.7,24,D
3925,20090312:2259,217,8.8,24,D
3925,20090313:2259,61,6.2,24,D
3925,20090314:2259,183,6.2,24,D
3925,20090315:2259,247,5.7,24,D
3925,20090316:2259,227,5.1,24,D
3925,20090317:2259,331,4.1,24,D
3925,20090318:2259,29,7.2,24,D
3925,20090319:2259,167,8.2,24,D
3925,20090320:2259,198,6.7,24,D
3925,20090321:2259,255,5.1,24,D
3925,20090322:2259,112,6.7,24,D
3925,20090323:2259,166,5.7,24,D
3925,20090324:2259,265,6.2,24,D
3925,20090325:2259,260,5.7,24,D
3925,20090326:2259,239,6.7,24,D
3925,20090327:2259,58,10.8,24,D
3925,20090328:2259,197,6.7,24,D
3925,20090329:2259,147,7.2,24,D
3925,20090330:2259,177,8.2,24,D
3925,20090331:2259,142,5.1,24,D
3925,20090401:2259,248,5.1,24,D
3925,20090402:2259,196,6.7,24,D
3925,20090403:2259,304,5.1,24,D
3925,20090404:2259,9,4.6,24,D
3925,20090405:2359,344,10.3,24,D
3925,20090406:2359,6,8.8,24,D
3925,20090407:2359,12,12.4,24,D
3925,20090408:2359,11,9.8,24,D
3925,20090409:2359,260,7.2,24,D
3925,20090410:2359,321,4.6,24,D
3925,20090411:2359,204,6.7,24,D
3925,20090412:2359,167,5.7,24,D
3925,20090413:2359,19,6.7,24,D
3925,20090414:2359,356,4.6,24,D
3925,20090415:2359,354,6.7,24,D
3925,20090416:2359,35,12.9,24,D
3925,20090417:2359,48,6.7,24,D
3925,20090418:2359,246,3.6,24,D
3925,20090419:2359,274,4.1,24,D
3925,20090420:2359,171,8.2,24,D
3925,20090421:2359,122,4.6,24,D
3925,20090422:2359,109,5.1,24,D
3925,20090423:2359,112,5.1,24,D
3925,20090424:2359,105,4.1,24,D
3925,20090425:2359,331,6.2,24,D
3925,20090426:2359,9,10.3,24,D
3925,20090427:2359,44,12.4,24,D
3925,20090428:2359,345,8.8,24,D
3925,20090429:2359,58,10.8,24,D
3925,20090430:2359,167,7.7,24,D
3925,20090501:2359,172,4.1,24,D
3925,20090502:2359,118,4.1,24,D
3925,20090503:2359,98,5.1,24,D
3925,20090504:2359,102,4.1,24,D
3925,20090505:2359,65,6.7,24,D
3925,20090506:2359,92,6.2,24,D
3925,20090507:2359,129,3.1,24,D
3925,20090508:2359,59,5.7,24,D
3925,20090509:2359,88,4.1,24,D
3925,20090510:2359,170,6.2,24,D
3925,20090511:2359,98,5.7,24,D
3925,20090512:2359,128,3.6,24,D
3925,20090513:2359,298,3.6,24,D
3925,20090514:2359,71,9.3,24,D
3925,20090515:2359,308,11.8,24,D
3925,20090516:2359,49,12.4,24,D
3925,20090517:2359,15,18,24,D
3925,20090518:2359,42,11.8,24,D
3925,20090519:2359,156,8.8,24,D
3925,20090520:2359,213,7.2,24,D
3925,20090521:2359,108,5.1,24,D
3925,20090522:2359,202,7.7,24,D
3925,20090523:2359,141,13.4,24,D
3925,20090524:2359,199,8.2,24,D
3925,20090525:2359,275,7.2,24,D
3925,20090526:2359,141,2.6,24,D
3925,20090527:2359,138,3.1,24,D
3925,20090528:2359,92,3.6,24,D
3925,20090529:2359,228,3.1,24,D
3925,20090530:2359,298,4.1,24,D
3925,20090531:2359,161,13.9,24,D
3925,20090601:2359,110,7.2,24,D
3925,20090602:2359,114,4.6,24,D
3925,20090603:2359,329,3.1,24,D
3925,20090604:2359,273,2.6,24,D
3925,20090605:2359,288,2.1,24,D
3925,20090606:2359,126,4.6,24,D
3925,20090607:2359,110,5.1,24,D
3925,20090608:2359,45,5.7,24,D
3925,20090609:2359,22,6.7,24,D
3925,20090610:2359,27,10.3,24,D
3925,20090611:2359,62,5.1,24,D
3925,20090612:2359,115,6.2,24,D
3925,20090613:2359,147,5.1,24,D
3925,20090614:2359,196,6.2,24,D
3925,20090615:2359,152,5.1,24,D
3925,20090616:2359,146,6.7,24,D
3925,20090617:2359,113,3.6,24,D
3925,20090618:2359,304,2.1,24,D
3925,20090619:2359,104,4.6,24,D
3925,20090620:2359,274,2.6,24,D
3925,20090621:2359,259,2.6,24,D
3925,20090622:2359,279,2.1,24,D
3925,20090623:2359,248,2.1,24,D
3925,20090624:2359,317,2.6,24,D
3925,20090625:2359,288,2.1,24,D
3925,20090626:2359,236,5.1,24,D
3925,20090627:2359,268,2.6,24,D
3925,20090628:2359,207,5.1,24,D
3925,20090629:2359,149,8.8,24,D
3925,20090630:2359,99,2.6,24,D
3925,20090701:2359,265,2.6,24,D
3925,20090702:2359,326,4.1,24,D
3925,20090703:2359,312,2.6,24,D
3925,20090704:2359,225,4.1,24,D
3925,20090705:2359,196,4.1,24,D
3925,20090706:2359,23,9.8,24,D
3925,20090707:2359,128,6.7,24,D
3925,20090708:2359,116,5.7,24,D
3925,20090709:2359,115,3.6,24,D
3925,20090710:2359,298,2.6,24,D
3925,20090711:2359,125,4.6,24,D
3925,20090712:2359,175,7.7,24,D
3925,20090713:2359,127,4.6,24,D
3925,20090714:2359,110,2.1,24,D
3925,20090715:2359,160,5.7,24,D
3925,20090716:2359,103,5.1,24,D
3925,20090717:2359,93,5.7,24,D
3925,20090718:2359,160,6.7,24,D
3925,20090719:2359,157,11.8,24,D
3925,20090720:2359,168,3.6,24,D
3925,20090721:2359,252,9.8,24,D
3925,20090722:2359,278,5.7,24,D
3925,20090723:2359,351,13.9,24,D
3925,20090724:2359,142,6.7,24,D
3925,20090725:2359,117,4.6,24,D
3925,20090726:2359,110,4.1,24,D
3925,20090727:2359,109,4.6,24,D
3925,20090728:2359,58,4.6,24,D
3925,20090729:2359,304,2.6,24,D
3925,20090730:2359,214,7.2,24,D
3925,20090731:2359,196,9.3,24,D
3925,20090801:2359,188,5.1,24,D
3925,20090802:2359,59,10.8,24,D
3925,20090803:2359,129,3.6,24,D
3925,20090804:2359,30,10.3,24,D
3925,20090805:2359,33,6.2,24,D
3925,20090806:2359,114,5.7,24,D
3925,20090807:2359,247,4.1,24,D
3925,20090808:2359,129,4.6,24,D
3925,20090809:2359,123,4.6,24,D
3925,20090810:2359,134,4.6,24,D
3925,20090811:2359,26,5.1,24,D
3925,20090812:2359,14,8.2,24,D
3925,20090813:2359,41,7.2,24,D
3925,20090814:2359,118,4.6,24,D
3925,20090815:2359,49,8.2,24,D
3925,20090816:2359,65,7.7,24,D
3925,20090817:2359,105,5.7,24,D
3925,20090818:2359,194,7.7,24,D
3925,20090819:2359,125,6.2,24,D
3925,20090820:2359,274,3.6,24,D
3925,20090821:2359,125,3.6,24,D
3925,20090822:2359,30,6.7,24,D
3925,20090823:2359,9,7.2,24,D
3925,20090824:2359,341,8.8,24,D
3925,20090825:2359,35,14.4,24,D
3925,20090826:2359,8,11.8,24,D
3925,20090827:2359,288,9.8,24,D
3925,20090828:2359,22,8.8,24,D
3925,20090829:2359,357,7.2,24,D
3925,20090830:2359,22,12.9,24,D
3925,20090831:2359,231,11.3,24,D
3925,20090901:2359,57,11.8,24,D
3925,20090902:2359,200,7.2,24,D
3925,20090903:2359,124,6.2,24,D
3925,20090904:2359,127,6.2,24,D
3925,20090905:2359,129,4.6,24,D
3925,20090906:2359,108,5.1,24,D
3925,20090907:2359,115,4.6,24,D
3925,20090908:2359,121,4.6,24,D
3925,20090909:2359,315,5.1,24,D
3925,20090910:2359,41,8.2,24,D
3925,20090911:2359,9,7.7,24,D
3925,20090912:2359,246,5.7,24,D
3925,20090913:2359,241,5.1,24,D
3925,20090914:2359,112,4.6,24,D
3925,20090915:2359,196,6.7,24,D
3925,20090916:2359,212,5.7,24,D
3925,20090917:2359,198,7.2,24,D
3925,20090918:2359,33,8.2,24,D
3925,20090919:2359,8,5.7,24,D
3925,20090920:2359,216,6.7,24,D
3925,20090921:2359,41,5.1,24,D
3925,20090922:2359,240,8.2,24,D
3925,20090923:2359,180,9.3,24,D
3925,20090924:2359,34,8.8,24,D
3925,20090925:2359,125,4.6,24,D
3925,20090926:2359,185,8.2,24,D
3925,20090927:2259,34,7.2,24,D
3925,20090928:2259,58,8.8,24,D
3925,20090929:2259,102,3.6,24,D
3925,20090930:2259,315,8.8,24,D
3925,20091001:2259,200,8.8,24,D
3925,20091002:2259,212,5.7,24,D
3925,20091003:2259,39,10.8,24,D
3925,20091004:2259,126,11.3,24,D
3925,20091005:2259,217,9.3,24,D
3925,20091006:2259,189,8.8,24,D
3925,20091007:2259,305,7.2,24,D
3925,20091008:2259,18,5.7,24,D
3925,20091009:2259,198,8.2,24,D
3925,20091010:2259,211,6.2,24,D
3925,20091011:2259,183,7.2,24,D
3925,20091012:2259,231,9.8,24,D
3925,20091013:2259,46,5.7,24,D
3925,20091014:2259,48,7.2,24,D
3925,20091015:2259,356,6.2,24,D
3925,20091016:2259,238,6.2,24,D
3925,20091017:2259,343,4.6,24,D
3925,20091018:2259,118,9.8,24,D
3925,20091019:2259,217,6.2,24,D
3925,20091020:2259,231,7.7,24,D
3925,20091021:2259,56,7.7,24,D
3925,20091022:2259,194,8.8,24,D
3925,20091023:2259,204,6.7,24,D
3925,20091024:2259,174,5.7,24,D
3925,20091025:2259,314,5.1,24,D
3925,20091026:2259,24,8.8,24,D
3925,20091027:2259,204,9.3,24,D
3925,20091028:2259,179,9.8,24,D
3925,20091029:2259,275,9.8,24,D
3925,20091030:2259,269,8.2,24,D
3925,20091031:2259,228,7.2,24,D
3925,20091101:2259,263,5.7,24,D
3925,20091102:2259,14,5.7,24,D
3925,20091103:2259,235,8.2,24,D
3925,20091104:2259,22,11.3,24,D
3925,20091105:2259,202,7.2,24,D
3925,20091106:2259,190,9.8,24,D
3925,20091107:2259,195,8.8,24,D
3925,20091108:2259,343,8.2,24,D
3925,20091109:2259,238,7.2,24,D
3925,20091110:2259,316,9.3,24,D
3925,20091111:2259,121,10.3,24,D
3925,20091112:2259,199,7.2,24,D
3925,20091113:2259,246,8.2,24,D
3925,20091114:2259,197,8.2,24,D
3925,20091115:2259,25,10.8,24,D
3925,20091116:2259,282,7.2,24,D
3925,20091117:2259,245,5.7,24,D
3925,20091118:2259,272,8.8,24,D
3925,20091119:2259,197,8.8,24,D
3925,20091120:2259,350,6.2,24,D
3925,20091121:2259,39,10.8,24,D
3925,20091122:2259,242,6.2,24,D
3925,20091123:2259,346,8.8,24,D
3925,20091124:2259,149,9.8,24,D
3925,20091125:2259,184,7.2,24,D
3925,20091126:2259,213,9.8,24,D
3925,20091127:2259,18,9.8,24,D
3925,20091128:2259,35,7.7,24,D
3925,20091129:2259,206,7.2,24,D
3925,20091130:2259,152,4.6,24,D
3925,20091201:2259,36,5.1,24,D
3925,20091202:2259,155,16.5,24,D
3925,20091203:2259,126,9.3,24,D
3925,20091204:2259,28,6.7,24,D
3925,20091205:2259,306,4.1,24,D
3925,20091206:2259,54,7.7,24,D
3925,20091207:2259,262,7.2,24,D
3925,20091208:2259,92,6.7,24,D
3925,20091209:2259,6,12.4,24,D
3925,20091210:2259,29,8.8,24,D
3925,20091211:2259,15,11.8,24,D
3925,20091212:2259,48,10.3,24,D
3925,20091213:2259,74,8.2,24,D
3925,20091214:2259,211,9.8,24,D
3925,20091215:2259,271,7.2,24,D
3925,20091216:2259,245,8.2,24,D
3925,20091217:2259,204,6.2,24,D
3925,20091218:2259,335,10.8,24,D
3925,20091219:2259,24,9.3,24,D
3925,20091220:2259,258,8.8,24,D
3925,20091221:2259,352,8.2,24,D
3925,20091222:2259,254,7.2,24,D
3925,20091223:2259,277,6.2,24,D
3925,20091224:2259,202,8.8,24,D
3925,20091225:2259,192,5.7,24,D
3925,20091226:2259,36,8.2,24,D
3925,20091227:2259,330,6.7,24,D
3925,20091228:2259,351,6.7,24,D
3925,20091229:2259,34,8.8,24,D
3925,20091230:2259,178,10.3,24,D
3925,20091231:2259,211,9.8,24,D
3925,20100101:2259,197,8.2,24,D
3925,20100102:2259,60,8.8,24,D
3925,20100103:2259,20,11.3,24,D
3925,20100104:2259,177,9.3,24,D
3925,20100105:2259,202,7.2,24,D
3925,20100106:2259,72,8.8,24,D
3925,20100107:2259,21,11.3,24,D
3925,20100108:2259,261,8.8,24,D
3925,20100109:2259,174,7.7,24,D
3925,20100110:2259,67,13.9,24,D
3925,20100111:2259,114,11.8,24,D
3925,20100112:2259,230,8.8,24,D
3925,20100113:2259,111,5.7,24,D
3925,20100114:2259,222,8.2,24,D
3925,20100115:2259,126,10.8,24,D
3925,20100116:2259,119,9.8,24,D
3925,20100117:2259,27,7.2,24,D
3925,20100118:2259,294,6.7,24,D
3925,20100119:2259,315,6.7,24,D
3925,20100120:2259,341,9.3,24,D
3925,20100121:2259,340,8.2,24,D
3925,20100122:2259,166,7.7,24,D
3925,20100123:2259,271,7.2,24,D
3925,20100124:2259,260,4.6,24,D
3925,20100125:2259,278,8.2,24,D
3925,20100126:2259,203,5.7,24,D
3925,20100127:2259,340,6.2,24,D
3925,20100128:2259,208,7.2,24,D
3925,20100129:2259,350,7.2,24,D
3925,20100130:2259,188,9.8,24,D
3925,20100131:2259,136,8.8,24,D
3925,20100201:2259,234,6.2,24,D
3925,20100202:2259,184,5.7,24,D
3925,20100203:2259,338,7.7,24,D
3925,20100204:2259,227,7.2,24,D
3925,20100205:2259,221,5.7,24,D
3925,20100206:2259,254,7.7,24,D
3925,20100207:2259,277,6.2,24,D
3925,20100208:2259,204,7.7,24,D
3925,20100209:2259,199,6.7,24,D
3925,20100210:2259,328,5.1,24,D
3925,20100211:2259,8,8.2,24,D
3925,20100212:2259,178,6.2,24,D
3925,20100213:2259,69,11.8,24,D
3925,20100214:2259,193,6.2,24,D
3925,20100215:2259,251,7.7,24,D
3925,20100216:2259,342,5.1,24,D
3925,20100217:2259,300,4.6,24,D
3925,20100218:2259,40,11.3,24,D
3925,20100219:2259,192,7.2,24,D
3925,20100220:2259,171,8.2,24,D
3925,20100221:2259,245,7.7,24,D
3925,20100222:2259,254,7.2,24,D
3925,20100223:2259,347,8.8,24,D
3925,20100224:2259,63,9.3,24,D
3925,20100225:2259,76,10.3,24,D
3925,20100226:2259,274,7.2,24,D
3925,20100227:2259,360,7.2,24,D
3925,20100228:2259,219,5.1,24,D
3925,20100301:2259,19,9.3,24,D
3925,20100302:2259,197,7.2,24,D
3925,20100303:2259,206,9.8,24,D
3925,20100304:2259,144,8.2,24,D
3925,20100305:2259,180,8.8,24,D
3925,20100306:2259,223,7.7,24,D
3925,20100307:2259,138,8.2,24,D
3925,20100308:2259,236,4.6,24,D
3925,20100309:2259,228,5.7,24,D
3925,20100310:2259,210,6.7,24,D
3925,20100311:2259,208,8.2,24,D
3925,20100312:2259,295,11.8,24,D
3925,20100313:2259,239,8.2,24,D
3925,20100314:2259,152,7.7,24,D
3925,20100315:2259,193,8.2,24,D
3925,20100316:2259,260,7.7,24,D
3925,20100317:2259,89,7.7,24,D
3925,20100318:2259,123,5.1,24,D
3925,20100319:2259,296,5.7,24,D
3925,20100320:2259,303,3.6,24,D
3925,20100321:2259,358,9.3,24,D
3925,20100322:2259,359,12.4,24,D
3925,20100323:2259,359,6.2,24,D
3925,20100324:2259,49,11.3,24,D
3925,20100325:2259,348,4.6,24,D
3925,20100326:2259,184,5.7,24,D
3925,20100327:2259,227,9.3,24,D
3925,20100328:2259,264,5.7,24,D
3925,20100329:2259,111,4.1,24,D
3925,20100330:2259,33,8.2,24,D
3925,20100331:2259,28,5.1,24,D
3925,20100401:2259,132,4.1,24,D
3925,20100402:2259,305,4.1,24,D
3925,20100403:2259,24,6.7,24,D
3925,20100404:2359,24,7.7,24,D
3925,20100405:2359,120,4.6,24,D
3925,20100406:2359,110,5.1,24,D
3925,20100407:2359,206,5.7,24,D
3925,20100408:2359,291,5.7,24,D
3925,20100409:2359,191,5.7,24,D
3925,20100410:2359,133,4.6,24,D
3925,20100411:2359,129,4.6,24,D
3925,20100412:2359,15,6.2,24,D
3925,20100413:2359,19,12.4,24,D
3925,20100414:2359,58,11.3,24,D
3925,20100415:2359,332,6.2,24,D
3925,20100416:2359,136,7.2,24,D
3925,20100417:2359,128,5.7,24,D
3925,20100418:2359,215,7.7,24,D
3925,20100419:2359,142,4.6,24,D
3925,20100420:2359,288,4.6,24,D
3925,20100421:2359,141,4.1,24,D
3925,20100422:2359,234,4.6,24,D
3925,20100423:2359,101,4.6,24,D
3925,20100424:2359,22,4.1,24,D
3925,20100425:2359,350,10.8,24,D
3925,20100426:2359,349,10.3,24,D
3925,20100427:2359,5,10.3,24,D
3925,20100428:2359,20,7.2,24,D
3925,20100429:2359,48,7.2,24,D
3925,20100430:2359,23,9.8,24,D
3925,20100501:2359,216,6.7,24,D
3925,20100502:2359,113,4.1,24,D
3925,20100503:2359,340,6.7,24,D
3925,20100504:2359,241,8.2,24,D
3925,20100505:2359,91,3.1,24,D
3925,20100506:2359,300,3.6,24,D
3925,20100507:2359,26,10.8,24,D
3925,20100508:2359,49,11.3,24,D
3925,20100509:2359,110,4.1,24,D
3925,20100510:2359,119,6.2,24,D
3925,20100511:2359,135,5.7,24,D
3925,20100512:2359,128,4.6,24,D
3925,20100513:2359,70,17.5,24,D
3925,20100514:2359,359,6.2,24,D
3925,20100515:2359,122,5.1,24,D
3925,20100516:2359,207,5.7,24,D
3925,20100517:2359,128,3.6,24,D
3925,20100518:2359,105,4.6,24,D
3925,20100519:2359,113,4.1,24,D
3925,20100520:2359,115,4.6,24,D
3925,20100521:2359,128,4.1,24,D
3925,20100522:2359,105,3.6,24,D
3925,20100523:2359,287,3.6,24,D
3925,20100524:2359,108,6.7,24,D
3925,20100525:2359,108,4.1,24,D
3925,20100526:2359,188,5.7,24,D
