Station,Date(NZST),Percent(%),Depth(cm)
3925,20090101:0000,53.3,20
3925,20090101:0100,52.9,20
3925,20090101:0200,52.9,20
3925,20090101:0300,52.8,20
3925,20090101:0400,52.7,20
3925,20090101:0500,52.6,20
3925,20090101:0600,52.9,20
3925,20090101:0700,53,20
3925,20090101:0800,52.9,20
3925,20090101:0900,53.1,20
3925,20090101:1000,52.9,20
3925,20090101:1100,53.1,20
3925,20090101:1200,52.7,20
3925,20090101:1300,52.9,20
3925,20090101:1400,52.6,20
3925,20090101:1500,52.3,20
3925,20090101:1600,52.1,20
3925,20090101:1700,52.2,20
3925,20090101:1800,51.8,20
3925,20090101:1900,51.6,20
3925,20090101:2000,51.5,20
3925,20090101:2100,51.3,20
3925,20090101:2200,51.3,20
3925,20090101:2300,50.9,20
3925,20090102:0000,51.2,20
3925,20090102:0100,51.1,20
3925,20090102:0200,51,20
3925,20090102:0300,51.2,20
3925,20090102:0400,51.1,20
3925,20090102:0500,51.1,20
3925,20090102:0600,51.1,20
3925,20090102:0700,50.9,20
3925,20090102:0800,51,20
3925,20090102:0900,51.1,20
3925,20090102:1000,51,20
3925,20090102:1100,50.8,20
3925,20090102:1200,50.9,20
3925,20090102:1300,50.6,20
3925,20090102:1400,50.7,20
3925,20090102:1500,50.8,20
3925,20090102:1600,50.5,20
3925,20090102:1700,50.7,20
3925,20090102:1800,50.6,20
3925,20090102:1900,51.8,20
3925,20090102:2000,53.7,20
3925,20090102:2100,54.2,20
3925,20090102:2200,53.7,20
3925,20090102:2300,57.8,20
3925,20090103:0000,59.7,20
3925,20090103:0100,60.2,20
3925,20090103:0200,61.8,20
3925,20090103:0300,61,20
3925,20090103:0400,59.9,20
3925,20090103:0500,58.7,20
3925,20090103:0600,57.8,20
3925,20090103:0700,57.4,20
3925,20090103:0800,56.9,20
3925,20090103:0900,57.2,20
3925,20090103:1000,56.9,20
3925,20090103:1100,56.5,20
3925,20090103:1200,56.5,20
3925,20090103:1300,56.3,20
3925,20090103:1400,56,20
3925,20090103:1500,55.8,20
3925,20090103:1600,54.4,20
3925,20090103:1700,54.2,20
3925,20090103:1800,53.8,20
3925,20090103:1900,53.8,20
3925,20090103:2000,53.8,20
3925,20090103:2100,53.6,20
3925,20090103:2200,53.2,20
3925,20090103:2300,53.3,20
3925,20090104:0000,53.1,20
3925,20090104:0100,53.2,20
3925,20090104:0200,53,20
3925,20090104:0300,52.9,20
3925,20090104:0400,52.9,20
3925,20090104:0500,52.7,20
3925,20090104:0600,53.1,20
3925,20090104:0700,52.8,20
3925,20090104:0800,52.8,20
