Station,Date(NZST)_Incl_secs,Amount(mm),Period(min),Freq
3925,20090101:000830,0,8.5,BPS
3925,20090101:002330,0.16,15,BPS
3925,20090101:011112,0,47.7,BPS
3925,20090101:012236,0.12,11.4,BPS
3925,20090101:020436,0,42,BPS
3925,20090101:021412,0.07,9.6,BPS
3925,20090101:030054,0,46.7,BPS
3925,20090101:030136,0.09,0.7,BPS
3925,20090101:030342,0.16,2.1,BPS
3925,20090101:030630,0.05,2.8,BPS
3925,20090101:034454,0,38.4,BPS
3925,20090101:035700,0.1,12.1,BPS
3925,20090101:040118,0.07,4.3,BPS
3925,20090101:040642,0.37,5.4,BPS
3925,20090101:040912,0.35,2.5,BPS
3925,20090101:041712,0.53,8,BPS
3925,20090101:043212,0.44,15,BPS
3925,20090101:043512,0.28,3,BPS
3925,20090101:044030,0.1,5.3,BPS
3925,20090101:083330,0,233,BPS
3925,20090101:084148,0.27,8.3,BPS
3925,20090101:085624,0,14.6,BPS
3925,20090101:090000,0.13,3.6,BPS
3925,20090101:090254,0.06,2.9,BPS
3925,20090101:090618,0.04,3.4,BPS
3925,20090102:154342,0,1837.4,BPS
3925,20090102:154730,0.2,3.8,BPS
3925,20090102:155130,0.34,4,BPS
3925,20090102:155706,0.14,5.6,BPS
3925,20090102:160536,0,8.5,BPS
3925,20090102:161042,0.2,5.1,BPS
3925,20090102:162836,0.2,17.9,BPS
3925,20090102:163900,0.42,10.4,BPS
3925,20090102:165812,0.42,19.2,BPS
3925,20090102:170218,0.31,4.1,BPS
3925,20090102:170748,0.19,5.5,BPS
3925,20090102:171330,0.92,5.7,BPS
3925,20090102:171706,0.4,3.6,BPS
3925,20090102:172054,0.24,3.8,BPS
3925,20090102:172854,0.1,8,BPS
3925,20090102:173100,0.19,2.1,BPS
3925,20090102:173536,1.09,4.6,BPS
3925,20090102:173806,0.38,2.5,BPS
3925,20090102:174200,0.22,3.9,BPS
3925,20090102:174412,0.42,2.2,BPS
3925,20090102:174654,0.78,2.7,BPS
3925,20090102:175018,0.39,3.4,BPS
3925,20090102:175854,0.2,8.6,BPS
3925,20090102:180230,0.2,3.6,BPS
3925,20090102:182418,0,21.8,BPS
3925,20090102:182648,0.12,2.5,BPS
3925,20090102:182712,0.1,0.4,BPS
3925,20090102:182748,0.41,0.6,BPS
3925,20090102:182812,0.17,0.4,BPS
3925,20090102:182912,0.22,1,BPS
3925,20090102:183300,0.16,3.8,BPS
3925,20090102:184306,0,10.1,BPS
3925,20090102:184706,0.2,4,BPS
3925,20090102:184848,0.58,1.7,BPS
3925,20090102:184954,0.15,1.1,BPS
3925,20090102:185806,0.37,8.2,BPS
3925,20090102:190024,0.45,2.3,BPS
3925,20090102:190318,0.39,2.9,BPS
3925,20090102:190742,0.19,4.4,BPS
3925,20090102:192000,0,12.3,BPS
3925,20090102:192312,0.11,3.2,BPS
3925,20090102:200030,0,37.3,BPS
3925,20090102:200506,0.2,4.6,BPS
3925,20090102:202006,0,15,BPS
3925,20090102:202218,0.15,2.2,BPS
3925,20090102:202654,0,4.6,BPS
3925,20090102:202830,0.14,1.6,BPS
3925,20090102:203024,0.03,1.9,BPS
3925,20090102:210142,0,31.3,BPS
3925,20090102:210330,0.09,1.8,BPS
3925,20090102:210606,0.03,2.6,BPS
3925,20090102:211918,0,13.2,BPS
3925,20090102:212448,0.13,5.5,BPS
3925,20090102:212654,0.63,2.1,BPS
3925,20090102:212806,0.19,1.2,BPS
3925,20090102:213954,0.54,11.8,BPS
3925,20090102:214124,0.21,1.5,BPS
3925,20090102:214518,0.24,3.9,BPS
3925,20090102:215018,0.11,5,BPS
3925,20090102:215612,0.67,5.9,BPS
3925,20090102:221542,0.51,19.5,BPS
3925,20090102:221830,0.31,2.8,BPS
3925,20090102:222112,0.11,2.7,BPS
3925,20090102:222430,0.59,3.3,BPS
3925,20090102:222554,0.68,1.4,BPS
3925,20090102:222624,0.14,0.5,BPS
3925,20090102:222954,0.2,3.5,BPS
3925,20090102:223124,0.41,1.5,BPS
3925,20090102:223430,0.39,3.1,BPS
3925,20090102:223918,0.2,4.8,BPS
3925,20090102:224348,0.46,4.5,BPS
3925,20090102:225518,0.23,11.5,BPS
3925,20090102:225724,0.27,2.1,BPS
3925,20090102:230106,0.19,3.7,BPS
3925,20090102:230300,0.48,1.9,BPS
3925,20090102:230624,0.26,3.4,BPS
3925,20090102:231100,0.12,4.6,BPS
3925,20090102:231524,0,4.4,BPS
3925,20090102:231606,0.68,0.7,BPS
3925,20090102:231718,0.72,1.2,BPS
3925,20090102:231830,0.29,1.2,BPS
3925,20090102:232048,0.07,2.3,BPS
3925,20090102:233906,0,18.3,BPS
3925,20090102:234200,0.36,2.9,BPS
3925,20090102:234348,0.05,1.8,BPS
3925,20090102:234548,0.34,2,BPS
3925,20090103:001154,0.82,26.1,BPS
3925,20090103:001406,0.27,2.2,BPS
3925,20090103:001900,0.33,4.9,BPS
3925,20090103:002142,0.35,2.7,BPS
3925,20090103:002754,0.3,6.2,BPS
3925,20090103:002918,0.23,1.4,BPS
3925,20090103:003048,0.57,1.5,BPS
3925,20090103:003836,0.5,7.8,BPS
3925,20090103:003918,0.36,0.7,BPS
3925,20090103:004024,0.2,1.1,BPS
3925,20090103:004448,0.12,4.4,BPS
3925,20090103:004600,0.26,1.2,BPS
3925,20090103:004812,0.2,2.2,BPS
3925,20090103:004948,0.59,1.6,BPS
3925,20090103:005242,0.14,2.9,BPS
3925,20090103:005412,0.39,1.5,BPS
3925,20090103:005912,0.09,5,BPS
3925,20090103:010100,0.32,1.8,BPS
3925,20090103:010412,0.14,3.2,BPS
3925,20090103:010600,0.44,1.8,BPS
3925,20090103:010748,0.22,1.8,BPS
3925,20090103:011200,0.31,4.2,BPS
3925,20090103:011748,0.19,5.8,BPS
3925,20090103:012212,0.68,4.4,BPS
3925,20090103:012812,0.24,6,BPS
3925,20090103:013036,0.48,2.4,BPS
3925,20090103:013254,0.3,2.3,BPS
3925,20090103:013718,1.2,4.4,BPS
3925,20090103:014006,0.23,2.8,BPS
3925,20090103:014118,0.31,1.2,BPS
3925,20090103:014248,0.18,1.5,BPS
3925,20090103:015148,0.17,9,BPS
3925,20090103:015354,0.46,2.1,BPS
3925,20090103:015636,0.14,2.7,BPS
3925,20090103:020248,0,6.2,BPS
3925,20090103:020554,0.33,3.1,BPS
3925,20090103:021248,0.16,6.9,BPS
3925,20090103:021618,0.2,3.5,BPS
3925,20090103:022324,0.08,7.1,BPS
3925,20090103:023224,0.45,9,BPS
3925,20090103:023436,0.28,2.2,BPS
3925,20090103:023912,0.3,4.6,BPS
3925,20090103:023954,0.17,0.7,BPS
3925,20090103:024118,0.62,1.4,BPS
3925,20090103:024224,0.2,1.1,BPS
3925,20090103:025218,0.17,9.9,BPS
3925,20090103:040906,0,76.8,BPS
3925,20090103:041730,0.08,8.4,BPS
3925,20090103:043142,0,14.2,BPS
3925,20090103:050542,0.24,34,BPS
3925,20090103:094136,0,275.9,BPS
3925,20090103:095724,0.09,15.8,BPS
3925,20090103:100024,0.1,3,BPS
3925,20090103:101700,0.19,16.6,BPS
3925,20090103:120436,0,107.6,BPS
3925,20090103:120924,0.07,4.8,BPS
3925,20090104:000336,0,714.2,BPS
3925,20090104:002142,0.21,18.1,BPS
3925,20090104:002754,0.04,6.2,BPS
3925,20090107:062442,0,4676.8,BPS
3925,20090107:063018,0.1,5.6,BPS
3925,20090109:223954,0,3849.6,BPS
3925,20090109:225118,0.17,11.4,BPS
3925,20090109:231442,0.9,23.4,BPS
3925,20090109:234600,0.75,31.3,BPS
3925,20090109:234930,0.2,3.5,BPS
3925,20090109:235336,0.83,4.1,BPS
3925,20090109:235936,0.54,6,BPS
3925,20090110:002412,0.66,24.6,BPS
3925,20090110:005500,0.46,30.8,BPS
3925,20090110:010148,0.29,6.8,BPS
3925,20090110:012824,0.78,26.6,BPS
3925,20090110:014336,0.35,15.2,BPS
3925,20090110:015306,0.53,9.5,BPS
3925,20090110:015800,0.14,4.9,BPS
3925,20090110:020524,0.03,7.4,BPS
3925,20090110:022506,0,19.7,BPS
3925,20090110:022906,0.08,4,BPS
3925,20090110:024030,0.09,11.4,BPS
3925,20090110:024918,0.26,8.8,BPS
3925,20090110:025706,0.04,7.8,BPS
3925,20090117:093554,0,10478.8,BPS
3925,20090117:104730,0.16,71.6,BPS
3925,20090117:105148,0,4.3,BPS
3925,20090117:110324,0.45,11.6,BPS
3925,20090117:111230,0.51,9.1,BPS
3925,20090117:112830,0.15,16,BPS
3925,20090117:113200,0.11,3.5,BPS
3925,20090117:113400,0.16,2,BPS
3925,20090117:114948,0.42,15.8,BPS
3925,20090117:115636,0,6.8,BPS
3925,20090117:121024,0.37,13.8,BPS
3925,20090117:122006,0.42,9.7,BPS
3925,20090117:123200,0.31,11.9,BPS
3925,20090117:124818,0,16.3,BPS
3925,20090117:125824,0.3,10.1,BPS
3925,20090117:130430,0.47,6.1,BPS
3925,20090117:130712,0.51,2.7,BPS
3925,20090117:130936,1.03,2.4,BPS
3925,20090117:131100,0.19,1.4,BPS
3925,20090117:131636,0.2,5.6,BPS
3925,20090117:132224,0.06,5.8,BPS
3925,20090117:134300,0,20.6,BPS
3925,20090117:135342,0.08,10.7,BPS
3925,20090117:142418,0,30.6,BPS
3925,20090117:143924,0.22,15.1,BPS
3925,20090117:145948,0,20.4,BPS
3925,20090117:150654,0.15,7.1,BPS
3925,20090117:150948,0,2.9,BPS
3925,20090117:153142,0.11,21.9,BPS
3925,20090117:164300,0,71.3,BPS
3925,20090117:164848,0.09,5.8,BPS
3925,20090117:171112,0,22.4,BPS
3925,20090117:171824,0.11,7.2,BPS
3925,20090117:173124,0.37,13,BPS
3925,20090117:180342,0.44,32.3,BPS
3925,20090117:180830,0.46,4.8,BPS
3925,20090117:181030,0.44,2,BPS
3925,20090117:181354,0.47,3.4,BPS
3925,20090117:181948,0.16,5.9,BPS
3925,20090117:183318,0.15,13.5,BPS
3925,20090117:233854,0,305.6,BPS
3925,20090117:234624,0.23,7.5,BPS
3925,20090117:235306,0.05,6.7,BPS
3925,20090118:071036,0,437.5,BPS
3925,20090118:072112,0.46,10.6,BPS
3925,20090118:072748,0.09,6.6,BPS
3925,20090118:091648,0,109,BPS
3925,20090118:092430,0.67,7.7,BPS
3925,20090118:093030,0.1,6,BPS
3925,20090118:093854,0.42,8.4,BPS
3925,20090118:093948,0.18,0.9,BPS
3925,20090118:094224,0.24,2.6,BPS
3925,20090118:095036,0.62,8.2,BPS
3925,20090118:095300,0.43,2.4,BPS
