Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20090101,9.4,24,D
20090102,4.4,24,D
20090103,6.3,24,D
20090104,7.5,24,D
20090105,9.9,24,D
20090106,5,24,D
20090107,3.8,24,D
20090108,13.2,24,D
20090109,3.5,24,D
20090110,12.9,24,D
20090111,11.7,24,D
20090112,13.2,24,D
20090113,10.5,24,D
20090114,8.9,24,D
20090115,10.7,24,D
20090116,8.2,24,D
20090117,0.1,24,D
20090118,3.1,24,D
20090119,4.9,24,D
20090120,5.9,24,D
20090121,8.3,24,D
20090122,6.9,24,D
20090123,12.7,24,D
20090124,13,24,D
20090125,10.9,24,D
20090126,11.7,24,D
20090127,9.1,24,D
20090128,11.3,24,D
20090129,5.4,24,D
20090130,0.5,24,D
20090131,4.6,24,D
20090201,2.1,24,D
20090202,10.9,24,D
20090203,5.4,24,D
20090204,0.9,24,D
20090205,9.2,24,D
20090206,8.8,24,D
20090207,7.4,24,D
20090208,12.4,24,D
20090209,5.1,24,D
20090210,10.1,24,D
20090211,6.3,24,D
20090212,0,24,D
20090213,4.7,24,D
20090214,12.5,24,D
20090215,7.2,24,D
20090216,7.2,24,D
20090217,10.6,24,D
20090218,12,24,D
20090219,8.2,24,D
20090220,0.4,24,D
20090221,7.5,24,D
20090222,1.3,24,D
20090223,3.8,24,D
20090224,3.6,24,D
20090225,5.9,24,D
20090226,0.5,24,D
20090227,4,24,D
20090228,2,24,D
20090301,1.1,24,D
20090302,5.1,24,D
20090303,10.4,24,D
20090304,9.5,24,D
20090305,1.7,24,D
20090306,3.3,24,D
20090307,5.9,24,D
20090308,1.9,24,D
20090309,5.2,24,D
20090310,0.7,24,D
20090311,5.3,24,D
20090312,5,24,D
20090313,8.8,24,D
20090314,8.4,24,D
20090315,7.6,24,D
20090316,8,24,D
20090317,8.9,24,D
20090318,0.1,24,D
20090319,2.9,24,D
20090320,2.9,24,D
20090321,4.9,24,D
20090322,10.8,24,D
20090323,10.8,24,D
20090324,9,24,D
20090325,4.4,24,D
20090326,9.6,24,D
20090327,4.4,24,D
20090328,6.5,24,D
20090329,5.9,24,D
20090330,6,24,D
20090331,7.5,24,D
20090401,10.4,24,D
20090402,9.9,24,D
20090403,10.2,24,D
20090404,1.5,24,D
20090405,2.3,24,D
20090406,2.9,24,D
20090407,0.5,24,D
20090408,0.2,24,D
20090409,9.8,24,D
20090410,7.4,24,D
20090411,5.4,24,D
20090412,5.1,24,D
20090413,1.3,24,D
20090414,6.6,24,D
20090415,5.6,24,D
20090416,0.5,24,D
20090417,2.4,24,D
20090418,3.5,24,D
20090419,0.8,24,D
20090420,8.4,24,D
20090421,3.4,24,D
20090422,8.6,24,D
20090423,9.3,24,D
20090424,2.6,24,D
20090425,2.4,24,D
20090426,1.5,24,D
20090427,0,24,D
20090428,0.4,24,D
20090429,1.1,24,D
20090430,2.4,24,D
20090501,6.8,24,D
20090502,6.3,24,D
20090503,6.8,24,D
20090504,3.9,24,D
20090505,1.5,24,D
20090506,4.7,24,D
20090507,2.8,24,D
20090508,4,24,D
20090509,0.9,24,D
20090510,5.8,24,D
20090511,8.7,24,D
20090512,3.4,24,D
20090513,1.1,24,D
20090514,0.8,24,D
20090515,2.3,24,D
20090516,0,24,D
20090517,1,24,D
20090518,0.2,24,D
20090519,1.9,24,D
20090520,6.6,24,D
20090521,8.3,24,D
20090522,6.6,24,D
20090523,8.1,24,D
20090524,0,24,D
20090525,7.9,24,D
20090526,8.1,24,D
20090527,5,24,D
20090528,4.2,24,D
20090529,1.4,24,D
20090530,4.5,24,D
20090531,7.8,24,D
20090601,7.9,24,D
20090602,6.7,24,D
20090603,5.1,24,D
20090604,0.8,24,D
20090605,0.3,24,D
20090606,0.2,24,D
20090607,0.6,24,D
20090608,5.6,24,D
20090609,0,24,D
20090610,0,24,D
20090611,0.8,24,D
20090612,0,24,D
20090613,1,24,D
20090614,0.7,24,D
20090615,0.8,24,D
20090616,4.9,24,D
20090617,2.9,24,D
20090618,2.5,24,D
20090619,4.4,24,D
20090620,3.4,24,D
20090621,6.4,24,D
20090622,4.6,24,D
20090623,0,24,D
20090624,0,24,D
20090625,0.7,24,D
20090626,0.2,24,D
20090627,2.1,24,D
20090628,0,24,D
20090629,0,24,D
20090630,1.6,24,D
20090701,5.9,24,D
20090702,0,24,D
20090703,0.4,24,D
20090704,0,24,D
20090705,0,24,D
20090706,0,24,D
20090707,2.8,24,D
20090708,7.9,24,D
20090709,4.7,24,D
20090710,0,24,D
20090711,7.1,24,D
20090712,6.8,24,D
20090713,5.1,24,D
20090714,0,24,D
20090715,2,24,D
20090716,5.5,24,D
20090717,1.9,24,D
20090718,0.8,24,D
20090719,1.1,24,D
20090720,0.5,24,D
20090721,0.1,24,D
20090722,0.3,24,D
20090723,0,24,D
20090724,8.3,24,D
20090725,5.9,24,D
20090726,5.9,24,D
20090727,3.5,24,D
20090728,0,24,D
20090729,1,24,D
20090730,3.5,24,D
20090731,0.2,24,D
20090801,3,24,D
20090802,0.6,24,D
20090803,1.2,24,D
20090804,0.7,24,D
20090805,0.6,24,D
20090806,7.2,24,D
20090807,4.9,24,D
20090808,4.5,24,D
20090809,3.1,24,D
20090810,4,24,D
20090811,0.3,24,D
20090812,1.9,24,D
20090813,1.4,24,D
20090814,3.5,24,D
20090815,0.3,24,D
20090816,3.9,24,D
20090817,6.3,24,D
20090818,0,24,D
20090819,9.4,24,D
20090820,8,24,D
20090821,5.8,24,D
20090822,5.5,24,D
20090823,0.3,24,D
20090824,1.4,24,D
20090825,0.1,24,D
20090826,2,24,D
20090827,1.4,24,D
20090828,0.7,24,D
20090829,5.7,24,D
20090830,0.3,24,D
20090831,3.6,24,D
20090901,2.2,24,D
20090902,4,24,D
20090903,6.8,24,D
20090904,9.5,24,D
20090905,6.7,24,D
20090906,9,24,D
20090907,8.8,24,D
20090908,10.2,24,D
20090909,10,24,D
20090910,1.2,24,D
20090911,4.8,24,D
20090912,5.9,24,D
20090913,6,24,D
20090914,9,24,D
20090915,9.6,24,D
20090916,8,24,D
20090917,5.3,24,D
20090918,0,24,D
20090919,10.7,24,D
20090920,10.8,24,D
20090921,8.4,24,D
20090922,3.6,24,D
20090923,5,24,D
20090924,0,24,D
20090925,0.3,24,D
