Date(NZST),Tmax(C),Tmin(C),Tgmin(C),Tmean(C)
20190101,25.6,14.3,12.5,20
20190102,26.9,16.6,15.8,21.8
20190103,24.8,16,13.2,20.4
20190104,23.1,13.3,10.2,18.2
20190105,22.1,8.4,5.4,15.3
20190106,25.8,14.4,14.5,20.1
20190107,27.2,13.7,13.3,20.5
20190108,23.1,9.6,6,16.4
20190109,24.5,9.2,6.4,16.9
20190110,26.5,15.8,13.3,21.2
20190111,27.3,15.5,13.8,21.4
20190112,23.8,8.7,6.1,16.3
20190113,26,10,6.8,18
20190114,22.2,10.5,9.9,16.4
20190115,22.2,7.7,5.5,15
20190116,29.3,6.2,2,17.8
20190117,28.6,10.2,7.2,19.4
20190118,27.7,14.9,12.7,21.3
20190119,28.7,15,12.8,21.9
20190120,23.9,12.2,10,18.1
20190121,20.7,12.9,12.8,16.8
20190122,17.5,11.6,10.3,14.6
20190123,20.6,13,14.6,16.8
20190124,24.1,10,7.9,17.1
20190125,21,8.1,5.3,14.6
20190126,21,10.2,7.2,15.6
20190127,23.3,13.8,12.2,18.6
20190128,28.2,16.4,17,22.3
20190129,27.5,13.3,10.4,20.4
20190130,31.1,13.2,9.9,22.2
20190131,30.8,14.4,12.6,22.6
20190201,32.1,16.2,16.2,24.2
20190202,23.3,6.6,2.9,15
20190203,25.6,7.1,3.9,16.4
20190204,26.9,10.9,9.1,18.9
20190205,27.1,13,10.7,20.1
20190206,23.2,15.2,15.8,19.2
20190207,26.6,13.3,12.5,20
20190208,26.2,12.5,9.2,19.4
20190209,24.9,15.1,14.9,20
20190210,22.3,12.8,9.5,17.6
20190211,26.6,9.4,7,18
20190212,27.9,13.1,13.1,20.5
20190213,25.2,14,12.3,19.6
20190214,28.8,11.6,8.2,20.2
20190215,28.5,12.9,10.5,20.7
20190216,22.7,11.9,8.2,17.3
20190217,23.9,9.2,5.5,16.6
20190218,22.7,12.3,10.6,17.5
20190219,24.2,14.7,13.4,19.5
20190220,27.4,15.4,13.9,21.4
20190221,23.4,15,11.1,19.2
20190222,26.1,16.2,14.1,21.2
20190223,25.6,8.8,4.4,17.2
20190224,20.5,9.5,6.7,15
20190225,18.3,5.2,2,11.8
20190226,22.4,4.5,1.2,13.5
20190227,22.2,8.3,7.5,15.3
20190228,19.2,5.9,2.7,12.6
20190301,21.1,2.8,-0.5,12
20190302,22.4,4.2,1.3,13.3
20190303,26.3,6.4,2.9,16.4
20190304,27.6,9.2,7.7,18.4
20190305,23.4,10,6.1,16.7
20190306,22,14.2,13.6,18.1
20190307,23.6,13.3,11,18.5
20190308,22,13,12,17.5
20190309,21.4,9.2,7,15.3
20190310,24.7,12.2,13.7,18.5
20190311,26.2,14.5,13.4,20.4
20190312,22.4,14.9,13.7,18.7
20190313,21.8,15.4,15.8,18.6
20190314,21.9,15.3,15.7,18.6
20190315,25.4,13.3,13.1,19.4
20190316,21.6,15.2,16,18.4
20190317,21,14.3,12.2,17.7
20190318,26.6,16.3,15.6,21.5
20190319,26.4,13.3,10.9,19.9
20190320,27.2,14.8,15.2,21
20190321,27.4,14.7,11.4,21.1
20190322,25.4,15,12.1,20.2
20190323,24.4,13,11.3,18.7
20190324,23.8,11.6,8.3,17.7
20190325,25.4,13.8,11.5,19.6
20190326,21.8,15.9,16.3,18.9
20190327,19.4,15.4,15.5,17.4
20190328,19.3,7.2,4.8,13.3
20190329,22.4,8,5.5,15.2
20190330,24.2,9.1,10.5,16.7
20190331,26.1,12.8,11.1,19.5
20190401,24.8,14.1,14,19.5
20190402,19.9,6.4,3.2,13.2
20190403,17.8,2.9,-0.4,10.4
20190404,19.5,4.4,1.7,12
20190405,18,6,6.5,12
20190406,16.5,2.4,-2.1,9.5
20190407,16.2,4.2,0.5,10.2
20190408,19.9,2.3,-0.1,11.1
20190409,21.6,5.6,3.2,13.6
20190410,19.2,9.2,7.5,14.2
20190411,21,13.2,12.8,17.1
20190412,15.8,9.7,6.2,12.8
20190413,19.3,1.6,-1.4,10.5
20190414,18.4,2.6,1.2,10.5
20190415,19.2,3.2,-0.2,11.2
20190416,20.5,6.2,4.2,13.4
20190417,20.5,4.7,2.3,12.6
20190418,20.1,6.3,3.8,13.2
20190419,20,7.6,3,13.8
20190420,19.1,7.2,3.3,13.2
20190421,14.4,8.5,9.6,11.5
20190422,16.8,9.1,7.2,13
20190423,19.6,5.1,1.9,12.4
20190424,21.2,6.4,3.9,13.8
20190425,19.1,7.6,5.3,13.4
20190426,18.4,9.7,7,14.1
20190427,19.9,9.2,4.6,14.6
20190428,17.2,7,3.8,12.1
20190429,16.4,8.6,9.6,12.5
20190430,13.8,0.6,-2.6,7.2
20190501,14.7,-0.3,-2.5,7.2
20190502,16.2,1.9,3.4,9.1
20190503,15,7,8.2,11
20190504,18.6,7.9,2.9,13.3
20190505,16.7,10.2,8.3,13.5
20190506,19,8.1,4.7,13.6
20190507,20,8.1,7,14.1
20190508,20.1,5.7,2.7,12.9
20190509,14.6,8.4,9.8,11.5
20190510,16.6,11.5,9.8,14.1
20190511,19.1,11.9,10.7,15.5
20190512,17.4,9.8,5.2,13.6
20190513,14.5,7.3,3.7,10.9
20190514,16.1,7.9,6.4,12
20190515,15.4,8.4,8.5,11.9
20190516,13.3,8,5.7,10.7
20190517,11,5.2,1,8.1
20190518,14,4.5,1.9,9.3
20190519,13.4,5.8,7.4,9.6
20190520,12.5,6.9,4.6,9.7
20190521,14.4,5.7,1.6,10.1
20190522,15.2,4.8,2.6,10
20190523,14.2,6,2.7,10.1
20190524,15.9,6.7,2.7,11.3
20190525,15.6,7.1,2.8,11.4
20190526,13.2,6,5.2,9.6
20190527,15.3,6.4,3.6,10.9
20190528,15.6,9.5,10.9,12.6
