Date (NZST),Percent (%),Depth (cm)
1999-02-11,80.3,20
1999-02-11,49.9,20
1999-02-11,45.8,20
1999-02-11,44,20
1999-02-11,42.5,20
1999-02-11,41.8,20
1999-02-11,41,20
1999-02-11,40.3,20
1999-02-11,40.3,20
1999-02-11,40.1,20
1999-02-11,40.1,20
1999-02-11,39.7,20
1999-03-11,39.3,20
1999-03-11,39.1,20
1999-03-11,38.9,20
1999-03-11,38.9,20
1999-03-11,38.5,20
1999-03-11,38,20
1999-03-11,38.2,20
1999-03-11,38.2,20
1999-03-11,38,20
1999-03-11,37.6,20
1999-03-11,37.6,20
1999-03-11,37.4,20
1999-03-11,37.6,20
1999-03-11,36.8,20
1999-03-11,36.8,20
1999-03-11,36.4,20
1999-03-11,36.4,20
1999-03-11,36.2,20
1999-03-11,36.2,20
1999-03-11,36,20
1999-03-11,35.8,20
1999-03-11,35.8,20
1999-03-11,35.8,20
1999-03-11,35.6,20
1999-04-11,35.4,20
1999-04-11,35.4,20
1999-04-11,35.6,20
1999-04-11,43.5,20
1999-04-11,96.3,20
1999-04-11,96.3,20
1999-04-11,97.6,20
1999-04-11,97.6,20
1999-04-11,97.6,20
1999-04-11,97.6,20
1999-04-11,97.6,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-04-11,53.8,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-04-11,53.8,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-04-11,53.8,20
1999-04-11,53.7,20
1999-04-11,53.7,20
1999-05-11,53.7,20
1999-05-11,53.7,20
1999-05-11,53.2,20
1999-05-11,52.8,20
1999-05-11,53.4,20
1999-05-11,53.8,20
1999-05-11,53.4,20
1999-05-11,53.7,20
1999-05-11,53.7,20
1999-05-11,53.7,20
1999-05-11,53.4,20
1999-05-11,53.7,20
1999-05-11,53.8,20
1999-05-11,53.7,20
1999-05-11,53,20
1999-05-11,52.8,20
1999-05-11,51.8,20
1999-05-11,50.1,20
1999-05-11,48.5,20
1999-05-11,46.7,20
1999-05-11,45.6,20
1999-05-11,44.5,20
1999-05-11,43.5,20
1999-05-11,43.2,20
1999-06-11,42.4,20
1999-06-11,41.7,20
1999-06-11,40.3,20
1999-06-11,40,20
1999-06-11,39.7,20
1999-06-11,39.4,20
1999-06-11,39.2,20
1999-06-11,38.9,20
1999-06-11,38.9,20
1999-06-11,38.8,20
1999-06-11,38.4,20
1999-06-11,38.1,20
1999-06-11,38,20
1999-06-11,37.4,20
1999-06-11,37.5,20
1999-06-11,36.9,20
1999-06-11,37.1,20
1999-06-11,37,20
1999-06-11,37,20
1999-06-11,37.1,20
1999-06-11,37,20
1999-06-11,39.7,20
1999-06-11,51.6,20
1999-06-11,51.5,20
1999-07-11,51.5,20
1999-07-11,51.7,20
1999-07-11,51.6,20
1999-07-11,51.6,20
1999-07-11,51.7,20
1999-07-11,52.1,20
1999-07-11,51.8,20
1999-07-11,51.8,20
1999-07-11,52.1,20
1999-07-11,52.1,20
1999-07-11,51.9,20
1999-07-11,51.9,20
1999-07-11,52,20
1999-07-11,51.9,20
1999-07-11,51.9,20
1999-07-11,51.9,20
1999-07-11,52,20
1999-07-11,51.9,20
1999-07-11,51.7,20
1999-07-11,52.1,20
1999-07-11,51.8,20
1999-07-11,51.6,20
1999-07-11,51.1,20
1999-07-11,50.8,20
1999-08-11,50.3,20
1999-08-11,49.8,20
1999-08-11,48.3,20
1999-08-11,47.2,20
1999-08-11,46,20
1999-08-11,45,20
1999-08-11,43.9,20
1999-08-11,42.8,20
1999-08-11,42.2,20
1999-08-11,42,20
1999-08-11,41.3,20
1999-08-11,40.8,20
1999-08-11,40.4,20
1999-08-11,39.8,20
1999-08-11,39.5,20
1999-08-11,39.1,20
1999-08-11,39,20
1999-08-11,38.6,20
1999-08-11,38.8,20
1999-08-11,38.5,20
1999-08-11,38.3,20
1999-08-11,38.4,20
1999-08-11,38.2,20
1999-08-11,38.1,20
1999-09-11,38,20
1999-09-11,38.1,20
1999-09-11,37.8,20
1999-09-11,37.8,20
1999-09-11,38.2,20
1999-09-11,39.9,20
1999-09-11,40.3,20
1999-09-11,40.4,20
1999-09-11,38.3,20
1999-09-11,42.1,20
1999-09-11,50.9,20
1999-09-11,51.3,20
1999-09-11,51.3,20
1999-09-11,51.7,20
1999-09-11,51.8,20
1999-09-11,51.8,20
1999-09-11,51.8,20
1999-09-11,51.6,20
1999-09-11,51.6,20
1999-09-11,50.8,20
1999-09-11,50.1,20
1999-09-11,49.4,20
1999-09-11,48.8,20
1999-09-11,47.8,20
1999-10-11,47,20
1999-10-11,45.9,20
1999-10-11,44.9,20
1999-10-11,43.9,20
1999-10-11,43.5,20
1999-10-11,43.7,20
1999-10-11,50.9,20
1999-10-11,50.8,20
1999-10-11,51.1,20
1999-10-11,51.1,20
1999-10-11,51.1,20
1999-10-11,51.1,20
1999-10-11,51,20
1999-10-11,51,20
1999-10-11,50.5,20
1999-10-11,49.9,20
1999-10-11,51,20
1999-10-11,50.5,20
1999-10-11,50.7,20
1999-10-11,51.1,20
1999-10-11,51.1,20
1999-10-11,51,20
1999-10-11,50.7,20
1999-10-11,50.7,20
1999-11-11,51.3,20
1999-11-11,51.5,20
1999-11-11,51.5,20
1999-11-11,51.8,20
1999-11-11,51.7,20
1999-11-11,51.7,20
1999-11-11,51.6,20
1999-11-11,51.7,20
1999-11-11,51.7,20
1999-11-11,51.7,20
1999-11-11,51.6,20
1999-11-11,51.7,20
1999-11-11,51.7,20
1999-11-11,51.6,20
1999-11-11,51.6,20
1999-11-11,51.7,20
1999-11-11,51.7,20
1999-11-11,51.5,20
1999-11-11,51.6,20
1999-11-11,51.4,20
1999-11-11,51.6,20
1999-11-11,51.5,20
1999-11-11,51.5,20
1999-11-11,51.2,20
1999-12-11,51.2,20
1999-12-11,51.6,20
1999-12-11,50.9,20
1999-12-11,50.7,20
1999-12-11,50.5,20
1999-12-11,50.1,20
1999-12-11,49.8,20
1999-12-11,49.4,20
1999-12-11,48.5,20
1999-12-11,47.7,20
1999-12-11,47.7,20
1999-12-11,48,20
1999-12-11,50.7,20
1999-12-11,50.7,20
1999-12-11,50.7,20
1999-12-11,51,20
1999-12-11,51.1,20
1999-12-11,50.8,20
1999-12-11,50.8,20
1999-12-11,50.8,20
1999-12-11,51.1,20
1999-12-11,51.1,20
1999-12-11,51.1,20
1999-12-11,51.5,20
13/11/1999,51.5,20
13/11/1999,51.4,20
13/11/1999,51.4,20
13/11/1999,51.3,20
13/11/1999,51.1,20
13/11/1999,51.4,20
13/11/1999,51.1,20
13/11/1999,51.1,20
13/11/1999,51.5,20
13/11/1999,51.1,20
13/11/1999,51.1,20
13/11/1999,51.1,20
13/11/1999,51.2,20
13/11/1999,50.1,20
13/11/1999,51.4,20
13/11/1999,50.4,20
13/11/1999,47.2,20
13/11/1999,46.2,20
13/11/1999,44.5,20
13/11/1999,43.8,20
13/11/1999,43.3,20
13/11/1999,42.5,20
13/11/1999,42.5,20
13/11/1999,41.8,20
14/11/1999,41.7,20
14/11/1999,41.2,20
14/11/1999,41.2,20
14/11/1999,40.9,20
14/11/1999,40.7,20
14/11/1999,40.4,20
14/11/1999,40.8,20
14/11/1999,39.5,20
14/11/1999,39.5,20
14/11/1999,39.3,20
14/11/1999,39.1,20
14/11/1999,39,20
14/11/1999,39,20
14/11/1999,39.7,20
14/11/1999,41,20
14/11/1999,41.8,20
14/11/1999,41.8,20
14/11/1999,41.5,20
14/11/1999,41.4,20
14/11/1999,41.2,20
14/11/1999,41.2,20
14/11/1999,40.5,20
14/11/1999,40.3,20
14/11/1999,40,20
15/11/1999,39.8,20
15/11/1999,39.5,20
15/11/1999,39.4,20
15/11/1999,39.5,20
15/11/1999,39.3,20
15/11/1999,39.1,20
15/11/1999,39.3,20
15/11/1999,39.4,20
15/11/1999,39.1,20
15/11/1999,39,20
15/11/1999,39.1,20
15/11/1999,38.9,20
15/11/1999,39,20
15/11/1999,38.8,20
15/11/1999,38.8,20
15/11/1999,38.8,20
15/11/1999,38.9,20
15/11/1999,38.6,20
15/11/1999,39,20
15/11/1999,38.8,20
15/11/1999,38.6,20
15/11/1999,38.9,20
15/11/1999,38.5,20
15/11/1999,38.8,20
16/11/1999,38.6,20
16/11/1999,38.5,20
16/11/1999,38.8,20
16/11/1999,38.6,20
16/11/1999,38.6,20
16/11/1999,38.4,20
16/11/1999,38.6,20
16/11/1999,38.4,20
16/11/1999,38.4,20
16/11/1999,38.5,20
16/11/1999,38.5,20
16/11/1999,38.4,20
16/11/1999,38.3,20
16/11/1999,38.2,20
16/11/1999,38.1,20
16/11/1999,37.7,20
16/11/1999,37.6,20
16/11/1999,38,20
16/11/1999,37.8,20
16/11/1999,38,20
16/11/1999,37.7,20
16/11/1999,37.7,20
16/11/1999,37.6,20
16/11/1999,37.6,20
17/11/1999,37.7,20
17/11/1999,37.7,20
17/11/1999,37.6,20
17/11/1999,37.6,20
17/11/1999,37.7,20
17/11/1999,37.5,20
17/11/1999,37.5,20
17/11/1999,37.6,20
17/11/1999,37.6,20
17/11/1999,37.7,20
17/11/1999,37.5,20
17/11/1999,37.3,20
17/11/1999,36.9,20
17/11/1999,37,20
17/11/1999,37.3,20
17/11/1999,36.7,20
17/11/1999,36.7,20
17/11/1999,36.1,20
17/11/1999,36.2,20
17/11/1999,36,20
17/11/1999,36,20
17/11/1999,35.9,20
17/11/1999,36,20
17/11/1999,35.6,20
18/11/1999,35.8,20
18/11/1999,35.8,20
18/11/1999,35.8,20
18/11/1999,35.3,20
18/11/1999,35.5,20
18/11/1999,35.5,20
18/11/1999,35.4,20
18/11/1999,35.2,20
18/11/1999,35.3,20
18/11/1999,35.6,20
18/11/1999,35.5,20
18/11/1999,35.8,20
18/11/1999,35.5,20
18/11/1999,35.5,20
18/11/1999,35.4,20
18/11/1999,35.3,20
18/11/1999,35.4,20
18/11/1999,35.3,20
18/11/1999,35.5,20
18/11/1999,35.2,20
18/11/1999,35.5,20
18/11/1999,35.6,20
18/11/1999,35.6,20
18/11/1999,35.5,20
19/11/1999,35.8,20
19/11/1999,35.8,20
19/11/1999,35.8,20
19/11/1999,36,20
19/11/1999,36,20
19/11/1999,36,20
19/11/1999,36,20
19/11/1999,35.9,20
19/11/1999,36.2,20
19/11/1999,36.1,20
19/11/1999,36,20
19/11/1999,36,20
19/11/1999,36,20
19/11/1999,35.8,20
19/11/1999,35.8,20
19/11/1999,35.6,20
19/11/1999,35.5,20
19/11/1999,35.8,20
19/11/1999,35.4,20
19/11/1999,35.5,20
19/11/1999,35.6,20
19/11/1999,35.5,20
19/11/1999,35.3,20
19/11/1999,35.3,20
20/11/1999,35.3,20
20/11/1999,35.3,20
20/11/1999,35.6,20
20/11/1999,35.6,20
20/11/1999,35.6,20
20/11/1999,35.5,20
20/11/1999,35.9,20
20/11/1999,36,20
20/11/1999,36.8,20
20/11/1999,36.9,20
20/11/1999,36.9,20
20/11/1999,37,20
20/11/1999,37,20
20/11/1999,36.8,20
20/11/1999,36.6,20
20/11/1999,36.7,20
20/11/1999,36.6,20
20/11/1999,36.6,20
20/11/1999,36.7,20
20/11/1999,36.7,20
20/11/1999,36.3,20
20/11/1999,36.3,20
20/11/1999,36.3,20
20/11/1999,36.3,20
21/11/1999,36.6,20
21/11/1999,36.8,20
21/11/1999,37.3,20
21/11/1999,37,20
21/11/1999,37.1,20
21/11/1999,37.1,20
21/11/1999,37.5,20
21/11/1999,37.5,20
21/11/1999,39.7,20
21/11/1999,39.8,20
21/11/1999,39.5,20
21/11/1999,39.8,20
21/11/1999,39.8,20
21/11/1999,39.4,20
21/11/1999,39.1,20
21/11/1999,39,20
21/11/1999,38.8,20
21/11/1999,38.8,20
21/11/1999,38.6,20
21/11/1999,38.6,20
21/11/1999,38.5,20
21/11/1999,38.5,20
21/11/1999,38.5,20
21/11/1999,38.4,20
22/11/1999,38.3,20
22/11/1999,38.3,20
22/11/1999,38.1,20
22/11/1999,38.4,20
22/11/1999,38.3,20
22/11/1999,38.2,20
22/11/1999,38.2,20
22/11/1999,38.2,20
22/11/1999,38.1,20
22/11/1999,40.9,20
22/11/1999,51.7,20
22/11/1999,51.8,20
22/11/1999,51.9,20
22/11/1999,51.9,20
22/11/1999,51.6,20
22/11/1999,49.9,20
22/11/1999,49.2,20
22/11/1999,47.8,20
22/11/1999,46.3,20
22/11/1999,45.2,20
22/11/1999,44,20
22/11/1999,43.4,20
22/11/1999,42.6,20
22/11/1999,42.5,20
23/11/1999,41.9,20
23/11/1999,41.3,20
23/11/1999,41.2,20
23/11/1999,41.1,20
23/11/1999,40.8,20
23/11/1999,40.4,20
23/11/1999,39.4,20
23/11/1999,40,20
23/11/1999,40,20
23/11/1999,39.4,20
23/11/1999,39.2,20
23/11/1999,39,20
23/11/1999,38.8,20
23/11/1999,38.6,20
23/11/1999,38.5,20
23/11/1999,38.5,20
23/11/1999,38.3,20
23/11/1999,38.2,20
23/11/1999,38.2,20
23/11/1999,38.1,20
23/11/1999,38.1,20
23/11/1999,38,20
23/11/1999,38.1,20
23/11/1999,37.8,20
24/11/1999,37.6,20
24/11/1999,37.8,20
24/11/1999,37.8,20
24/11/1999,37.7,20
24/11/1999,37.7,20
24/11/1999,37.5,20
24/11/1999,37.4,20
24/11/1999,37.7,20
24/11/1999,37.4,20
24/11/1999,37.3,20
24/11/1999,37.3,20
24/11/1999,37.5,20
24/11/1999,37,20
24/11/1999,37.1,20
24/11/1999,37.3,20
24/11/1999,37,20
24/11/1999,37,20
24/11/1999,36.9,20
24/11/1999,37.1,20
24/11/1999,37,20
24/11/1999,36.9,20
24/11/1999,36.8,20
24/11/1999,36.7,20
24/11/1999,36.8,20
25/11/1999,36.9,20
25/11/1999,37.1,20
25/11/1999,37.5,20
25/11/1999,37.4,20
25/11/1999,37.6,20
25/11/1999,37.6,20
25/11/1999,37.7,20
25/11/1999,37.5,20
25/11/1999,37.5,20
25/11/1999,37.7,20
25/11/1999,37.5,20
25/11/1999,37.5,20
25/11/1999,37.6,20
25/11/1999,37.6,20
25/11/1999,37.6,20
25/11/1999,37.5,20
25/11/1999,37.6,20
25/11/1999,37.4,20
25/11/1999,37.6,20
25/11/1999,37.4,20
25/11/1999,37.6,20
25/11/1999,37.7,20
25/11/1999,37.4,20
25/11/1999,37.6,20
26/11/1999,37.5,20
26/11/1999,37.7,20
26/11/1999,37.7,20
26/11/1999,37.5,20
26/11/1999,37.4,20
26/11/1999,37.6,20
26/11/1999,37.7,20
26/11/1999,37.6,20
26/11/1999,37.6,20
26/11/1999,37.6,20
26/11/1999,37.8,20
26/11/1999,37.6,20
26/11/1999,37.6,20
26/11/1999,37.6,20
26/11/1999,37.6,20
26/11/1999,37.3,20
26/11/1999,37.4,20
26/11/1999,37.5,20
26/11/1999,37.1,20
26/11/1999,37.1,20
26/11/1999,37.4,20
26/11/1999,37.4,20
26/11/1999,37,20
26/11/1999,37.1,20
27/11/1999,37.3,20
27/11/1999,37,20
27/11/1999,36.9,20
27/11/1999,37.1,20
