Date(NZST),Dir(DegT),Speed(m/s)
20090101,275,9.3
20090102,44,11.8
20090103,13,11.8
20090104,190,7.7
20090105,185,7.2
20090106,216,6.7
20090107,344,6.7
20090108,116,5.7
20090109,348,9.3
20090110,236,6.2
20090111,201,8.8
20090112,276,9.3
20090113,198,7.7
20090114,180,7.7
20090115,191,8.2
20090116,264,7.2
20090117,59,11.3
20090118,338,9.8
20090119,280,7.2
20090120,203,8.8
20090121,205,6.7
20090122,206,7.7
20090123,179,8.8
20090124,266,6.7
20090125,250,9.3
20090126,258,7.2
20090127,205,9.8
20090128,266,6.2
20090129,202,7.2
20090130,192,5.1
20090131,270,7.2
20090201,196,7.7
20090202,331,7.7
20090203,243,5.1
20090204,269,4.1
20090205,28,5.7
20090206,338,8.2
20090207,186,9.3
20090208,154,7.7
20090209,166,7.7
20090210,183,9.3
20090211,198,6.7
20090212,186,6.2
20090213,144,5.7
20090214,222,7.2
20090215,185,7.2
20090216,243,6.7
20090217,210,7.2
20090218,1,9.3
20090219,352,7.2
20090220,48,10.3
20090221,10,9.8
20090222,323,6.7
20090223,342,8.2
20090224,37,5.1
20090225,292,4.6
20090226,341,4.1
20090227,128,4.6
20090228,23,6.7
20090301,44,18.5
20090302,160,6.7
20090303,14,6.2
20090304,310,7.2
20090305,73,4.1
20090306,32,11.3
20090307,6,7.2
20090308,200,5.1
20090309,178,6.7
20090310,178,6.7
20090311,190,7.7
20090312,217,8.8
20090313,61,6.2
20090314,183,6.2
20090315,247,5.7
20090316,227,5.1
20090317,331,4.1
20090318,29,7.2
20090319,167,8.2
20090320,198,6.7
20090321,255,5.1
20090322,112,6.7
20090323,166,5.7
20090324,265,6.2
20090325,260,5.7
20090326,239,6.7
20090327,58,10.8
20090328,197,6.7
20090329,147,7.2
20090330,177,8.2
20090331,142,5.1
20090401,248,5.1
20090402,196,6.7
20090403,304,5.1
20090404,9,4.6
20090405,344,10.3
20090406,6,8.8
20090407,12,12.4
20090408,11,9.8
20090409,260,7.2
20090410,321,4.6
20090411,204,6.7
20090412,167,5.7
20090413,19,6.7
20090414,356,4.6
20090415,354,6.7
20090416,35,12.9
20090417,48,6.7
20090418,246,3.6
20090419,274,4.1
20090420,171,8.2
20090421,122,4.6
20090422,109,5.1
20090423,112,5.1
20090424,105,4.1
20090425,331,6.2
20090426,9,10.3
20090427,44,12.4
20090428,345,8.8
20090429,58,10.8
20090430,167,7.7
20090501,172,4.1
20090502,118,4.1
20090503,98,5.1
20090504,102,4.1
20090505,65,6.7
20090506,92,6.2
20090507,129,3.1
20090508,59,5.7
20090509,88,4.1
20090510,170,6.2
20090511,98,5.7
20090512,128,3.6
20090513,298,3.6
20090514,71,9.3
20090515,308,11.8
20090516,49,12.4
20090517,15,18
20090518,42,11.8
20090519,156,8.8
20090520,213,7.2
20090521,108,5.1
20090522,202,7.7
20090523,141,13.4
20090524,199,8.2
20090525,275,7.2
20090526,141,2.6
20090527,138,3.1
20090528,92,3.6
20090529,228,3.1
20090530,298,4.1
20090531,161,13.9
20090601,110,7.2
20090602,114,4.6
20090603,329,3.1
20090604,273,2.6
20090605,288,2.1
20090606,126,4.6
20090607,110,5.1
20090608,45,5.7
20090609,22,6.7
20090610,27,10.3
20090611,62,5.1
20090612,115,6.2
20090613,147,5.1
20090614,196,6.2
20090615,152,5.1
20090616,146,6.7
20090617,113,3.6
20090618,304,2.1
20090619,104,4.6
20090620,274,2.6
20090621,259,2.6
20090622,279,2.1
20090623,248,2.1
20090624,317,2.6
20090625,288,2.1
20090626,236,5.1
20090627,268,2.6
20090628,207,5.1
20090629,149,8.8
20090630,99,2.6
20090701,265,2.6
20090702,326,4.1
20090703,312,2.6
20090704,225,4.1
20090705,196,4.1
20090706,23,9.8
20090707,128,6.7
20090708,116,5.7
20090709,115,3.6
20090710,298,2.6
20090711,125,4.6
20090712,175,7.7
20090713,127,4.6
20090714,110,2.1
20090715,160,5.7
20090716,103,5.1
20090717,93,5.7
20090718,160,6.7
20090719,157,11.8
20090720,168,3.6
20090721,252,9.8
20090722,278,5.7
20090723,351,13.9
20090724,142,6.7
20090725,117,4.6
20090726,110,4.1
20090727,109,4.6
20090728,58,4.6
20090729,304,2.6
20090730,214,7.2
20090731,196,9.3
20090801,188,5.1
20090802,59,10.8
20090803,129,3.6
20090804,30,10.3
20090805,33,6.2
20090806,114,5.7
20090807,247,4.1
20090808,129,4.6
20090809,123,4.6
20090810,134,4.6
20090811,26,5.1
20090812,14,8.2
20090813,41,7.2
20090814,118,4.6
20090815,49,8.2
20090816,65,7.7
20090817,105,5.7
20090818,194,7.7
20090819,125,6.2
20090820,274,3.6
20090821,125,3.6
20090822,30,6.7
20090823,9,7.2
20090824,341,8.8
20090825,35,14.4
20090826,8,11.8
20090827,288,9.8
20090828,22,8.8
20090829,357,7.2
20090830,22,12.9
20090831,231,11.3
20090901,57,11.8
20090902,200,7.2
20090903,124,6.2
20090904,127,6.2
20090905,129,4.6
20090906,108,5.1
20090907,115,4.6
20090908,121,4.6
20090909,315,5.1
20090910,41,8.2
20090911,9,7.7
20090912,246,5.7
20090913,241,5.1
20090914,112,4.6
20090915,196,6.7
20090916,212,5.7
20090917,198,7.2
20090918,33,8.2
20090919,8,5.7
20090920,216,6.7
20090921,41,5.1
20090922,240,8.2
20090923,180,9.3
20090924,34,8.8
20090925,125,4.6
20090926,185,8.2
20090927,34,7.2
20090928,58,8.8
20090929,102,3.6
20090930,315,8.8
20091001,200,8.8
20091002,212,5.7
20091003,39,10.8
20091004,126,11.3
20091005,217,9.3
20091006,189,8.8
20091007,305,7.2
20091008,18,5.7
20091009,198,8.2
20091010,211,6.2
20091011,183,7.2
20091012,231,9.8
20091013,46,5.7
20091014,48,7.2
20091015,356,6.2
20091016,238,6.2
20091017,343,4.6
20091018,118,9.8
20091019,217,6.2
20091020,231,7.7
20091021,56,7.7
20091022,194,8.8
20091023,204,6.7
20091024,174,5.7
20091025,314,5.1
20091026,24,8.8
20091027,204,9.3
20091028,179,9.8
20091029,275,9.8
20091030,269,8.2
20091031,228,7.2
20091101,263,5.7
20091102,14,5.7
20091103,235,8.2
20091104,22,11.3
20091105,202,7.2
20091106,190,9.8
20091107,195,8.8
20091108,343,8.2
20091109,238,7.2
20091110,316,9.3
20091111,121,10.3
20091112,199,7.2
20091113,246,8.2
20091114,197,8.2
20091115,25,10.8
20091116,282,7.2
20091117,245,5.7
20091118,272,8.8
20091119,197,8.8
20091120,350,6.2
20091121,39,10.8
20091122,242,6.2
20091123,346,8.8
20091124,149,9.8
20091125,184,7.2
20091126,213,9.8
20091127,18,9.8
20091128,35,7.7
20091129,206,7.2
20091130,152,4.6
20091201,36,5.1
20091202,155,16.5
20091203,126,9.3
20091204,28,6.7
20091205,306,4.1
20091206,54,7.7
20091207,262,7.2
20091208,92,6.7
20091209,6,12.4
20091210,29,8.8
20091211,15,11.8
20091212,48,10.3
20091213,74,8.2
20091214,211,9.8
20091215,271,7.2
20091216,245,8.2
20091217,204,6.2
20091218,335,10.8
20091219,24,9.3
20091220,258,8.8
20091221,352,8.2
20091222,254,7.2
20091223,277,6.2
20091224,202,8.8
20091225,192,5.7
20091226,36,8.2
20091227,330,6.7
20091228,351,6.7
20091229,34,8.8
20091230,178,10.3
20091231,211,9.8
20100101,197,8.2
20100102,60,8.8
20100103,20,11.3
20100104,177,9.3
20100105,202,7.2
20100106,72,8.8
20100107,21,11.3
20100108,261,8.8
20100109,174,7.7
20100110,67,13.9
20100111,114,11.8
20100112,230,8.8
20100113,111,5.7
20100114,222,8.2
20100115,126,10.8
20100116,119,9.8
20100117,27,7.2
20100118,294,6.7
20100119,315,6.7
20100120,341,9.3
20100121,340,8.2
20100122,166,7.7
20100123,271,7.2
20100124,260,4.6
20100125,278,8.2
20100126,203,5.7
20100127,340,6.2
20100128,208,7.2
20100129,350,7.2
20100130,188,9.8
20100131,136,8.8
20100201,234,6.2
20100202,184,5.7
20100203,338,7.7
20100204,227,7.2
20100205,221,5.7
20100206,254,7.7
20100207,277,6.2
20100208,204,7.7
20100209,199,6.7
20100210,328,5.1
20100211,8,8.2
20100212,178,6.2
20100213,69,11.8
20100214,193,6.2
20100215,251,7.7
20100216,342,5.1
20100217,300,4.6
20100218,40,11.3
20100219,192,7.2
20100220,171,8.2
20100221,245,7.7
