,Date(NZST),Pmsl(hPa),Pstn(hPa),Amount(mm),Period(min),daily_total_rainfall,daily_avg_duration,daily_min_duration,daily_max_duration,daily_median_duration,Rainfall(mm),Deficit(mm),Sunshine(Hrs),WindDir(DegT),Speed(m/s)_x,WindDir StdDev,WindSpd StdDev,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),Twet(C),RH(%),Tdew(C),Dir(DegT),Speed(m/s)_y,Percent(%),soil_avg_moist,soil_min_moist,soil_max_moist,soil_median_moist
0,2019-01-01,1016.5,993.2,0.0,4878.8,0.75,1225.3,3.9,4878.8,9.25,0.0,40.7,5.3,313,0.5,30,0.3,25.6,14.3,12.5,20.0,16.2,82.0,14.9,188,6.2,40.9,40.9,40.9,40.9,40.9
1,2019-01-02,1013.6,990.5,0.0,534.9,0.15,184.1,6.3,534.9,11.1,0.6,44.6,2.2,5,0.6,37,0.5,26.9,16.6,15.8,21.8,17.7,82.0,16.5,13,6.2,40.4,40.4,40.4,40.4,40.4
2,2019-01-03,1011.3,988.2,0.0,1416.8,0.1,477.23333333333335,3.9,1416.8,11.0,0.0,49.2,8.6,263,0.5,28,0.4,24.8,16.0,13.2,20.4,17.2,82.0,16.0,201,8.8,40.5,40.5,40.5,40.5,40.5
3,2019-01-06,1016.2,992.9,0.0,4621.0,1.32,632.9222222222222,1.5,4621.0,11.6,0.0,62.8,7.4,310,0.9,51,0.6,25.8,14.4,14.5,20.1,17.4,88.0,16.6,353,9.8,37.2,37.2,37.2,37.2,37.2
4,2019-01-07,1019.2,995.6,0.0,56.8,0.28,22.85,9.3,56.8,12.65,1.6,65.7,10.3,168,2.8,22,1.0,27.2,13.7,13.3,20.5,12.9,68.0,10.1,162,9.3,36.6,36.6,36.6,36.6,36.6
5,2019-01-10,1014.8,991.6,0.0,4286.2,4.5,125.6179487179487,0.4,4286.2,4.3,2.2,77.1,6.1,318,1.2,45,0.6,26.5,15.8,13.3,21.2,17.9,92.0,17.4,262,6.7,35.8,35.8,35.8,35.8,35.8
6,2019-01-13,1018.7,995.1,0.0,4558.3,8.11,179.48214285714286,1.2,4558.3,9.45,0.0,87.8,3.9,15,0.9,53,0.5,26.0,10.0,6.8,18.0,13.3,82.0,11.9,272,9.8,35.0,35.0,35.0,35.0,35.0
7,2019-01-14,1009.6,986.1,0.0,79.8,4.39,20.1125,2.2,79.8,17.6,12.8,78.8,7.7,219,1.3,26,0.5,22.2,10.5,9.9,16.4,12.5,87.0,11.5,185,8.8,36.6,36.6,36.6,36.6,36.6
8,2019-01-19,1014.5,991.2,0.0,7893.1,7.72,294.2071428571429,1.8,7893.1,9.7,0.0,97.9,2.4,349,1.1,27,0.5,28.7,15.0,12.8,21.9,15.9,82.0,14.6,48,11.3,33.6,33.6,33.6,33.6,33.6
9,2019-01-20,1013.2,989.6,0.0,310.2,2.46,71.82727272727273,2.3,850.6,10.85,8.6,92.4,6.9,171,1.3,49,0.9,23.9,12.2,10.0,18.1,11.7,83.0,10.4,193,8.2,35.0,35.0,35.0,35.0,35.0
10,2019-01-21,1008.5,985.1,0.51,13.5,8.27,22.41081081081081,2.6,250.3,9.1,9.0,86.9,2.8,96,1.0,46,0.5,20.7,12.9,12.8,16.8,14.2,87.0,13.3,181,7.2,34.7,34.7,34.7,34.7,34.7
