,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
0,20090101:0800,25.0,15.5,0.0,24,0.0
1,20090102:0800,0.2,19.6,0.0,24,0.0
2,20090103:0800,38.4,0.0,14.5,24,0.0
3,20090104:0800,0.6,3.7,0.0,24,0.0
4,20090105:0800,0.0,8.1,0.0,24,0.0
5,20090106:0800,0.0,12.4,0.0,24,0.0
6,20090107:0800,0.0,16.7,0.0,24,0.0
7,20090108:0800,0.0,21.0,0.0,24,0.0
8,20090109:0800,0.0,25.4,0.0,24,0.0
9,20090110:0800,7.2,22.5,0.0,24,0.0
10,20090111:0800,0.0,26.8,0.0,24,0.0
11,20090112:0800,0.0,31.1,0.0,24,0.0
12,20090113:0800,0.0,35.5,0.0,24,0.0
13,20090114:0800,0.0,39.8,0.0,24,0.0
14,20090115:0800,0.0,44.1,0.0,24,0.0
15,20090116:0800,0.0,48.4,0.0,24,0.0
16,20090117:0800,0.0,52.8,0.0,24,0.0
17,20090118:0800,10.0,47.1,0.0,24,0.0
18,20090119:0800,15.6,35.8,0.0,24,0.0
19,20090120:0800,0.6,39.5,0.0,24,0.0
20,20090121:0800,0.0,43.9,0.0,24,0.0
21,20090122:0800,0.0,48.2,0.0,24,0.0
22,20090123:0800,0.0,52.5,0.0,24,0.0
23,20090124:0800,0.0,56.8,0.0,24,0.0
24,20090125:0800,0.0,61.2,0.0,24,0.0
25,20090126:0800,0.0,65.5,0.0,24,0.0
26,20090127:0800,1.4,68.4,0.0,24,0.0
27,20090128:0800,0.0,72.7,0.0,24,0.0
28,20090129:0800,0.0,77.1,0.0,24,0.0
29,20090130:0800,0.0,81.3,0.0,24,0.0
30,20090131:0800,0.0,85.2,0.0,24,0.0
31,20090201:0800,0.0,89.0,0.0,24,0.0
32,20090202:0800,0.0,91.7,0.0,24,0.0
33,20090203:0800,0.0,94.3,0.0,24,0.0
34,20090204:0800,1.8,94.9,0.0,24,0.0
35,20090205:0800,1.0,96.4,0.0,24,0.0
36,20090206:0800,0.0,98.7,0.0,24,0.0
37,20090207:0800,0.0,101.0,0.0,24,0.0
38,20090208:0800,0.0,103.2,0.0,24,0.0
39,20090209:0800,0.0,105.3,0.0,24,0.0
40,20090210:0800,0.4,106.8,0.0,24,0.0
41,20090211:0800,0.0,108.7,0.0,24,0.0
42,20090212:0800,6.0,104.6,0.0,24,0.0
43,20090213:0800,16.6,90.0,0.0,24,0.0
44,20090214:0800,1.0,91.6,0.0,24,0.0
45,20090215:0800,0.0,94.2,0.0,24,0.0
46,20090216:0800,0.0,96.7,0.0,24,0.0
47,20090217:0800,0.0,99.1,0.0,24,0.0
48,20090218:0800,0.0,101.3,0.0,24,0.0
49,20090219:0800,0.0,103.5,0.0,24,0.0
50,20090220:0800,23.8,81.7,0.0,24,0.0
51,20090221:0800,22.0,62.8,0.0,24,0.0
52,20090222:0800,2.0,64.1,0.0,24,0.0
53,20090223:0800,11.0,56.4,0.0,24,0.0
54,20090224:0800,0.2,59.5,0.0,24,0.0
55,20090225:0800,1.0,61.8,0.0,24,0.0
56,20090226:0800,0.0,65.2,0.0,24,0.0
57,20090227:0800,0.0,68.5,0.0,24,0.0
58,20090228:0800,0.0,71.8,0.0,24,0.0
59,20090301:0800,6.0,69.1,0.0,24,0.0
60,20090302:0800,2.2,69.3,0.0,24,0.0
61,20090303:0800,1.0,70.7,0.0,24,0.0
62,20090304:0800,0.0,73.1,0.0,24,0.0
63,20090305:0800,0.0,75.5,0.0,24,0.0
64,20090306:0800,17.8,60.0,0.0,24,0.0
65,20090307:0800,6.6,55.8,0.0,24,0.0
66,20090308:0800,1.2,57.0,0.0,24,0.0
67,20090309:0800,3.8,55.6,0.0,24,0.0
68,20090310:0800,3.6,54.4,0.0,24,0.0
69,20090311:0800,27.8,29.0,0.0,24,0.0
70,20090312:0800,1.4,30.0,0.0,24,0.0
71,20090313:0800,0.0,32.4,0.0,24,0.0
72,20090314:0800,0.0,34.7,0.0,24,0.0
73,20090315:0800,0.0,37.1,0.0,24,0.0
74,20090316:0800,0.0,39.5,0.0,24,0.0
75,20090317:0800,0.0,41.9,0.0,24,0.0
76,20090318:0800,0.0,44.3,0.0,24,0.0
77,20090319:0800,6.8,39.9,0.0,24,0.0
78,20090320:0800,0.8,41.5,0.0,24,0.0
79,20090321:0800,0.0,43.9,0.0,24,0.0
80,20090322:0800,0.0,46.2,0.0,24,0.0
81,20090323:0800,0.0,48.6,0.0,24,0.0
82,20090324:0800,0.0,51.0,0.0,24,0.0
83,20090325:0800,0.0,53.4,0.0,24,0.0
84,20090326:0800,0.0,55.8,0.0,24,0.0
85,20090327:0800,0.0,58.2,0.0,24,0.0
86,20090328:0800,7.2,53.4,0.0,24,0.0
87,20090329:0800,0.2,55.6,0.0,24,0.0
88,20090330:0800,0.0,57.9,0.0,24,0.0
89,20090331:0800,0.0,60.3,0.0,24,0.0
90,20090401:0800,0.0,62.7,0.0,24,0.0
91,20090402:0800,0.0,64.0,0.0,24,0.0
92,20090403:0800,0.0,65.3,0.0,24,0.0
93,20090404:0800,0.0,66.7,0.0,24,0.0
94,20090405:0900,0.0,68.0,0.0,24,0.0
95,20090406:0900,0.0,69.3,0.0,24,0.0
96,20090407:0900,21.2,49.4,0.0,24,0.0
97,20090408:0900,22.4,28.3,0.0,24,0.0
98,20090409:0900,15.6,14.0,0.0,24,0.0
99,20090410:0900,0.0,15.3,0.0,24,0.0
100,20090411:0900,0.0,16.6,0.0,24,0.0
101,20090412:0900,0.0,18.0,0.0,24,0.0
102,20090413:0900,0.2,19.1,0.0,24,0.0
103,20090414:0900,0.4,20.0,0.0,24,0.0
104,20090415:0900,0.0,21.3,0.0,24,0.0
105,20090416:0900,0.0,22.6,0.0,24,0.0
106,20090417:0900,3.6,20.3,0.0,24,0.0
107,20090418:0900,0.2,21.4,0.0,24,0.0
108,20090419:0900,0.2,22.6,0.0,24,0.0
109,20090420:0900,0.6,23.3,0.0,24,0.0
110,20090421:0900,0.0,24.6,0.0,24,0.0
111,20090422:0900,0.0,25.9,0.0,24,0.0
112,20090423:0900,0.0,27.2,0.0,24,0.0
113,20090424:0900,0.0,28.5,0.0,24,0.0
114,20090425:0900,0.0,29.8,0.0,24,0.0
115,20090426:0900,32.6,0.0,1.5,24,0.0
116,20090427:0900,0.0,1.3,0.0,24,0.0
117,20090428:0900,86.8,0.0,84.2,24,0.0
118,20090429:0900,30.4,0.0,29.1,24,0.0
119,20090430:0900,13.0,0.0,11.7,24,0.0
120,20090501:0900,4.0,0.0,2.7,24,0.0
121,20090502:0900,0.0,0.6,0.0,24,0.0
122,20090503:0900,0.0,1.2,0.0,24,0.0
123,20090504:0900,0.0,1.7,0.0,24,0.0
124,20090505:0900,0.0,2.3,0.0,24,0.0
125,20090506:0900,13.8,0.0,10.9,24,0.0
126,20090507:0900,0.0,0.6,0.0,24,0.0
127,20090508:0900,6.6,0.0,5.4,24,0.0
128,20090509:0900,0.0,0.6,0.0,24,0.0
129,20090510:0900,8.2,0.0,7.0,24,0.0
130,20090511:0900,0.0,0.6,0.0,24,0.0
131,20090512:0900,0.0,1.2,0.0,24,0.0
132,20090513:0900,2.8,0.0,1.1,24,0.0
133,20090514:0900,5.0,0.0,4.4,24,0.0
134,20090515:0900,30.8,0.0,30.2,24,0.0
135,20090516:0900,4.4,0.0,3.8,24,0.0
136,20090517:0900,40.2,0.0,39.6,24,0.0
137,20090518:0900,20.8,0.0,20.2,24,0.0
