Year ended June,Region,Region Code,Measure,Value,Value Unit,Value Label,Null Reason
1995,Northland,Northland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Auckland,Auckland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Waikato,Waikato Region,Change in ice volume,0,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Gisborne,Gisborne Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Hawke's Bay,Hawke's Bay Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Taranaki,Taranaki Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in ice volume,2,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,North Island,Total North Island,Change in ice volume,2,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Change in ice volume,824,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Change in ice volume,1049,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Change in ice volume,117,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Change in ice volume,35,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Nelson,Nelson Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1995,Marlborough,Marlborough Region,Change in ice volume,0,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Change in ice volume,2025,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Change in ice volume,2028,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Change in snow,0,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Change in snow,0,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Change in snow,-4,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Change in snow,-5,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Change in snow,0,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Change in snow,-5,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Change in snow,-4,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in snow,-44,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Change in snow,34,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Change in snow,-28,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Change in snow,-943,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Change in snow,346,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Change in snow,-186,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Change in snow,63,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Change in snow,-84,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Change in snow,0,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Change in snow,-23,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Change in snow,-826,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Change in snow,-853,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Change in soil moisture,165,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Change in soil moisture,64,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Change in soil moisture,255,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Change in soil moisture,166,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Change in soil moisture,176,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Change in soil moisture,125,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Change in soil moisture,49,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in soil moisture,309,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Change in soil moisture,248,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Change in soil moisture,1558,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Change in soil moisture,-89,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Change in soil moisture,169,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Change in soil moisture,-37,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Change in soil moisture,-181,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Change in soil moisture,42,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Change in soil moisture,3,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Change in soil moisture,76,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Change in soil moisture,-17,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Change in soil moisture,1540,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Change in lakes,0,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Change in lakes,38,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Change in lakes,-132,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Change in lakes,38,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Change in lakes,0,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Change in lakes,7,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Change in lakes,0,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in lakes,15,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Change in lakes,33,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Change in lakes,-2,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Change in lakes,-7,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Change in lakes,14,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Change in lakes,-262,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Change in lakes,-99,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Change in lakes,4,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Change in lakes,0,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Change in lakes,0,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Change in lakes,-351,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Change in lakes,-352,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Evapotranspiration,8033,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Evapotranspiration,2621,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Evapotranspiration,14401,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Evapotranspiration,8693,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Evapotranspiration,5651,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Evapotranspiration,7548,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Evapotranspiration,4595,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Evapotranspiration,11734,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Evapotranspiration,4784,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Evapotranspiration,68060,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Evapotranspiration,13573,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Evapotranspiration,11082,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Evapotranspiration,10647,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Evapotranspiration,13444,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Evapotranspiration,5513,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Evapotranspiration,196,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Evapotranspiration,3750,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Evapotranspiration,58206,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Evapotranspiration,126266,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Inflow from other regions,2,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Inflow from other regions,9,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Inflow from other regions,72,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Inflow from other regions,5681,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Inflow from other regions,3231,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Inflow from other regions,1586,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Inflow from other regions,5,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Inflow from other regions,26,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Inflow from other regions,57,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
1995,West Coast,West Coast Region,Inflow from other regions,9498,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Inflow from other regions,12194,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Inflow from other regions,17430,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Inflow from other regions,72,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Inflow from other regions,1764,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Inflow from other regions,6,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Inflow from other regions,10062,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
1995,New Zealand,Total New Zealand,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
1995,Northland,Northland Region,Outflow to other regions,1,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Outflow to other regions,34,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Outflow to other regions,47,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Outflow to other regions,3011,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Outflow to other regions,7237,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Outflow to other regions,261,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Outflow to other regions,2,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Outflow to other regions,77,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Outflow to other regions,0,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
1995,West Coast,West Coast Region,Outflow to other regions,1675,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Outflow to other regions,27398,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Outflow to other regions,125,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Outflow to other regions,142,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Outflow to other regions,9456,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Outflow to other regions,88,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Outflow to other regions,12141,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
1995,New Zealand,Total New Zealand,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
1995,Northland,Northland Region,Outflow to sea and net extraction,11842,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Outflow to sea and net extraction,5047,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Outflow to sea and net extraction,27899,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Outflow to sea and net extraction,23204,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Outflow to sea and net extraction,10801,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Outflow to sea and net extraction,15927,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Outflow to sea and net extraction,10923,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Outflow to sea and net extraction,24738,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Outflow to sea and net extraction,11270,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Outflow to sea and net extraction,141651,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Outflow to sea and net extraction,158140,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Outflow to sea and net extraction,42892,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Outflow to sea and net extraction,45482,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Outflow to sea and net extraction,64037,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Outflow to sea and net extraction,14054,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Outflow to sea and net extraction,533,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Outflow to sea and net extraction,14335,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Outflow to sea and net extraction,339472,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Outflow to sea and net extraction,481123,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Precipitation,20238,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Precipitation,7789,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Precipitation,42270,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Precipitation,29329,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Precipitation,20664,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Precipitation,22310,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Precipitation,15408,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Precipitation,36797,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Precipitation,16296,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Precipitation,211102,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Precipitation,163628,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Precipitation,70729,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Precipitation,38754,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Precipitation,77161,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Precipitation,26945,number,Millions of cubic metres per year,
