OBS_DATE,NZDI_INDICATOR,VAL
15/01/2007,NZDI,0.59
15/01/2007,PED,1
15/01/2007,SMD,0.71
15/01/2007,SMDA,0.25
15/01/2007,SPI,0.39
16/01/2007,NZDI,0.59
16/01/2007,PED,1.02
16/01/2007,SMD,0.72
16/01/2007,SMDA,0.24
16/01/2007,SPI,0.38
17/01/2007,NZDI,0.57
17/01/2007,PED,0.96
17/01/2007,SMD,0.72
17/01/2007,SMDA,0.24
17/01/2007,SPI,0.38
18/01/2007,NZDI,0.6
18/01/2007,PED,1.01
18/01/2007,SMD,0.73
18/01/2007,SMDA,0.25
18/01/2007,SPI,0.41
19/01/2007,NZDI,0.64
19/01/2007,PED,1.1
19/01/2007,SMD,0.75
19/01/2007,SMDA,0.27
19/01/2007,SPI,0.44
20/01/2007,NZDI,0.66
20/01/2007,PED,1.12
20/01/2007,SMD,0.76
20/01/2007,SMDA,0.28
20/01/2007,SPI,0.46
21/01/2007,NZDI,0.67
21/01/2007,PED,1.15
21/01/2007,SMD,0.78
21/01/2007,SMDA,0.31
21/01/2007,SPI,0.46
22/01/2007,NZDI,0.7
22/01/2007,PED,1.18
22/01/2007,SMD,0.79
22/01/2007,SMDA,0.34
22/01/2007,SPI,0.47
23/01/2007,NZDI,0.72
23/01/2007,PED,1.23
23/01/2007,SMD,0.81
23/01/2007,SMDA,0.36
23/01/2007,SPI,0.47
24/01/2007,NZDI,0.73
24/01/2007,PED,1.25
24/01/2007,SMD,0.83
24/01/2007,SMDA,0.37
24/01/2007,SPI,0.48
25/01/2007,NZDI,0.74
25/01/2007,PED,1.25
25/01/2007,SMD,0.84
25/01/2007,SMDA,0.39
25/01/2007,SPI,0.49
26/01/2007,NZDI,0.75
26/01/2007,PED,1.22
26/01/2007,SMD,0.86
26/01/2007,SMDA,0.41
26/01/2007,SPI,0.5
27/01/2007,NZDI,0.77
27/01/2007,PED,1.27
27/01/2007,SMD,0.88
27/01/2007,SMDA,0.43
27/01/2007,SPI,0.5
28/01/2007,NZDI,0.78
28/01/2007,PED,1.3
28/01/2007,SMD,0.88
28/01/2007,SMDA,0.42
28/01/2007,SPI,0.51
29/01/2007,NZDI,0.79
29/01/2007,PED,1.38
29/01/2007,SMD,0.87
29/01/2007,SMDA,0.41
29/01/2007,SPI,0.51
30/01/2007,NZDI,0.78
30/01/2007,PED,1.31
30/01/2007,SMD,0.88
30/01/2007,SMDA,0.4
30/01/2007,SPI,0.52
31/01/2007,NZDI,0.78
31/01/2007,PED,1.33
31/01/2007,SMD,0.88
31/01/2007,SMDA,0.39
31/01/2007,SPI,0.52
1/02/2007,NZDI,0.79
1/02/2007,PED,1.37
1/02/2007,SMD,0.88
1/02/2007,SMDA,0.39
1/02/2007,SPI,0.52
2/02/2007,NZDI,0.8
2/02/2007,PED,1.4
2/02/2007,SMD,0.89
2/02/2007,SMDA,0.39
2/02/2007,SPI,0.52
3/02/2007,NZDI,0.81
3/02/2007,PED,1.41
3/02/2007,SMD,0.89
3/02/2007,SMDA,0.39
3/02/2007,SPI,0.53
4/02/2007,NZDI,0.81
4/02/2007,PED,1.41
4/02/2007,SMD,0.9
4/02/2007,SMDA,0.4
4/02/2007,SPI,0.53
5/02/2007,NZDI,0.81
5/02/2007,PED,1.4
5/02/2007,SMD,0.9
5/02/2007,SMDA,0.4
5/02/2007,SPI,0.53
6/02/2007,NZDI,0.81
6/02/2007,PED,1.39
6/02/2007,SMD,0.91
6/02/2007,SMDA,0.4
6/02/2007,SPI,0.53
7/02/2007,NZDI,0.8
7/02/2007,PED,1.36
7/02/2007,SMD,0.91
7/02/2007,SMDA,0.41
7/02/2007,SPI,0.53
8/02/2007,NZDI,0.8
8/02/2007,PED,1.35
8/02/2007,SMD,0.92
8/02/2007,SMDA,0.41
8/02/2007,SPI,0.53
9/02/2007,NZDI,0.8
9/02/2007,PED,1.32
9/02/2007,SMD,0.92
9/02/2007,SMDA,0.41
9/02/2007,SPI,0.53
10/02/2007,NZDI,0.8
10/02/2007,PED,1.31
10/02/2007,SMD,0.93
10/02/2007,SMDA,0.42
10/02/2007,SPI,0.53
11/02/2007,NZDI,0.8
11/02/2007,PED,1.3
11/02/2007,SMD,0.94
11/02/2007,SMDA,0.42
11/02/2007,SPI,0.53
12/02/2007,NZDI,0.8
12/02/2007,PED,1.3
12/02/2007,SMD,0.96
12/02/2007,SMDA,0.43
12/02/2007,SPI,0.53
13/02/2007,NZDI,0.81
13/02/2007,PED,1.3
13/02/2007,SMD,0.97
13/02/2007,SMDA,0.43
13/02/2007,SPI,0.52
14/02/2007,NZDI,0.82
14/02/2007,PED,1.31
14/02/2007,SMD,0.99
14/02/2007,SMDA,0.44
14/02/2007,SPI,0.52
15/02/2007,NZDI,0.83
15/02/2007,PED,1.34
15/02/2007,SMD,1.01
15/02/2007,SMDA,0.45
15/02/2007,SPI,0.52
16/02/2007,NZDI,0.85
16/02/2007,PED,1.36
16/02/2007,SMD,1.03
16/02/2007,SMDA,0.47
16/02/2007,SPI,0.53
17/02/2007,NZDI,0.86
17/02/2007,PED,1.37
17/02/2007,SMD,1.04
17/02/2007,SMDA,0.49
17/02/2007,SPI,0.53
18/02/2007,NZDI,0.87
18/02/2007,PED,1.38
18/02/2007,SMD,1.06
18/02/2007,SMDA,0.51
18/02/2007,SPI,0.54
19/02/2007,NZDI,0.89
19/02/2007,PED,1.39
19/02/2007,SMD,1.08
19/02/2007,SMDA,0.53
19/02/2007,SPI,0.55
20/02/2007,NZDI,0.9
20/02/2007,PED,1.38
20/02/2007,SMD,1.1
20/02/2007,SMDA,0.56
20/02/2007,SPI,0.56
21/02/2007,NZDI,0.91
21/02/2007,PED,1.37
21/02/2007,SMD,1.11
21/02/2007,SMDA,0.57
21/02/2007,SPI,0.57
22/02/2007,NZDI,0.92
22/02/2007,PED,1.35
22/02/2007,SMD,1.12
22/02/2007,SMDA,0.63
22/02/2007,SPI,0.58
23/02/2007,NZDI,0.94
23/02/2007,PED,1.37
23/02/2007,SMD,1.14
23/02/2007,SMDA,0.66
23/02/2007,SPI,0.6
24/02/2007,NZDI,0.95
24/02/2007,PED,1.37
24/02/2007,SMD,1.16
24/02/2007,SMDA,0.67
24/02/2007,SPI,0.61
25/02/2007,NZDI,0.97
25/02/2007,PED,1.39
25/02/2007,SMD,1.17
25/02/2007,SMDA,0.68
25/02/2007,SPI,0.63
26/02/2007,NZDI,0.97
26/02/2007,PED,1.37
26/02/2007,SMD,1.18
26/02/2007,SMDA,0.69
26/02/2007,SPI,0.65
27/02/2007,NZDI,0.98
27/02/2007,PED,1.35
27/02/2007,SMD,1.2
27/02/2007,SMDA,0.7
27/02/2007,SPI,0.67
28/02/2007,NZDI,1
28/02/2007,PED,1.33
28/02/2007,SMD,1.23
28/02/2007,SMDA,0.76
28/02/2007,SPI,0.66
1/03/2007,NZDI,1.02
1/03/2007,PED,1.31
1/03/2007,SMD,1.25
1/03/2007,SMDA,0.83
1/03/2007,SPI,0.69
2/03/2007,NZDI,1.03
2/03/2007,PED,1.3
2/03/2007,SMD,1.26
2/03/2007,SMDA,0.86
2/03/2007,SPI,0.71
3/03/2007,NZDI,1.06
3/03/2007,PED,1.29
3/03/2007,SMD,1.31
3/03/2007,SMDA,0.9
3/03/2007,SPI,0.72
4/03/2007,NZDI,1.06
4/03/2007,PED,1.24
4/03/2007,SMD,1.34
4/03/2007,SMDA,0.94
4/03/2007,SPI,0.73
5/03/2007,NZDI,1.08
5/03/2007,PED,1.23
5/03/2007,SMD,1.35
5/03/2007,SMDA,0.98
5/03/2007,SPI,0.75
6/03/2007,NZDI,1.1
6/03/2007,PED,1.23
6/03/2007,SMD,1.37
6/03/2007,SMDA,1.02
6/03/2007,SPI,0.77
7/03/2007,NZDI,1.12
7/03/2007,PED,1.23
