"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
"Auckland (Auckland)","12","Hydrological drought",-37.00813,174.78873,"Duration",0.13787892391375464,1.0898985218261321,"Mann-Kendall",11,NA,15,165,0.2727272727272727,"greater","Likely increasing",1972,2022,"Auckland"
"Auckland (Auckland)","3","Meteorological drought",-37.00813,174.78873,"Duration",0.6227657565474852,-0.3127527879306298,"Mann-Kendall",32,NA,-20,3690.6666666666665,-0.04290936643775525,"greater","Indeterminate",1972,2022,"Auckland"
"Auckland (Auckland)","6","Agricultural drought",-37.00813,174.78873,"Duration",0.8600545687365538,-1.080564541514024,"Mann-Kendall",20,NA,-34,932.6666666666666,-0.18592842168541804,"greater","Likely decreasing",1972,2022,"Auckland"
"Blenheim (Marlborough)","12","Hydrological drought",-41.52133,173.86439,"Duration",0.3374933569852447,0.4193139346887673,"Mann-Kendall",9,"Less than 10 values provided. ",5,91,0.14085904245475275,"greater","Indeterminate",1972,2022,"Marlborough"
"Blenheim (Marlborough)","3","Meteorological drought",-41.52133,173.86439,"Duration",0.3945839866616239,0.2673912011916401,"Mann-Kendall",18,NA,8,685.3333333333334,0.053896805563629545,"greater","Indeterminate",1972,2022,"Marlborough"
"Blenheim (Marlborough)","6","Agricultural drought",-41.52133,173.86439,"Duration",0.1535380564488684,1.021376461713902,"Mann-Kendall",11,NA,14,162,0.26178515720236806,"greater","Likely increasing",1972,2022,"Marlborough"
"Christchurch (Canterbury)","12","Hydrological drought",-43.493,172.537,"Duration",0.3938078833511028,0.26940795304016235,"Mann-Kendall",10,NA,4,124,0.08989331499509895,"greater","Indeterminate",1972,2022,"Canterbury"
"Christchurch (Canterbury)","3","Meteorological drought",-43.493,172.537,"Duration",0.7847375106588103,-0.7882936199462016,"Mann-Kendall",26,NA,-36,1971.3333333333333,-0.11976734502419678,"greater","Likely decreasing",1972,2022,"Canterbury"
"Christchurch (Canterbury)","6","Agricultural drought",-43.493,172.537,"Duration",0.09875345501749894,1.288687039476337,"Mann-Kendall",17,NA,32,578.6666666666666,0.24253562503633297,"greater","Very likely increasing",1972,2022,"Canterbury"
"Dannevirke (Manawatū-Whanganui)","12","Hydrological drought",-40.21,176.109,"Duration",0.012410944522098214,2.2441634142931335,"Mann-Kendall",8,"Less than 10 values provided. ",19,64.33333333333333,0.6910233190806425,"greater","Very likely increasing",1972,2022,"Manawatū-Whanganui"
