"site","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","conf_low_66","conf_high_66"
"Blenheim (Marlborough)","1972","2022",0.16180655284594725,-0.15,-0.3125,0,-1.3990214433694748,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.52133,173.86439,"Marlborough",-0.2413793103448276,-0.05263157894736842
"Christchurch (Canterbury)","1972","2022",0.7264035484998527,-0.03125,-0.18181818181818182,0.1111111111111111,-0.34991358888904367,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-43.493,172.537,"Canterbury",-0.125,0.05263157894736842
"Dannevirke (Manawatū-Whanganui)","1972","2022",0.3615898994900187,0.05263157894736842,-0.043478260869565216,0.14705882352941177,0.9123397422389475,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.21,176.109,"Manawatū-Whanganui",0,0.10714285714285714
"Dunedin (Otago)","1972","2022",0.4276606052011783,-0.020833333333333332,-0.09090909090909091,0.02631578947368421,-0.7932012056465163,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,"Otago",-0.058823529411764705,0
"Gisborne (Gisborne)","1972","2022",8.562735520363455e-9,-0.11538461538461539,-0.15384615384615385,-0.08333333333333333,-5.756989262191515,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,"Gisborne",-0.13953488372093023,-0.1
"Gore (Southland)","1972","2022",2.8872682584853786e-5,-0.4,-0.5333333333333333,-0.23809523809523808,-4.182180321432806,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.115,168.887,"Southland",-0.48,-0.3
"Hamilton (Waikato)","1972","2022",0.4830434859046332,-0.04,-0.13043478260869565,0.038461538461538464,-0.7014159259697614,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,"Waikato",-0.09523809523809523,0
"Hokitika (West Coast)","1972","2022",0.0012901552573011323,-0.18181818181818182,-0.26666666666666666,-0.1,-3.218160670707251,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,"West Coast",-0.23076923076923078,-0.14285714285714285
"Invercargill (Southland)","1972","2022",2.2899672633889086e-4,-0.3333333333333333,-0.4782608695652174,-0.19230769230769232,-3.6846726867865596,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.41741,168.33052,"Southland",-0.40625,-0.25
"Kerikeri (Northland)","1972","2022",0.8134898766451615,0,0,0,0.2359262782648793,"Sen's slope",51,"All values tied. Warning zero inflated data (more than 20% of time series are zeros).",NA,NA,NA,NA,NA,-35.183,173.926,"Northland",0,0
"Lake Tekapo (Canterbury)","1972","2022",0.32105832417574437,0.14285714285714285,-0.07692307692307693,0.375,0.9922853982516808,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441,"Canterbury",0,0.27906976744186046
"Masterton (Wellington)","1972","2022",3.0014919226678226e-5,0.35294117647058826,0.23529411764705882,0.4722222222222222,4.173353117206842,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707,"Wellington",0.2857142857142857,0.42105263157894735
"Milford Sound (Southland)","1972","2022",1.830682158170162e-5,-0.47058823529411764,-0.6388888888888888,-0.3333333333333333,-4.2846000465292615,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,"Southland",-0.5675675675675675,-0.38636363636363635
"Napier (Hawke's Bay)","1972","2022",3.1847579468842005e-5,-0.1590909090909091,-0.21875,-0.10714285714285714,-4.159836283836516,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,"Hawke's Bay",-0.2,-0.12903225806451613
"Nelson (Nelson)","1972","2022",7.943772772961784e-5,-0.3076923076923077,-0.41025641025641024,-0.2,-3.946090111491717,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226,"Nelson",-0.36363636363636365,-0.25
