"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Auckland (Auckland)",2022,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2022,28,"2022-05-12","2022-10-07",-41.52133,173.86439
"Christchurch (Canterbury)",2022,44,"2022-05-12","2022-10-22",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2022,12,"2022-05-29","2022-10-22",-40.21,176.109
"Dunedin (Otago)",2022,5,"2022-06-23","2022-08-12",-45.90129,170.5147
"Gisborne (Gisborne)",2022,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2022,29,"2022-05-27","2022-10-06",-46.115,168.887
"Hamilton (Waikato)",2022,11,"2022-05-12","2022-10-07",-37.86088,175.33175
"Hokitika (West Coast)",2022,6,"2022-06-21","2022-09-06",-42.71228,170.98428
"Invercargill (Southland)",2022,33,"2022-05-16","2022-10-08",-46.41741,168.33052
"Kerikeri (Northland)",2022,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2022,96,"2022-04-08","2022-10-22",-44.002,170.441
"Masterton (Wellington)",2022,31,"2022-05-12","2022-10-22",-40.957,175.707
"Milford Sound (Southland)",2022,14,"2022-06-21","2022-08-14",-44.67384,167.92406
"Napier (Hawke's Bay)",2022,6,"2022-06-24","2022-09-07",-39.49846,176.91189
"Nelson (Nelson)",2022,5,"2022-06-21","2022-09-07",-41.299,173.226
"New Plymouth (Taranaki)",2022,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2022,60,"2022-04-17","2022-10-22",-45.01758,168.74005
"Reefton (West Coast)",2022,19,"2022-05-11","2022-10-07",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2022,22,"2022-05-12","2022-10-07",-38.10595,176.31485
"Tara Hills (Canterbury)",2022,113,"2022-04-08","2022-10-22",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2022,34,"2022-04-15","2022-10-08",-38.88784,175.25981
"Taupō (Waikato)",2022,33,"2022-05-12","2022-10-23",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2022,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2022,54,"2022-05-21","2022-10-22",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2022,40,"2022-04-08","2022-10-23",-39.46249,175.66283
"Wellington (Wellington)",2022,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2022,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2022,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2022,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2021,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2021,21,"2021-05-26","2021-10-14",-41.52133,173.86439
"Christchurch (Canterbury)",2021,42,"2021-04-28","2021-10-01",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2021,21,"2021-04-29","2021-09-04",-40.21,176.109
