"site","season","precipitation","precipitation_units","period_start","period_end","lat","lon","anomaly_1961","anomaly_1991"
"Auckland (Auckland)","Spring",386,"mm","2022-09-01","2022-11-30",-37.00813,174.78873,130.5,135.1
"Blenheim (Marlborough)","Spring",194.29999999999998,"mm","2022-09-01","2022-11-30",-41.52133,173.86439,23.1,14.8
"Christchurch (Canterbury)","Spring",183,"mm","2022-09-01","2022-11-30",-43.493,172.537,47.1,46.1
"Dannevirke (Manawatū-Whanganui)","Spring",312.6,"mm","2022-09-01","2022-11-30",-40.21,176.109,69.2,33.7
"Dunedin (Otago)","Spring",119.8,"mm","2022-09-01","2022-11-30",-45.90129,170.5147,-33.7,-44.7
"Gisborne (Gisborne)","Spring",340.9,"mm","2022-09-01","2022-11-30",-38.6586,177.9851,133.2,143.1
"Gore (Southland)","Spring",245.4,"mm","2022-09-01","2022-11-30",-46.115,168.887,33.9,4.8
"Hamilton (Waikato)","Spring",538.2,"mm","2022-09-01","2022-11-30",-37.86088,175.33175,237.7,239
"Hokitika (West Coast)","Spring",653.9,"mm","2022-09-01","2022-11-30",-42.71228,170.98428,-130.5,-98.5
"Invercargill (Southland)","Spring",284.7,"mm","2022-09-01","2022-11-30",-46.41741,168.33052,30.7,-4
"Kerikeri (Northland)","Spring",533,"mm","2022-09-01","2022-11-30",-35.183,173.926,163.9,195.5
"Lake Tekapo (Canterbury)","Spring",140.20000000000002,"mm","2022-09-01","2022-11-30",-44.002,170.441,-10.3,-7.7
"Masterton (Wellington)","Spring",370,"mm","2022-09-01","2022-11-30",-40.957,175.707,186.6,154.3
"Milford Sound (Southland)","Spring",1311.6,"mm","2022-09-01","2022-11-30",-44.67384,167.92406,-294.2,-320.1
"Napier (Hawke's Bay)","Spring",264.1,"mm","2022-09-01","2022-11-30",-39.49846,176.91189,109.7,98.1
"Nelson (Nelson)","Spring",216.6,"mm","2022-09-01","2022-11-30",-41.299,173.226,-17.1,-10.3
"New Plymouth (Taranaki)","Spring",455.6,"mm","2022-09-01","2022-11-30",-39.0079,174.18382,102.2,104.4
"Queenstown (Otago)","Spring",178.6,"mm","2022-09-01","2022-11-30",-45.01758,168.74005,1.6,-6.1
"Reefton (West Coast)","Spring",408.2,"mm","2022-09-01","2022-11-30",-42.11578,171.86014,-151.9,-107.6
"Rotorua (Bay of Plenty)","Spring",695,"mm","2022-09-01","2022-11-30",-38.10595,176.31485,353.7,412.1
"Tara Hills (Canterbury)","Spring",112.60000000000001,"mm","2022-09-01","2022-11-30",-44.52612,169.88948,-24,-12.6
"Taumarunui (Manawatū-Whanganui)","Spring",531,"mm","2022-09-01","2022-11-30",-38.88784,175.25981,155.6,129.5
"Taupō (Waikato)","Spring",509.6,"mm","2022-09-01","2022-11-30",-38.74263,176.08104,282.5,291.8
"Tauranga (Bay of Plenty)","Spring",566.4,"mm","2022-09-01","2022-11-30",-37.673,176.196,271.6,333.2
"Timaru (Canterbury)","Spring",177,"mm","2022-09-01","2022-11-30",-44.30517,171.22141,51.2,38.9
"Waiouru (Manawatū-Whanganui)","Spring",312.6,"mm","2022-09-01","2022-11-30",-39.46249,175.66283,57.6,10.6
"Wellington (Wellington)","Spring",347.4,"mm","2022-09-01","2022-11-30",-41.285,174.768,32.8,14.3
"Whanganui (Manawatū-Whanganui)","Spring",293.8,"mm","2022-09-01","2022-11-30",-39.93704,175.04509,88.3,53.5
"Whangaparāoa (Auckland)","Spring",344.1,"mm","2022-09-01","2022-11-30",-36.606,174.835,84.3,122.4
"Whangārei (Northland)","Spring",620.6,"mm","2022-09-01","2022-11-30",-35.769,174.364,301.3,355.1
"Auckland (Auckland)","Winter",560.6,"mm","2022-06-01","2022-08-31",-37.00813,174.78873,200.8,190.8
"Blenheim (Marlborough)","Winter",561.8,"mm","2022-06-01","2022-08-31",-41.52133,173.86439,364.3,353.5
"Christchurch (Canterbury)","Winter",402.2,"mm","2022-06-01","2022-08-31",-43.493,172.537,223.7,211.7
"Dannevirke (Manawatū-Whanganui)","Winter",440.8,"mm","2022-06-01","2022-08-31",-40.21,176.109,144.7,169
"Dunedin (Otago)","Winter",285.4,"mm","2022-06-01","2022-08-31",-45.90129,170.5147,113.8,126
"Gisborne (Gisborne)","Winter",257.8,"mm","2022-06-01","2022-08-31",-38.6586,177.9851,-90.6,-59.7
