"site","season","trend_likelihood","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","lat","lon"
"Auckland (Auckland)","Annual",NA,"1960-01-01","2022-12-31",0.1577907871129858,-1.658568548387095,-3.566199835053668,0.2490627382794781,0.9,1169.8630824372758,0.03243997953223799,167.39121560360147,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)","Annual",NA,"1960-01-01","2022-12-31",0.43005028147445656,0.8295218894009262,-0.8880831555896815,2.547126934391534,0.9,680.166410650281,0.01023915307519607,150.71675455179792,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)","Annual",NA,"1960-01-01","2022-12-31",0.38051753682967426,0.8114535330261187,-0.6995311724002028,2.32243823845244,0.9,596.8271377368146,0.012630242062707067,132.58619124544134,"Linear model",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","Annual",NA,"1960-01-01","2022-12-31",0.154497079289053,-1.6293778801843233,-3.488335455084754,0.22957969471610773,0.9,1071.646441372247,0.03295167761260244,163.12018490840296,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","Annual",NA,"1960-01-01","2022-12-31",0.976093315091602,-0.021140552995392324,-1.1767680894819588,1.1344869834911742,0.9,690.0399897593446,1.484277676566842e-5,101.40423858087651,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","Annual",NA,"1960-01-01","2022-12-31",0.5462374824607218,0.7511328725038445,-1.2849737745612018,2.7872395195688906,0.9,1009.0351766513053,0.005999894353196842,178.66469748792852,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gore (Southland)","Annual",NA,"1960-01-01","2022-12-31",0.1039679955283247,1.5233342933947822,0.005268833685551311,3.041399753104013,0.9,868.0739375320014,0.042752202596013984,133.2075147030146,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)","Annual",NA,"1960-01-01","2022-12-31",0.9995635659947153,6.672427035351204e-4,-1.9975961479184343,1.9989306333255044,0.9,1225.796108550947,4.945234373935325e-9,175.34401977484978,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)","Annual",NA,"1960-01-01","2022-12-31",0.07492132473668953,3.8300115207373437,0.35314393904877894,7.306879102425908,0.9,2745.1713773681495,0.05107188105696737,305.0888791033588,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)","Annual",NA,"1960-01-01","2022-12-31",0.23455799729294247,1.0644489247311846,-0.39390569043861645,2.522803539900986,0.9,1067.599539170507,0.02308369934953744,127.96799545103254,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)","Annual",NA,"1960-01-01","2022-12-31",0.2594127850382384,2.557267665130571,-1.137744791711699,6.2522801219728414,0.9,1576.840450588837,0.020802500226221352,324.2306996872949,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)","Annual",NA,"1960-01-01","2022-12-31",0.5968963025598049,0.48175883256528634,-1.0087259501949728,1.9722436153255456,0.9,586.8281618023551,0.004612338897477323,130.7873598890694,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)","Annual",NA,"1960-01-01","2022-12-31",0.018157159873137742,2.69366359447005,0.8686753971249113,4.518651791815189,0.9,754.3567332309262,0.08811157694216801,160.1394331027361,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)","Annual",NA,"1960-01-01","2022-12-31",0.029894567238862486,15.4078629032258,4.009870214209972,26.805855592241628,0.9,5559.12140296979,0.07497336113596222,1000.1533655852644,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Napier (Hawke's Bay)","Annual",NA,"1960-01-01","2022-12-31",0.9675052531124848,0.04088901689708479,-1.6033234282535276,1.6851014620476972,0.9,754.8232974910393,2.742901687470532e-5,144.27668587112905,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson (Nelson)","Annual",NA,"1960-01-01","2022-12-31",0.2794811321166843,1.4947676651305661,-0.7584387817339504,3.7479741119950827,0.9,883.2261648745522,0.019145844781195777,197.7148145885104,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"New Plymouth (Taranaki)","Annual",NA,"1960-01-01","2022-12-31",0.1942578102702398,-1.8780241935483895,-4.231547655166202,0.475499268069423,0.9,1525.4697900665644,0.027465960487608562,206.51745226941236,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown (Otago)","Annual",NA,"1960-01-01","2022-12-31",0.12331573686820438,1.3349078341013856,-0.07025101190819338,2.7400666801109645,0.9,656.4639016897079,0.03848849111198945,123.3001623498791,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Reefton (West Coast)","Annual",NA,"1960-01-01","2022-12-31",0.24466500534062965,-2.362692012288776,-5.670904110504031,0.9455200859264798,0.9,2016.3490015360971,0.022122622706120466,290.2896636605557,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Rotorua (Bay of Plenty)","Annual",NA,"1960-01-01","2022-12-31",0.3144932856611913,-2.050609639016897,-5.3763369086219335,1.2751176305881402,0.9,1473.7449052739375,0.01658270017382558,291.8265884588296,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tara Hills (Canterbury)","Annual",NA,"1960-01-01","2022-12-31",0.7853063418361899,-0.20555395545314797,-1.4412632592099246,1.0301553483036285,0.9,540.5840757808498,0.0012257758137556684,108.43126967684333,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","Annual",NA,"1960-01-01","2022-12-31",0.09850352850780447,2.0080261136712796,0.039429072163808865,3.9766231551787503,0.9,1361.8463389656931,0.04411199960641429,172.74085097828728,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taupō (Waikato)","Annual",NA,"1960-01-01","2022-12-31",0.5301496154198819,0.8123223886328759,-1.3039100908013308,2.9285548680670823,0.9,921.8945724526366,0.0064927074230532855,185.69559521710195,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Tauranga (Bay of Plenty)","Annual",NA,"1960-01-01","2022-12-31",0.045886638111850696,-3.854109062980027,-6.964640963849375,-0.7435771621106793,0.9,1393.064823348694,0.06375206163624046,272.9435817600469,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.673,176.196
"Timaru (Canterbury)","Annual",NA,"1960-01-01","2022-12-31",0.44688536638406806,0.6755760368663621,-0.7759257342491872,2.1270778079819115,0.9,519.4545826932921,0.009516673733432983,127.3666707062557,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","Annual",NA,"1960-01-01","2022-12-31",0.02099424827647605,2.280813172043017,0.6974942648293376,3.864132079256696,0.9,1010.8790578597021,0.08428097387756255,138.93338739992458,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.46249,175.66283
"Wellington (Wellington)","Annual",NA,"1960-01-01","2022-12-31",0.784322449295895,-0.4026497695852411,-2.8118941795352623,2.00659464036478,0.9,1337.802252944187,0.0012373147117583003,211.40686530279385,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","Annual",NA,"1960-01-01","2022-12-31",0.004240176323949207,2.6373607910906336,1.1772886787751078,4.097432903406159,0.9,819.3012800819247,0.1264205223358054,128.11870273761775,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)","Annual",NA,"1960-01-01","2022-12-31",0.030847850281027055,-2.712864823348703,-4.731742951821214,-0.6939866948761915,0.9,1159.7608806963656,0.07414845978017794,177.15292595722931,"Linear model",63,NA,NA,NA,NA,NA,NA,-36.606,174.835
"Whangārei (Northland)","Annual",NA,"1960-01-01","2022-12-31",0.06040979305526736,-3.8855366743471538,-7.225961887043798,-0.5451114616505097,0.9,1529.7054275473627,0.05661262068828068,293.11630653913835,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.769,174.364
"Auckland (Auckland)","Autumn",NA,"1960-03-01","2022-05-31",0.7701430257784511,-0.1588469662058357,-1.0490954604806857,0.7314015280690144,0.9,279.4989759344596,0.001410091210132877,78.11770476166944,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
