Date(NZST),Rainfall(mm),Deficit(mm),Runoff(mm),Pmsl(hPa),Pstn(hPa),Tmax(C),Tmin(C),Tgmin(C),Tmean(C)
2019-01-01 08:00:00,0.0,40.7,0.0,1016.5,993.2,25.6,14.3,12.5,20
2019-01-02 08:00:00,0.6,44.6,0.0,1013.6,990.5,26.9,16.6,15.8,21.8
2019-01-03 08:00:00,0.0,49.2,0.0,1011.3,988.2,24.8,16,13.2,20.4
2019-01-04 08:00:00,0.0,53.7,0.0,1018.0,994.4,23.1,13.3,10.2,18.2
2019-01-05 08:00:00,0.0,58.2,0.0,1020.8,997.1,22.1,8.4,5.4,15.3
2019-01-06 08:00:00,0.0,62.8,0.0,1016.2,992.9,25.8,14.4,14.5,20.1
2019-01-07 08:00:00,1.6,65.7,0.0,1019.2,995.6,27.2,13.7,13.3,20.5
2019-01-08 08:00:00,0.0,70.3,0.0,1021.2,997.7,23.1,9.6,6,16.4
2019-01-09 08:00:00,0.0,74.8,0.0,1021.4,997.8,24.5,9.2,6.4,16.9
2019-01-10 08:00:00,2.2,77.1,0.0,1014.8,991.6,26.5,15.8,13.3,21.2
2019-01-11 08:00:00,2.0,79.5,0.0,1020.1,996.7,27.3,15.5,13.8,21.4
2019-01-12 08:00:00,0.0,83.8,0.0,1026.9,1003,23.8,8.7,6.1,16.3
2019-01-13 08:00:00,0.0,87.8,0.0,1018.7,995.1,26,10,6.8,18
2019-01-14 08:00:00,12.8,78.8,0.0,1009.6,986.1,22.2,10.5,9.9,16.4
2019-01-15 08:00:00,0.0,83.1,0.0,1015.3,991.6,22.2,7.7,5.5,15
2019-01-16 08:00:00,0.0,87.1,0.0,1016.1,992.4,29.3,6.2,2,17.8
2019-01-17 08:00:00,0.0,90.9,0.0,1013.4,989.9,28.6,10.2,7.2,19.4
2019-01-18 08:00:00,0.0,94.5,0.0,1012.5,989.2,27.7,14.9,12.7,21.3
2019-01-19 08:00:00,0.0,97.9,0.0,1014.5,991.2,28.7,15,12.8,21.9
2019-01-20 08:00:00,8.6,92.4,0.0,1013.2,989.6,23.9,12.2,10,18.1
2019-01-21 08:00:00,9.0,86.9,0.0,1008.5,985.1,20.7,12.9,12.8,16.8
2019-01-22 08:00:00,0.4,90.3,0.0,1017.3,993.5,17.5,11.6,10.3,14.6
2019-01-23 08:00:00,1.4,92.5,0.0,1010.7,987.5,20.6,13,14.6,16.8
2019-01-24 08:00:00,21.6,74.4,0.0,1015.2,991.4,24.1,10,7.9,17.1
